fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,306090,NUTRESA,7856430860,25840,1.33
Jun 02 2016,306090,NUTRESA,7856430860,25840,1.33
Jun 03 2016,306090,NUTRESA,7856430860,25840,1.33
Jun 04 2016,34441,NUTRESA,884538680,25800,-0.15
Jun 05 2016,95147,NUTRESA,2453828380,25780,-0.08
Jun 09 2016,35058,NUTRESA,895802280,25680,-0.39
Jun 10 2016,191535,NUTRESA,4921967320,25700,0.08
Jun 11 2016,69139,NUTRESA,1763676920,25500,-0.55
Jun 12 2016,35658,NUTRESA,913884800,25640,-0.23
Jun 15 2016,109313,NUTRESA,2767151580,25440,-0.24
Jun 16 2016,175289,NUTRESA,4396245120,24940,-1.97
Jun 17 2016,325169,NUTRESA,8161951900,25100,0.08
Jun 18 2016,28564,NUTRESA,716825080,25100,0
Jun 21 2016,679374,NUTRESA,16993208520,25060,-0.16
Jun 22 2016,526408,NUTRESA,13137147440,24940,-0.48
Jun 23 2016,1266360,NUTRESA,31712188620,25100,0.64
Jun 24 2016,116811,NUTRESA,2959772960,25220,0.48
Jun 25 2016,256475,NUTRESA,6402584720,24900,-1.27
Jun 28 2016,86620,NUTRESA,2160504460,24980,0.32
Jun 29 2016,61112,NUTRESA,1527700480,25000,0.08
Jun 30 2016,87954,NUTRESA,2204394200,25100,0.16
Jul 01 2016,35714,NUTRESA,896126540,25100,0
Jul 01 2016,61112,NUTRESA,1527700480,25000,0.08
Jul 05 2016,18739,NUTRESA,466252180,24840,-1.04
Jul 06 2016,87674,NUTRESA,2188896660,25000,0.64
Jul 07 2016,125149,NUTRESA,3125303480,25000,0
Jul 09 2016,26694,NUTRESA,667047760,24840,-0.64
Jul 11 2016,167584,NUTRESA,4221796840,25280,1.61
Jul 12 2016,114551,NUTRESA,2896868860,25320,0.16
Jul 13 2016,7089,NUTRESA,176192380,24880,0.16
Jul 15 2016,346295,NUTRESA,8835696580,25600,1.11
Jul 17 2016,246240,NUTRESA,6323679960,25760,0.63
Jul 18 2016,255717,NUTRESA,6556055460,25500,-0.78
Jul 20 2016,202935,NUTRESA,5222702020,25700,-0.23
Jul 21 2016,55354,NUTRESA,1410223000,25680,0.71
Jul 24 2016,68078,NUTRESA,1740049820,25600,-0.31
Jul 25 2016,111288,NUTRESA,2858639900,25580,0.08
Jul 26 2016,157348,NUTRESA,4024041800,25520,-0.23
Jul 28 2016,135227,NUTRESA,3451849040,25520,-0.31
Jul 29 2016,84200,NUTRESA,2148441620,25560,0.16
Jul 31 2016,441194,NUTRESA,11203083440,25220,-1.18
Aug 01 2016,73602,NUTRESA,1857047520,25140,-0.32
Aug 02 2016,128135,NUTRESA,3232753560,25140,0
Aug 03 2016,118617,NUTRESA,2988094180,25160,0.08
Aug 04 2016,129620,NUTRESA,3278223160,25300,0.56
Aug 07 2016,49798,NUTRESA,1259652060,25300,0
Aug 08 2016,6223,NUTRESA,157143660,25260,-0.16
Aug 09 2016,41831,NUTRESA,1061290080,25420,0.63
Aug 10 2016,96949,NUTRESA,2469650540,25520,0.39
Aug 11 2016,184663,NUTRESA,4719155000,25560,0.16
Aug 12 2016,38746,NUTRESA,989880960,25560,0
Aug 16 2016,463116,NUTRESA,11903491420,26000,1.72
Aug 17 2016,135280,NUTRESA,3503002760,25880,-0.46
Aug 18 2016,201051,NUTRESA,5224585120,26000,0.46
Aug 19 2016,66548,NUTRESA,1723762320,25920,-0.31
Aug 21 2016,35680,NUTRESA,920957680,25900,-0.08
Aug 23 2016,135769,NUTRESA,3516304480,25900,0
Aug 24 2016,556999,NUTRESA,14506655140,26080,0.69
Aug 25 2016,290369,NUTRESA,7600045960,26100,0.08
Aug 28 2016,40119,NUTRESA,1048570560,25900,-0.77
Aug 29 2016,462196,NUTRESA,12060811700,26160,0.62
Aug 30 2016,48770,NUTRESA,1273808280,26000,0.39
Aug 31 2016,322960,NUTRESA,8441494880,26120,-0.15
Sep 01 2016,114722,NUTRESA,2991952360,26140,0.08
Sep 02 2016,105115,NUTRESA,2693375340,25700,0.47
Sep 03 2016,57042,NUTRESA,1468917760,25760,-0.16
Sep 04 2016,80702,NUTRESA,2063569680,25580,-0.7
Sep 05 2016,26790,NUTRESA,689956800,25800,-1.9
Sep 06 2016,237375,NUTRESA,6088714480,25700,0
Sep 07 2016,56658,NUTRESA,1448266360,25460,-0.7
Sep 10 2016,203498,NUTRESA,5312319940,26000,-0.54
Sep 11 2016,60529,NUTRESA,1541870360,25500,-0.78
Sep 12 2016,94874,NUTRESA,2400736700,25300,-0.78
Sep 13 2016,23219,NUTRESA,586562940,25340,-0.47
Sep 14 2016,44018,NUTRESA,1116176080,25640,1.34
Sep 17 2016,80567,NUTRESA,2098460380,26100,0.38
Sep 18 2016,115352,NUTRESA,3005110480,26060,-0.15
Sep 19 2016,196672,NUTRESA,5115365380,26060,0
Sep 20 2016,107234,NUTRESA,2784173040,25960,-0.38
Sep 21 2016,81540,NUTRESA,2066116600,25320,-0.16
Sep 24 2016,192260,NUTRESA,4824865760,25020,-1.18
Sep 25 2016,55587,NUTRESA,1398625760,25220,0.8
Sep 26 2016,174056,NUTRESA,4402111940,25300,0.32
Sep 27 2016,290955,NUTRESA,7558582240,26300,3.95
Sep 30 2016,55880,NUTRESA,1438382000,25360,-2.31
Oct 03 2016,88546,NUTRESA,2256747820,25500,0.31
Oct 04 2016,47267,NUTRESA,1210756940,25720,0.86
Oct 05 2016,74453,NUTRESA,1904710720,25580,-0.54
Oct 06 2016,13686,NUTRESA,347775180,25360,-0.86
Oct 09 2016,24210,NUTRESA,612685400,25400,0.16
Oct 10 2016,54057,NUTRESA,1375149140,25500,0.39
Oct 11 2016,313796,NUTRESA,7894778760,25140,-1.41
Oct 12 2016,181724,NUTRESA,4566065980,25480,1.35
Oct 14 2016,107512,NUTRESA,2714109000,25300,-0.24
Oct 17 2016,14837,NUTRESA,373607800,25360,-0.47
Oct 18 2016,37957,NUTRESA,962670180,25340,0.16
Oct 20 2016,204185,NUTRESA,5132415500,25140,-0.79
Oct 22 2016,414266,NUTRESA,10481086680,25340,0
Oct 23 2016,1303923,NUTRESA,32833755760,25180,0.16
Oct 24 2016,509687,NUTRESA,12853699620,25300,0.48
Oct 25 2016,193019,NUTRESA,4887027960,25360,0.4
Oct 26 2016,90606,NUTRESA,2291576280,25260,-0.16
