fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,587311,PFAVH,1175814435,2010,-0.5
Jun 02 2016,587311,PFAVH,1175814435,2010,-0.5
Jun 03 2016,587311,PFAVH,1175814435,2010,-0.5
Jun 04 2016,508067,PFAVH,1030821280,2020,0.5
Jun 05 2016,24136111,PFAVH,57406172785,2455,21.53
Jun 09 2016,5981777,PFAVH,14884729415,2500,1.83
Jun 10 2016,1528401,PFAVH,3813836665,2480,-0.8
Jun 11 2016,2942224,PFAVH,7873791010,2640,-3.83
Jun 12 2016,9228452,PFAVH,24219804910,2745,10.69
Jun 15 2016,943344,PFAVH,2461301445,2600,-1.52
Jun 16 2016,1703799,PFAVH,4432829595,2620,0.77
Jun 17 2016,6366086,PFAVH,15938550045,2435,-8.46
Jun 18 2016,2042481,PFAVH,4821654365,2300,-5.54
Jun 21 2016,1214057,PFAVH,2832947800,2360,2.61
Jun 22 2016,348603,PFAVH,824616285,2400,1.69
Jun 23 2016,1071101,PFAVH,2617318060,2435,1.46
Jun 24 2016,1159529,PFAVH,2870264015,2440,0.21
Jun 25 2016,1937381,PFAVH,4615192395,2350,-3.69
Jun 28 2016,2009062,PFAVH,4522650080,2260,-3.83
Jun 29 2016,1316590,PFAVH,3026551615,2290,1.33
Jun 30 2016,351952,PFAVH,787448800,2240,0
Jul 01 2016,97566,PFAVH,218877265,2235,-0.22
Jul 01 2016,1316590,PFAVH,3026551615,2290,1.33
Jul 05 2016,923795,PFAVH,2041982415,2240,0.22
Jul 06 2016,473211,PFAVH,1044301465,2215,-1.12
Jul 07 2016,446204,PFAVH,991080140,2220,0.23
Jul 09 2016,201521,PFAVH,445456235,2200,-0.9
Jul 11 2016,2855648,PFAVH,6815410940,2345,2.85
Jul 12 2016,549638,PFAVH,1306333030,2380,1.49
Jul 13 2016,677074,PFAVH,1537148130,2280,3.64
Jul 15 2016,1314153,PFAVH,3163743040,2410,1.26
Jul 17 2016,753366,PFAVH,1830505395,2450,1.66
Jul 18 2016,274539,PFAVH,661286500,2395,-2.04
Jul 20 2016,184072,PFAVH,450109785,2445,-0.2
Jul 21 2016,146229,PFAVH,353065525,2395,0
Jul 24 2016,38769,PFAVH,92363895,2380,-0.63
Jul 25 2016,134726,PFAVH,319032990,2395,2.35
Jul 26 2016,488478,PFAVH,1161368630,2360,-1.46
Jul 28 2016,636895,PFAVH,1487199120,2340,-1.68
Jul 29 2016,175466,PFAVH,409917325,2340,0
Jul 31 2016,442920,PFAVH,1024380640,2305,-2.33
Aug 01 2016,211281,PFAVH,494426605,2320,0.65
Aug 02 2016,161891,PFAVH,370763060,2280,-1.72
Aug 03 2016,388246,PFAVH,882435710,2255,-1.1
Aug 04 2016,986514,PFAVH,2239371680,2290,1.55
Aug 07 2016,941221,PFAVH,2191153710,2335,1.97
Aug 08 2016,245057,PFAVH,566931475,2305,-1.28
Aug 09 2016,1260819,PFAVH,2937920990,2305,0
Aug 10 2016,1844395,PFAVH,4257432685,2310,0.22
Aug 11 2016,4139838,PFAVH,9716946545,2355,1.95
Aug 12 2016,769842,PFAVH,1826751120,2345,-0.42
Aug 16 2016,253759,PFAVH,595069645,2330,-0.64
Aug 17 2016,2017201,PFAVH,4902734505,2480,6.44
Aug 18 2016,1696372,PFAVH,4167445700,2455,-1.01
Aug 19 2016,1105270,PFAVH,2733379170,2485,1.22
Aug 21 2016,3141073,PFAVH,7587769185,2395,-3.62
Aug 23 2016,507613,PFAVH,1234088255,2440,1.88
Aug 24 2016,1095328,PFAVH,2685255190,2445,0.2
Aug 25 2016,1349276,PFAVH,3290228060,2450,0.2
Aug 28 2016,910192,PFAVH,2230558305,2460,0.41
Aug 29 2016,1503438,PFAVH,3798931440,2530,0
Aug 30 2016,3025132,PFAVH,7500422045,2530,2.85
Aug 31 2016,1381924,PFAVH,3508979055,2540,0.4
Sep 01 2016,352365,PFAVH,891520675,2515,-0.98
Sep 02 2016,2503297,PFAVH,6085300545,2410,-0.21
Sep 03 2016,1003051,PFAVH,2434940685,2405,-2.83
Sep 04 2016,186636,PFAVH,451270810,2415,0.42
Sep 05 2016,415639,PFAVH,1033942330,2475,-1
Sep 06 2016,775745,PFAVH,1858143155,2385,-1.04
Sep 07 2016,358297,PFAVH,833828795,2350,1.51
Sep 10 2016,524552,PFAVH,1316608475,2510,-0.2
Sep 11 2016,271289,PFAVH,640298150,2345,-1.68
Sep 12 2016,1735604,PFAVH,4043091115,2335,-0.43
Sep 13 2016,712710,PFAVH,1660686305,2370,0.85
Sep 14 2016,495678,PFAVH,1159738475,2315,-0.86
Sep 17 2016,250195,PFAVH,632637615,2535,1
Sep 18 2016,2286882,PFAVH,5768906380,2520,-0.59
Sep 19 2016,684773,PFAVH,1719959550,2515,-0.2
Sep 20 2016,1213045,PFAVH,3059470830,2550,1.39
Sep 21 2016,540957,PFAVH,1393948355,2595,0.19
Sep 24 2016,364036,PFAVH,928398650,2540,-2.12
Sep 25 2016,775722,PFAVH,1966094855,2550,0.39
Sep 26 2016,341499,PFAVH,873035930,2535,-0.59
Sep 27 2016,4155631,PFAVH,10352968210,2500,-1.38
Sep 30 2016,1087727,PFAVH,2798542025,2590,1.57
Oct 03 2016,191574,PFAVH,452199055,2365,0.85
Oct 04 2016,256359,PFAVH,605890195,2380,0.63
Oct 05 2016,275532,PFAVH,656273115,2380,0
Oct 06 2016,143259,PFAVH,337144030,2380,0
Oct 09 2016,313317,PFAVH,745384000,2395,0.63
Oct 10 2016,453150,PFAVH,1074633705,2385,-0.42
Oct 11 2016,297635,PFAVH,706358430,2370,-0.63
Oct 12 2016,684924,PFAVH,1606929075,2340,-1.27
Oct 14 2016,260084,PFAVH,613419290,2380,0.42
Oct 17 2016,134411,PFAVH,315173500,2370,1.28
Oct 18 2016,520589,PFAVH,1226859180,2370,-0.42
Oct 20 2016,355161,PFAVH,828758535,2335,-0.64
Oct 22 2016,220509,PFAVH,517632020,2350,-0.84
Oct 23 2016,231730,PFAVH,535373170,2325,-0.43
Oct 24 2016,137713,PFAVH,319229950,2330,0.22
Oct 25 2016,205710,PFAVH,475774690,2315,0
Oct 26 2016,334083,PFAVH,773699225,2315,-0.64
Oct 28 2016,184677,PFAVH,431329970,2350,1.51
Oct 29 2016,919574,PFAVH,2186386955,2400,2.13
Nov 01 2016,275532,PFAVH,656273115,2380,0
Nov 02 2016,727488,PFAVH,1692517390,2345,-1.05
Nov 03 2016,191574,PFAVH,452199055,2365,0.85
Nov 04 2016,256359,PFAVH,605890195,2380,0.63
Nov 07 2016,275532,PFAVH,656273115,2380,0
Nov 08 2016,143259,PFAVH,337144030,2380,0
Nov 09 2016,313317,PFAVH,745384000,2395,0.63
Nov 10 2016,453150,PFAVH,1074633705,2385,-0.42
Nov 11 2016,1075758,PFAVH,2846161550,2680,0
Nov 15 2016,1126137,PFAVH,3063619115,2730,1.87
Nov 16 2016,1250642,PFAVH,3414032015,2745,0.55
Nov 17 2016,774827,PFAVH,2131017620,2750,0.18
Nov 18 2016,1091143,PFAVH,3042801910,2775,0.91
Nov 21 2016,812720,PFAVH,2216038540,2730,-1.62
Nov 22 2016,24825,PFAVH,67156240,2720,0
Nov 23 2016,24825,PFAVH,67156240,2720,0
Nov 24 2016,24825,PFAVH,67156240,2720,0
Nov 25 2016,581355,PFAVH,1569904725,2700,-0.74
Nov 28 2016,735755,PFAVH,1974540270,2695,-0.19
Nov 29 2016,2186234,PFAVH,5947797055,2730,1.3
Nov 30 2016,1431649,PFAVH,3882116615,2680,-1.83
Dec 01 2016,563682,PFAVH,1514739570,2680,0
Dec 02 2016,767065,PFAVH,2071729290,2705,0.93
