fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 5 2016,AAPL,APPLE INC,336400,0,0,0,mgc,NO,1314.74,0.006260715
Dec 5 2016,AMZN,AMAZON.COM INC,2266200,0,0,0,mgc,NO,1314.74,0.006260715
Dec 5 2016,BAC,BANK OF AMERICA CORPORATION,64980,0,0,0,mgc,NO,1314.74,0.006260715
Dec 5 2016,BBH,MV BIOTECH ETF,328480,0,0,0,etf,NO,1314.74,0.006260715
Dec 5 2016,BBVACOL,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,260,0,5954000,22900,subasta,NO,1314.74,0.006260715
Dec 5 2016,BCOLOMBIA,BANCOLOMBIA S.A.,24840,-0.0056,1841373940,73892,continua,SI,1314.74,0.006260715
Dec 5 2016,BIOMAX,BIOMAX BIOCOMBUSTIBLES S.A.,2300,0,0,0,subasta,NO,1314.74,0.006260715
Dec 5 2016,BMC,BMC BOLSA MERCANTIL DE COLOMBIA,785,0,0,0,subasta,NO,1314.74,0.006260715
Dec 5 2016,BOGOTA,BANCO DE BOGOTA S.A.,61960,-0.0003,354902040,5827,continua,SI,1314.74,0.006260715
Dec 5 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,20.4,0.0149,407473368.7,20178927,continua,SI,1314.74,0.006260715
Dec 5 2016,C,CITIGROUP INC,171480,0,0,0,mgc,NO,1314.74,0.006260715
Dec 5 2016,CARTON,CARTON DE COLOMBIA S.A.,5200,0,26000000,5000,continua,NO,1314.74,0.006260715
Dec 5 2016,CELSIA,CELSIA S.A E.S.P,3950,-0.005,1052935440,264695,continua,SI,1314.74,0.006260715
Dec 5 2016,CEMARGOS,CEMENTOS ARGOS S.A.,11360,0.0125,3296046440,290969,continua,SI,1314.74,0.006260715
Dec 5 2016,CLH,CEMEX LATAM HOLDING,11240,-0.0053,5469649840,480948,continua,SI,1314.74,0.006260715
Dec 5 2016,CNEC,CANACOL ENERGY LTD,10640,0.0114,74235860,6956,continua,SI,1314.74,0.006260715
Dec 5 2016,COLTEJER,COLTEJER S.A.,2000,0,275001410,137501,subasta,NO,1314.74,0.006260715
Dec 5 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1015,0.005,68502990,67677,continua,SI,1314.74,0.006260715
Dec 5 2016,CORFERIAS,CORPORACION DE FERIAS Y EXPOSICIONES S.A.,1100,0,0,0,subasta,NO,1314.74,0.006260715
