 
fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Ago 1 2016,"6,125,293.00",ECOPETROL ,"7,812,527,110.00","1,250.00",-3.85
Ago 1 2016,"218,243.00",PFBCOLOM  ,"5,717,067,180.00","26,020.00",-1.06
Ago 1 2016,"151,509.00",PFDAVVNDA ,"4,075,331,400.00","26,940.00",-.22
Ago 1 2016,"204,425.00",GRUPOARGOS,"3,796,703,120.00","18,620.00",.65
Ago 1 2016,"93,455.00",GRUPOSURA ,"3,608,164,380.00","38,620.00",.78
Ago 1 2016,"2,856,677.00",PFAVAL    ,"3,358,286,830.00","1,175.00",.43
Ago 1 2016,"228,857.00",ICOLCAP   ,"3,018,023,830.00","13,185.00",-.66
Ago 1 2016,"177,644.00",CLH       ,"2,174,942,580.00","12,260.00",-1.13
Ago 1 2016,"55,566.00",PFGRUPSURA,"2,101,935,160.00","37,840.00",.85
Ago 1 2016,"135,537.00",EXITO     ,"1,898,829,980.00","14,000.00",.00
Ago 1 2016,"73,602.00",NUTRESA   ,"1,857,047,520.00","25,140.00",-.32
Ago 1 2016,"74,385.00",BCOLOMBIA ,"1,801,076,240.00","24,200.00",-.41
Ago 1 2016,"410,307.00",CELSIA    ,"1,556,577,370.00","3,800.00",.93
Ago 1 2016,"146,301.00",ISA       ,"1,332,774,130.00","9,130.00",.44
Ago 1 2016,"100,000.00",HCOLSEL   ,"1,189,000,000.00","11,890.00",-.92
Ago 1 2016,"100,854.00",CEMARGOS  ,"1,170,256,640.00","11,620.00",1.04
Ago 1 2016,"19,150.00",CORFICOLCF,"733,332,520.00","38,300.00",-.21
Ago 1 2016,"59,283.00",PFCEMARGOS,"635,874,680.00","10,740.00",1.70
Ago 1 2016,"513,374.00",ELCONDOR  ,"621,457,730.00","1,230.00",4.24
Ago 1 2016,"211,281.00",PFAVH     ,"494,426,605.00","2,320.00",.65
Ago 1 2016,"3,165.00",BOGOTA    ,"183,702,700.00","58,700.00",.69
Ago 1 2016,"8,827,505.00",BVC       ,"159,912,981.00",18.30,1.67
Ago 1 2016,"32,068.00",PROMIGAS  ,"144,306,000.00","4,500.00",.00
Ago 1 2016,"9,786,635.00",FABRICATO ,"138,987,890.00",14.00,-4.76
Ago 1 2016,"57,422.00",MINEROS   ,"136,978,770.00","2,360.00",-1.67
Ago 1 2016,"7,642.00",PFGRUPOARG,"135,666,600.00","17,820.00",.68
Ago 1 2016,"9,677.00",CNEC      ,"89,227,660.00","9,220.00",-.75
Ago 1 2016,"118,905.00",ETB       ,"70,979,369.00",600.00,.00
Ago 1 2016,"38,100.00",EEB       ,"68,880,000.00","1,815.00",.28
Ago 1 2016,"23,280.00",PFCARPAK  ,"61,509,850.00","2,605.00",-4.23
Ago 1 2016,"25,046.00",GRUPOAVAL ,"29,379,680.00","1,170.00",.43
Ago 1 2016,"19,000.00",CONCONCRET,"20,615,000.00","1,085.00",-.46
Ago 1 2016,"3,886.00",ISAGEN    ,"15,675,580.00","4,030.00",-1.95
Ago 1 2016,"4,480.00",BBVACOL   ,"1,227,520.00",263.00,.00
Ago 1 2016,"29,740.00",PAZRIO    ,"182,901.00",8.00,.00
Ago 1 2016,32.00,COLTEJER  ,"35,360.00","1,600.00",.00
Ago 10 2016,"870,438.00",PFBCOLOM  ,"23,414,231,860.00","26,960.00",.22
Ago 10 2016,"484,836.00",BCOLOMBIA ,"12,106,914,860.00","25,060.00",.40
Ago 10 2016,"8,455,899.00",ECOPETROL ,"10,383,177,620.00","1,225.00",-1.21
Ago 10 2016,"656,024.00",CEMARGOS  ,"7,632,223,700.00","11,600.00",-1.36
Ago 10 2016,"189,541.00",GRUPOSURA ,"7,293,379,360.00","38,560.00",-.26
Ago 10 2016,"149,334.00",PFGRUPSURA,"5,673,707,720.00","38,080.00",-.31
Ago 10 2016,"464,253.00",PFCEMARGOS,"5,015,645,620.00","10,780.00",-.37
Ago 10 2016,"1,844,395.00",PFAVH     ,"4,257,432,685.00","2,310.00",.22
Ago 10 2016,"300,305.00",ICOLCAP   ,"4,008,656,347.50","13,332.00",-.25
Ago 10 2016,"200,045.00",GRUPOARGOS,"3,767,736,300.00","18,900.00",.00
Ago 10 2016,"2,671,817.00",PFAVAL    ,"3,183,852,530.00","1,195.00",.42
Ago 10 2016,"816,135.00",CELSIA    ,"3,104,296,715.00","3,830.00",.79
Ago 10 2016,"73,283.00",CORFICOLCF,"2,811,664,240.00","38,360.00",-.10
Ago 10 2016,"96,949.00",NUTRESA   ,"2,469,650,540.00","25,520.00",.39
Ago 10 2016,"196,851.00",CLH       ,"2,429,428,480.00","12,360.00",-.48
Ago 10 2016,"105,422.00",EXITO     ,"1,497,243,780.00","14,140.00",-.28
Ago 10 2016,"46,256.00",PFDAVVNDA ,"1,271,634,980.00","27,480.00",-.43
Ago 10 2016,"125,028.00",ISA       ,"1,174,210,400.00","9,400.00",-.11
Ago 10 2016,"17,911.00",BOGOTA    ,"1,048,384,720.00","58,340.00",.14
Ago 10 2016,"28,895.00",PFGRUPOARG,"521,143,240.00","18,080.00",-.11
Ago 10 2016,"32,444.00",CNEC      ,"320,617,380.00","9,940.00",1.12
Ago 10 2016,"37,182.00",PROMIGAS  ,"167,331,500.00","4,500.00",.00
Ago 10 2016,"3,000.00",GRUBOLIVAR,"153,400,000.00","51,000.00",.00
Ago 10 2016,"65,518.00",GRUPOAVAL ,"77,490,600.00","1,190.00",.42
Ago 10 2016,"96,393.00",ETB       ,"57,801,423.00",600.00,-.33
Ago 10 2016,"13,502.00",ISAGEN    ,"54,896,450.00","4,065.00",-.37
Ago 10 2016,"7,829.00",VILLAS    ,"49,322,700.00","6,300.00",2.61
Ago 10 2016,"3,000,000.00",FABRICATO ,"43,471,370.10",14.50,.69
Ago 10 2016,"852,880.00",BVC       ,"16,114,144.00",18.90,.53
Ago 10 2016,"3,522.00",PFCARPAK  ,"9,528,260.00","2,700.00",.00
Ago 10 2016,"2,500.00",MINEROS   ,"5,792,500.00","2,305.00",.00
Ago 10 2016,"10,000.00",VALOREM   ,"4,330,000.00",454.00,.00
Ago 10 2016,268.00,TERPEL    ,"2,398,600.00","9,780.00",.00
Ago 10 2016,"1,058.00",EEB       ,"1,920,270.00","1,820.00",.00
Ago 10 2016,126.00,ODINSA    ,"1,059,660.00","8,690.00",.00
Ago 10 2016,104.00,COLTEJER  ,"125,320.00","1,600.00",.00
Ago 10 2016,1.00,PFCORFICOL,"31,100.00","32,480.00",.00
Ago 11 2016,"1,807,899.00",PFBCOLOM  ,"48,998,558,780.00","27,180.00",.82
Ago 11 2016,"803,964.00",PFDAVVNDA ,"22,215,135,520.00","27,600.00",.44
Ago 11 2016,"920,729.00",EXITO     ,"12,895,459,240.00","14,000.00",-.99
Ago 11 2016,"4,139,838.00",PFAVH     ,"9,716,946,545.00","2,355.00",1.95
Ago 11 2016,"7,835,880.00",ECOPETROL ,"9,599,627,865.00","1,230.00",.41
Ago 11 2016,"233,812.00",GRUPOSURA ,"9,003,815,880.00","38,480.00",-.21
Ago 11 2016,"272,280.00",GRUPOARGOS,"5,160,733,080.00","19,000.00",.53
Ago 11 2016,"184,663.00",NUTRESA   ,"4,719,155,000.00","25,560.00",.16
Ago 11 2016,"3,726,162.00",PFAVAL    ,"4,450,823,030.00","1,195.00",.00
Ago 11 2016,"379,930.00",CEMARGOS  ,"4,445,751,520.00","11,700.00",.86
Ago 11 2016,"274,738.00",PFCEMARGOS,"2,980,124,820.00","10,920.00",1.30
Ago 11 2016,"76,234.00",PFGRUPSURA,"2,900,739,140.00","38,180.00",.26
Ago 11 2016,"110,602.00",BCOLOMBIA ,"2,775,007,620.00","25,220.00",.64
Ago 11 2016,"49,579.00",CORFICOLCF,"1,897,654,200.00","38,320.00",-.10
Ago 11 2016,"710,240.00",MINEROS   ,"1,671,708,205.00","2,400.00",4.12
Ago 11 2016,"120,000.00",ICOLCAP   ,"1,606,640,000.00","13,387.00",.41
Ago 11 2016,"164,503.00",ISA       ,"1,549,808,470.00","9,480.00",.85
Ago 11 2016,"101,975.00",CLH       ,"1,262,073,420.00","12,420.00",.49
Ago 11 2016,"649,564.00",EEB       ,"1,186,449,310.00","1,835.00",.82
Ago 11 2016,"59,272.00",PFGRUPOARG,"1,070,900,060.00","18,160.00",.44
Ago 11 2016,"1,098,523.00",ETB       ,"664,153,175.00",607.00,1.17
Ago 11 2016,"1,202,868.00",VALOREM   ,"543,696,336.00",452.00,-.44
Ago 11 2016,"51,296.00",CELSIA    ,"197,345,120.00","3,850.00",.52
Ago 11 2016,"14,740.00",ODINSA    ,"128,090,600.00","8,690.00",.00
Ago 11 2016,"91,696.00",GRUPOAVAL ,"108,808,920.00","1,185.00",-.42
Ago 11 2016,"4,874,476.00",BVC       ,"89,088,258.40",18.60,-1.59
Ago 11 2016,"5,508.00",CNEC      ,"54,705,960.00","9,950.00",.10
Ago 11 2016,"1,492.00",OCCIDENTE ,"54,458,000.00","36,500.00",.00
Ago 11 2016,"20,000.00",PFCARPAK  ,"53,150,000.00","2,650.00",-1.85
Ago 11 2016,520.00,BOGOTA    ,"30,461,600.00","58,580.00",.41
Ago 11 2016,"1,450,000.00",FABRICATO ,"21,245,974.60",14.80,2.07
Ago 11 2016,"17,969.00",CONCONCRET,"19,593,555.00","1,090.00",-.46
Ago 11 2016,"3,009.00",ISAGEN    ,"12,241,630.00","4,065.00",.00
Ago 11 2016,"7,068.00",ELCONDOR  ,"8,350,775.00","1,180.00",-1.67
Ago 11 2016,"4,076.00",BIOMAX    ,"8,157,380.00","2,000.00",-2.44
