fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Sep 1 2016,799918,PFBCOLOM,23367319280,29260,0.55
Sep 1 2016,6752139,ECOPETROL,8751008955,1295,-1.89
Sep 1 2016,168204,CORFICOLCF,6412437260,38000,-2.46
Sep 1 2016,367981,EXITO,5371172680,14520,-0.55
Sep 1 2016,198725,BCOLOMBIA,5332677640,26900,0.37
Sep 1 2016,108010,GRUPOSURA,4166934600,38620,-0.05
Sep 1 2016,114722,NUTRESA,2991952360,26140,0.08
Sep 1 2016,95295,PFDAVVNDA,2762588800,29000,-0.62
Sep 1 2016,2133242,PFAVAL,2661150915,1255,0.40
Sep 1 2016,161235,CLH,2177445300,13520,1.50
Sep 1 2016,86745,GRUPOARGOS,1712503760,19800,0.41
Sep 1 2016,2530968,ETB,1517340099,610,1.67
Sep 1 2016,106970,ICOLCAP,1488487550,13915,-0.41
Sep 1 2016,277221,CELSIA,1114034430,4010,0.00
Sep 1 2016,28461,PFGRUPSURA,1079584820,37920,-0.73
Sep 1 2016,352365,PFAVH,891520675,2515,-0.98
Sep 1 2016,67482,CEMARGOS,801802440,11900,0.85
Sep 1 2016,34889,PFGRUPOARG,658288000,18980,0.42
Sep 1 2016,47035,ISA,462181900,9860,-0.40
Sep 1 2016,14363,PFCORFICOL,460758200,32100,-2.73
Sep 1 2016,35419,PFCEMARGOS,394151220,11180,-0.36
Sep 1 2016,27105,CNEC,257498400,9550,-3.05
Sep 1 2016,11515480,BVC,220092572,19,0.52
Sep 1 2016,161113,GRUPOAVAL,199756850,1245,-0.40
Sep 1 2016,400000,VALOREM,180000000,450,0.00
Sep 1 2016,90477,EEB,168308990,1860,0.54
Sep 1 2016,2035,OCCIDENTE,74277500,36500,0.00
Sep 1 2016,62189,CONCONCRET,69432385,1110,-1.33
Sep 1 2016,5585874,ENKA,66471901,12,2.59
Sep 1 2016,21535,PFCARPAK,64436250,2925,-2.50
Sep 1 2016,5900,TERPEL,56050000,9500,0.00
Sep 1 2016,775,BOGOTA,47389800,61000,0.79
Sep 1 2016,12666,MINEROS,29765100,2350,0.00
Sep 1 2016,24494,ELCONDOR,29625000,1210,0.00
Sep 1 2016,4266,ISAGEN,17429805,4095,0.00
Sep 1 2016,298308,FABRICATO,4355297,15,0.00
Sep 1 2016,635,PROMIGAS,3175000,5000,0.00
Sep 1 2016,8674,BBVACOL,2185848,251,0.00
Sep 2 2016,2341117,EXITO,34772083600,14840,0.00
Sep 2 2016,823014,PFBCOLOM,22938312780,28000,1.45
Sep 2 2016,633052,BCOLOMBIA,16129071740,25600,1.19
Sep 2 2016,519389,PFDAVVNDA,15180196740,29320,1.10
Sep 2 2016,8604531,ECOPETROL,10742805330,1245,0.81
Sep 2 2016,612690,ICOLCAP,8380498715,13687,0.94
Sep 2 2016,6200400,PFAVAL,7552662530,1230,3.36
Sep 2 2016,190603,GRUPOSURA,7315146220,38800,2.11
Sep 2 2016,2503297,PFAVH,6085300545,2410,-0.21
Sep 2 2016,130697,PFGRUPSURA,4938687660,38000,1.66
Sep 2 2016,224506,GRUPOARGOS,4355639980,19500,2.09
Sep 2 2016,321998,CEMARGOS,3760530680,11700,1.04
Sep 2 2016,191733,PFGRUPOARG,3523530240,18500,1.98
Sep 2 2016,327614,ISA,3276012310,10040,1.11
Sep 2 2016,242353,CLH,3225377560,13300,0.91
Sep 2 2016,81562,CORFICOLCF,3135353780,38400,0.21
Sep 2 2016,105115,NUTRESA,2693375340,25700,0.47
Sep 2 2016,160515097,FABRICATO,2249840523,14,-2.78
Sep 2 2016,82366,CNEC,773100150,9390,1.08
Sep 2 2016,376382,EEB,707394725,1870,0.00
Sep 2 2016,162302,CELSIA,658669285,4065,0.62
Sep 2 2016,40268,PFCEMARGOS,438350240,10900,1.30
Sep 2 2016,215641,GRUPOAVAL,262160305,1220,1.24
Sep 2 2016,60737,ISAGEN,206222130,3360,-1.61
Sep 2 2016,3214,BOGOTA,200950500,62500,0.00
Sep 2 2016,4107639,BVC,73937502,18,0.00
Sep 2 2016,57503,ELCONDOR,66553540,1180,3.96
Sep 2 2016,103777,ETB,62069173,599,0.17
Sep 2 2016,25930,CONCONCRET,28386515,1095,0.00
Sep 2 2016,633,PFCORFICOL,20886600,33000,0.92
Sep 3 2016,5720034,BCOLOMBIA,143264556120,25260,-2.77
Sep 3 2016,1539348,PFBCOLOM,42568650700,27720,-1.70
Sep 3 2016,2171658,ICOLCAP,29441487041,13533,-1.33
Sep 3 2016,15067025,ECOPETROL,18156474190,1205,-1.23
Sep 3 2016,452983,GRUPOSURA,17407876960,38200,-1.04
Sep 3 2016,861128,EXITO,12774501020,14680,-2.78
Sep 3 2016,291209,PFGRUPSURA,10947802720,37700,-0.37
Sep 3 2016,753650,CLH,10145625320,13300,-1.48
Sep 3 2016,7984829,PFAVAL,9551423210,1205,-0.82
Sep 3 2016,574230,CEMARGOS,6617660280,11500,-0.35
Sep 3 2016,207817,PFDAVVNDA,6003093960,28960,-0.21
Sep 3 2016,445387,PFCEMARGOS,4735322160,10660,-0.37
Sep 3 2016,185547,GRUPOARGOS,3534575580,19080,-0.42
Sep 3 2016,270000,HCOLSEL,3292540000,12228,-4.52
Sep 3 2016,278389,ISA,2792000940,10040,0.60
Sep 3 2016,65583,CORFICOLCF,2526702000,38540,0.10
Sep 3 2016,1003051,PFAVH,2434940685,2405,-2.83
Sep 3 2016,57042,NUTRESA,1468917760,25760,-0.16
Sep 3 2016,543307,EEB,1014848125,1870,0.27
Sep 3 2016,16225,BOGOTA,1014468160,62500,0.00
Sep 3 2016,46758,PFGRUPOARG,850107700,17900,-2.72
Sep 3 2016,101537,CELSIA,412574925,4040,-1.82
Sep 3 2016,9128,OCCIDENTE,333172000,36500,0.00
Sep 3 2016,58284,MINEROS,128216800,2200,0.00
Sep 3 2016,96262,CONCONCRET,103768240,1090,0.46
Sep 3 2016,162439,ETB,96627412,596,0.34
Sep 3 2016,74876,GRUPOAVAL,89284870,1180,-2.48
Sep 3 2016,5847173,FABRICATO,83261405,15,1.40
Sep 3 2016,6089,CNEC,55808210,9170,-0.33
Sep 3 2016,10000,PROMIGAS,55000000,5500,0.00
Sep 3 2016,13149,ISAGEN,46122175,3475,-0.71
Sep 3 2016,14833,PFCARPAK,43837535,2995,3.28
Sep 3 2016,102932,BBVACOL,26865252,261,3.98
Sep 3 2016,10000,ELCONDOR,11350000,1135,0.00
Sep 3 2016,294320,BVC,5415488,18,0.00
Sep 4 2016,14521237,ECOPETROL,17771093780,1235,2.49
Sep 4 2016,588647,PFBCOLOM,16238036380,27600,-0.43
Sep 4 2016,398319,BCOLOMBIA,10073234840,25300,0.16
Sep 4 2016,229181,GRUPOSURA,8717322620,38000,-0.52
Sep 4 2016,649268,CLH,8577308360,13180,-0.90
