fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 04 2016,4873,BBVACOL,1340075,280,0
Jun 09 2016,13291,BBVACOL,3618570,280,0
Jun 11 2016,4873,BBVACOL,1320583,280,0
Jun 12 2016,9746,BBVACOL,2631420,280,0
Jun 15 2016,4800,BBVACOL,1368000,280,0
Jun 16 2016,5281,BBVACOL,1436432,280,0
Jun 17 2016,41807,BBVACOL,11819995,280,0
Jun 21 2016,457,BBVACOL,124304,280,0
Jun 23 2016,117742,BBVACOL,31905882,270,-3.57
Jun 24 2016,6005819,BBVACOL,1633582768,272,0.74
Jun 25 2016,10869,BBVACOL,2934630,272,0
Jun 29 2016,7706,BBVACOL,2080620,272,0
Jul 01 2016,7706,BBVACOL,2080620,272,0
Jul 06 2016,101895,BBVACOL,27511650,270,-0.74
Jul 07 2016,500000,BBVACOL,135000000,270,0
Jul 09 2016,12232,BBVACOL,3302640,270,0
Jul 13 2016,8915,BBVACOL,2407050,270,0
Jul 17 2016,1342,BBVACOL,362340,270,0
Jul 18 2016,95513,BBVACOL,25788510,270,-3.57
Jul 20 2016,40532,BBVACOL,11348960,280,3.7
Jul 21 2016,5447,BBVACOL,1470690,270,0
Jul 24 2016,9527,BBVACOL,2572290,270,0
Jul 25 2016,40261,BBVACOL,10708658,263,-2.59
Aug 01 2016,4480,BBVACOL,1227520,263,0
Aug 02 2016,11517,BBVACOL,2994420,263,0
Aug 08 2016,18000,BBVACOL,4860000,263,0
Aug 09 2016,100757,BBVACOL,26220976,260,-1.14
Aug 11 2016,2509,BBVACOL,652340,260,0
Aug 12 2016,41103,BBVACOL,10686780,260,0
Aug 17 2016,43000,BBVACOL,11610000,270,3.85
Aug 21 2016,55793,BBVACOL,14561973,261,-3.33
Aug 24 2016,22466,BBVACOL,5776375,261,0
Aug 25 2016,13504,BBVACOL,3443520,261,0
Aug 28 2016,59372,BBVACOL,14923695,251,-3.83
Aug 29 2016,4780,BBVACOL,1199780,251,0
Aug 30 2016,25717,BBVACOL,6454967,251,0
Sep 01 2016,8674,BBVACOL,2185848,251,0
Sep 03 2016,102932,BBVACOL,26865252,261,3.98
Sep 06 2016,3391,BBVACOL,881660,261,0
Sep 07 2016,9909,BBVACOL,2576340,261,0
Sep 11 2016,2181,BBVACOL,567060,261,0
Sep 12 2016,19952,BBVACOL,5267328,261,0
Sep 13 2016,5945,BBVACOL,1549664,261,0
Sep 14 2016,23772,BBVACOL,6232595,261,0
Sep 17 2016,4462,BBVACOL,1146734,251,0
Sep 18 2016,627,BBVACOL,163020,251,0
Sep 19 2016,27326,BBVACOL,7132086,251,0
Sep 24 2016,17546,BBVACOL,4561960,251,0
Oct 04 2016,84759,BBVACOL,22304015,265,1.92
Oct 06 2016,10410,BBVACOL,2717010,265,0
Oct 10 2016,4334,BBVACOL,1126840,265,0
Oct 12 2016,5602,BBVACOL,1456520,265,0
Oct 14 2016,216,BBVACOL,57240,265,0
Oct 23 2016,13511,BBVACOL,3512860,265,0
Oct 28 2016,2787,BBVACOL,738555,265,0
Nov 02 2016,107573,BBVACOL,27968980,260,-0.38
Nov 04 2016,84759,BBVACOL,22304015,265,1.92
Nov 08 2016,10410,BBVACOL,2717010,265,0
Nov 10 2016,4334,BBVACOL,1126840,265,0
Nov 11 2016,138873,BBVACOL,37495710,270,0
Nov 17 2016,27577,BBVACOL,7285765,265,-1.85
Nov 22 2016,86077,BBVACOL,22656577,261,-1.51
Nov 23 2016,86077,BBVACOL,22656577,261,-1.51
Nov 24 2016,86077,BBVACOL,22656577,261,-1.51
Nov 28 2016,118493,BBVACOL,31388936,265,1.53
Nov 29 2016,43378,BBVACOL,11495170,265,0
Nov 30 2016,56872,BBVACOL,14786720,260,-1.89
Dec 02 2016,9174,BBVACOL,2385240,260,0
