fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,BCOLOMBIA,BANCOLOMBIA S.A.,20980,0.0135 ,2310651740,110634,continua,SI,1153.71,0.004755062
Jan 04 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20500,-0.0229,439885240,21976,continua,SI,1129.71,-0.020802455
Jan 05 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20880,0.0185 ,115901620,5587,continua,SI,1142.4,0.011232971
Jan 06 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20280,-0.0287,661432320,32587,continua,SI,1129.32,-0.01144958
Jan 07 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20100,-0.0089,453221680,22582,continua,SI,1105.73,-0.020888676
Jan 08 2016,BCOLOMBIA,BANCOLOMBIA S.A.,19900,-0.0100,480053720,24018,continua,SI,1098.32,-0.006701455
Jan 12 2016,BCOLOMBIA,BANCOLOMBIA S.A.,19620,-0.0141,413166040,20873,continua,SI,1079.28,-0.017335567
Jan 13 2016,BCOLOMBIA,BANCOLOMBIA S.A.,19720,0.0051 ,553210660,27702,continua,SI,1096.68,0.016121859
Jan 14 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20480,0.0385 ,1272465080,62570,continua,SI,1128.65,0.029151621
Jan 15 2016,BCOLOMBIA,BANCOLOMBIA S.A.,19960,-0.0254,2998280940,149891,continua,SI,1103.26,-0.022495902
Jan 18 2016,BCOLOMBIA,BANCOLOMBIA S.A.,19800,-0.0080,225179880,11384,continua,SI,1078.69,-0.022270362
Jan 19 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20100,0.0152 ,1282056800,63770,continua,SI,1100.3,0.020033559
Jan 20 2016,BCOLOMBIA,BANCOLOMBIA S.A.,20700,0.0299 ,1900105000,92500,continua,SI,1109.33,0.008206853
Jan 21 2016,BCOLOMBIA,BANCOLOMBIA S.A.,21400,0.0338 ,12833072400,607971,continua,SI,1124.79,0.01393634
Jan 22 2016,BCOLOMBIA,BANCOLOMBIA S.A.,21980,0.0271 ,3048371640,139274,continua,SI,1151.62,0.023853342
Jan 25 2016,BCOLOMBIA,BANCOLOMBIA S.A.,21700,-0.0127,3601029420,166508,continua,SI,1139.32,-0.010680606
Jan 26 2016,BCOLOMBIA,BANCOLOMBIA S.A.,21480,-0.0101,2702954080,125749,continua,SI,1146.36,0.006179124
Jan 27 2016,BCOLOMBIA,BANCOLOMBIA S.A.,21740,0.0121 ,2279607480,105622,continua,SI,1153.46,0.006193517
Jan 28 2016,BCOLOMBIA,BANCOLOMBIA S.A.,22000,0.0120 ,1557427940,70471,continua,SI,1165.38,0.010334125
Jan 29 2016,BCOLOMBIA,BANCOLOMBIA S.A.,22600,0.0273 ,8852571780,393277,continua,SI,1175.09,0.008332046
Feb 01 2016,BCOLOMBIA,BANCOLOMBIA S.A.,22720,0.0053 ,412090600,18243,continua,SI,1180.72,0.004791122
Feb 02 2016,BCOLOMBIA,BANCOLOMBIA S.A.,22500,-0.0097,1746120060,77121,continua,SI,1165.77,-0.012661766
Feb 03 2016,BCOLOMBIA,BANCOLOMBIA S.A.,23000,0.0222 ,2917262060,127252,continua,SI,1180.66,0.012772674
Feb 04 2016,BCOLOMBIA,BANCOLOMBIA S.A.,23000,0.0000 ,2635166420,113059,continua,SI,1188.73,0.00683516
Feb 05 2016,BCOLOMBIA,BANCOLOMBIA S.A.,23500,0.0217 ,737340060,31602,continua,SI,1195.11,0.005367072
