fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,10683,BOGOTA,629397000,58500,-0.68
Jun 02 2016,10683,BOGOTA,629397000,58500,-0.68
Jun 03 2016,10683,BOGOTA,629397000,58500,-0.68
Jun 04 2016,46058,BOGOTA,2708211560,58800,0.51
Jun 09 2016,6231,BOGOTA,367349160,59100,0.51
Jun 10 2016,6408,BOGOTA,377946780,59000,-0.17
Jun 11 2016,27120,BOGOTA,1614874920,59500,0.03
Jun 12 2016,9861,BOGOTA,585276900,59480,0.81
Jun 15 2016,9680,BOGOTA,575957800,59480,-0.03
Jun 16 2016,686,BOGOTA,40783380,59480,0
Jun 17 2016,4945,BOGOTA,294059160,59460,-0.03
Jun 18 2016,19882,BOGOTA,1172072660,58600,-1.45
Jun 21 2016,4333,BOGOTA,254962760,59000,0.68
Jun 22 2016,50350,BOGOTA,2958520600,59480,0.81
Jun 23 2016,30205,BOGOTA,1783449100,59400,-0.13
Jun 24 2016,7473,BOGOTA,440581640,58880,-0.88
Jun 25 2016,29545,BOGOTA,1728414780,58420,-0.78
Jun 28 2016,1719,BOGOTA,100365200,58400,-0.03
Jun 29 2016,1903,BOGOTA,112213640,58600,0.34
Jun 30 2016,8083,BOGOTA,470776340,58500,0
Jul 01 2016,5415,BOGOTA,315706020,58200,-0.51
Jul 01 2016,1903,BOGOTA,112213640,58600,0.34
Jul 05 2016,4279,BOGOTA,248189060,57980,-0.38
Jul 06 2016,2480,BOGOTA,144154960,58140,0.28
Jul 07 2016,38018,BOGOTA,2205135600,58940,1.38
Jul 11 2016,3825,BOGOTA,224136420,58880,0.65
Jul 12 2016,6570,BOGOTA,385393060,58980,0.17
Jul 13 2016,4699,BOGOTA,274918300,58500,-0.75
Jul 15 2016,5657,BOGOTA,330934500,58500,-0.81
Jul 17 2016,7465,BOGOTA,437269100,58600,0.17
Jul 18 2016,5429,BOGOTA,315858200,59000,0.68
Jul 20 2016,106,BOGOTA,6134320,58600,0
Jul 21 2016,1681,BOGOTA,99179000,59000,0
Jul 24 2016,6929,BOGOTA,405346500,58500,-0.85
Jul 25 2016,8006,BOGOTA,468677500,58520,0.03
Jul 26 2016,11118,BOGOTA,650551320,58500,-0.03
Jul 28 2016,4033,BOGOTA,236274300,58500,0
Jul 29 2016,868,BOGOTA,50790500,58500,0
Jul 31 2016,47667,BOGOTA,2779042320,58300,-0.34
Aug 01 2016,3165,BOGOTA,183702700,58700,0.69
Aug 02 2016,2739,BOGOTA,159036780,58700,0
Aug 03 2016,19330,BOGOTA,1122651500,59200,0.85
Aug 04 2016,1133,BOGOTA,65823500,58600,-1.01
Aug 07 2016,664,BOGOTA,38650400,58600,0
Aug 08 2016,753,BOGOTA,44125800,58600,0
Aug 09 2016,5288,BOGOTA,308600280,58260,-0.58
Aug 10 2016,17911,BOGOTA,1048384720,58340,0.14
Aug 11 2016,520,BOGOTA,30461600,58580,0.41
