fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17,0.0000 ,42997005,2526765,continua,SI,1153.71,0.004755062
Jan 04 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17.2,0.0118 ,50504118.9,2939242,continua,SI,1129.71,-0.020802455
Jan 05 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17.5,0.0174 ,465704147.2,27083000,continua,SI,1142.4,0.011232971
Jan 06 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17.5,0.0000 ,43872205.5,2539446,continua,SI,1129.32,-0.01144958
Jan 07 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17.5,0.0000 ,0,0,continua,SI,1105.73,-0.020888676
Jan 08 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17.3,-0.0114,11099178.3,641571,continua,SI,1098.32,-0.006701455
Jan 12 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.7,-0.0347,87150701.5,5180799,continua,SI,1079.28,-0.017335567
Jan 13 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.7,0.0000 ,11655024,696430,continua,SI,1096.68,0.016121859
Jan 14 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17,0.0180 ,59758822.1,3581666,continua,SI,1128.65,0.029151621
Jan 15 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17,0.0000 ,5765380,339140,continua,SI,1103.26,-0.022495902
Jan 18 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17,0.0000 ,38984396.5,2322407,continua,SI,1078.69,-0.022270362
Jan 19 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.9,-0.0059,676330484.3,40489478,continua,SI,1100.3,0.020033559
Jan 20 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.9,0.0000 ,0,0,continua,SI,1109.33,0.008206853
Jan 21 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.4,-0.0296,82717492.7,5008447,continua,SI,1124.79,0.01393634
Jan 22 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.9,0.0305 ,134029394.3,8043984,continua,SI,1151.62,0.023853342
Jan 25 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.9,0.0000 ,212114605.2,12685248,continua,SI,1139.32,-0.010680606
Jan 26 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.9,0.0000 ,9970716,593495,continua,SI,1146.36,0.006179124
Jan 27 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,16.9,0.0000 ,67104146.4,4029620,continua,SI,1153.46,0.006193517
Jan 28 2016,BVC,BOLSA DE VALORES DE COLOMBIA S.A.,17,0.0059 ,89414554,5272065,continua,SI,1165.38,0.010334125
