fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 09 2016,700,CARTON,3430000,5100,0
Jun 15 2016,4132,CARTON,20660000,5000,-1.96
Jun 17 2016,2500,CARTON,12750000,5100,2
Jun 18 2016,12200,CARTON,62311000,5100,0
Jun 28 2016,2383,CARTON,12931500,5500,7.84
Jun 29 2016,799,CARTON,4234700,5500,0
Jun 30 2016,1900,CARTON,10418140,5480,-0.36
Jul 01 2016,4830,CARTON,24622800,5000,-8.76
Jul 01 2016,799,CARTON,4234700,5500,0
Jul 12 2016,2528,CARTON,13625920,5390,7.8
Jul 15 2016,16400,CARTON,90115400,5500,2.04
Jul 17 2016,4584,CARTON,26789800,6000,9.09
Jul 18 2016,2000,CARTON,12000000,6000,0
Jul 21 2016,5000,CARTON,30000000,6000,0
Jul 25 2016,2017,CARTON,12081830,5990,-0.17
Jul 31 2016,3733,CARTON,22360670,5990,0
Aug 03 2016,890,CARTON,5340000,6000,0.17
Aug 04 2016,9726,CARTON,58356000,6000,0
Aug 09 2016,4000,CARTON,22440000,5610,-6.5
Aug 16 2016,4000,CARTON,23806200,5940,5.88
Aug 21 2016,2550,CARTON,15300000,6000,1.01
Aug 25 2016,3100,CARTON,18369000,5990,-0.17
Aug 31 2016,30000,CARTON,174000000,5800,-3.17
Sep 04 2016,23274,CARTON,123372200,5310,-5.85
Sep 05 2016,500,CARTON,2705000,5640,0
Sep 06 2016,5000,CARTON,26500000,5300,-0.19
Sep 10 2016,15360,CARTON,86994800,5640,-2.76
Sep 11 2016,21300,CARTON,112890000,5300,0
Sep 12 2016,21486,CARTON,112586640,5240,-1.13
Sep 14 2016,8873,CARTON,46139600,5200,-0.76
Oct 04 2016,2000,CARTON,10400000,5200,-0.38
Oct 11 2016,9216,CARTON,47923200,5200,0
Oct 25 2016,1000,CARTON,5620000,5200,0
Oct 26 2016,3070,CARTON,15964000,5200,0
Oct 29 2016,8250,CARTON,42900000,5200,0
Nov 02 2016,1600,CARTON,8352000,5220,0.38
Nov 04 2016,2000,CARTON,10400000,5200,-0.38
Nov 15 2016,10000,CARTON,52000000,5200,0
Nov 21 2016,25700,CARTON,133570000,5200,0
Nov 29 2016,3774,CARTON,19902200,5300,1.92
Nov 30 2016,5000,CARTON,26000000,5200,-1.89
Dec 02 2016,5000,CARTON,26000000,5200,0
