fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,131705,CLH,1737754140,13180,-2.23
Jun 02 2016,131705,CLH,1737754140,13180,-2.23
Jun 03 2016,131705,CLH,1737754140,13180,-2.23
Jun 04 2016,211149,CLH,2750261800,12980,-1.52
Jun 05 2016,80513,CLH,1036745060,12860,-0.92
Jun 09 2016,462051,CLH,5892709320,12700,-1.24
Jun 10 2016,1130761,CLH,14311178400,12740,0.31
Jun 11 2016,1371652,CLH,17573394540,12900,0.47
Jun 12 2016,562520,CLH,7210224120,12840,0.78
Jun 15 2016,30243,CLH,387134700,12800,-0.78
Jun 16 2016,452508,CLH,5760892760,12640,-1.25
Jun 17 2016,34586,CLH,435939840,12640,0.32
Jun 18 2016,121376,CLH,1544081840,12720,0.63
Jun 21 2016,155024,CLH,1987611000,12900,1.42
Jun 22 2016,97343,CLH,1252998300,12840,-0.47
Jun 23 2016,146854,CLH,1890730960,12940,0.78
Jun 24 2016,47905,CLH,617611320,12880,-0.46
Jun 25 2016,110274,CLH,1401251460,12700,-1.4
Jun 28 2016,112462,CLH,1432172040,12820,0.94
Jun 29 2016,190700,CLH,2430667100,12760,-0.47
Jun 30 2016,832097,CLH,10536186940,12600,0
Jul 01 2016,207916,CLH,2628280720,12580,-0.16
Jul 01 2016,190700,CLH,2430667100,12760,-0.47
Jul 05 2016,51557,CLH,648368040,12500,-0.64
Jul 06 2016,696254,CLH,8701019800,12480,-0.16
Jul 07 2016,122273,CLH,1532196500,12400,-0.64
Jul 09 2016,266759,CLH,3227736620,12040,-2.9
Jul 11 2016,1354285,CLH,16339698460,12200,2.69
Jul 12 2016,402868,CLH,4948097700,12300,0.82
Jul 13 2016,1665605,CLH,19680523460,11880,-1.33
Jul 15 2016,56957,CLH,709377840,12500,1.63
Jul 17 2016,279642,CLH,3537565620,12680,1.44
Jul 18 2016,136235,CLH,1712872060,12700,0.79
Jul 20 2016,239217,CLH,3040440440,12600,-0.63
Jul 21 2016,145022,CLH,1825769300,12400,-2.36
Jul 24 2016,121433,CLH,1501757960,12400,0
Jul 25 2016,312862,CLH,3921980080,12540,3.13
Jul 26 2016,85232,CLH,1065950240,12500,-0.32
Jul 28 2016,264537,CLH,3248084000,12300,-0.81
Jul 29 2016,295182,CLH,3617448540,12160,-1.14
Jul 31 2016,379790,CLH,4728565220,12400,-0.8
Aug 01 2016,177644,CLH,2174942580,12260,-1.13
Aug 02 2016,38222,CLH,463894200,12100,-1.31
Aug 03 2016,347917,CLH,4220425560,12140,0.33
Aug 04 2016,221686,CLH,2680247280,12000,-1.15
Aug 07 2016,332675,CLH,4016252040,12200,1.67
Aug 08 2016,33199,CLH,405682640,12240,0.33
Aug 09 2016,110344,CLH,1364613140,12420,1.47
Aug 10 2016,196851,CLH,2429428480,12360,-0.48
Aug 11 2016,101975,CLH,1262073420,12420,0.49
Aug 12 2016,175138,CLH,2167134080,12500,0.64
Aug 16 2016,553246,CLH,6995815180,12700,1.6
Aug 17 2016,114948,CLH,1456584000,12640,-0.47
Aug 18 2016,130298,CLH,1665770880,12780,1.11
Aug 19 2016,192146,CLH,2490438940,12880,0.78
Aug 21 2016,114831,CLH,1479276640,12900,0.16
Aug 23 2016,405265,CLH,5236656900,12900,0
Aug 24 2016,266331,CLH,3490618500,13200,2.33
Aug 25 2016,465674,CLH,6213213960,13400,1.52
Aug 28 2016,105028,CLH,1404059660,13340,-0.45
Aug 29 2016,2161242,CLH,28884226700,13400,1.36
Aug 30 2016,80834,CLH,1081149680,13220,-0.9
Aug 31 2016,163205,CLH,2188233600,13320,-0.6
Sep 01 2016,161235,CLH,2177445300,13520,1.5
Sep 02 2016,242353,CLH,3225377560,13300,0.91
Sep 03 2016,753650,CLH,10145625320,13300,-1.48
Sep 04 2016,649268,CLH,8577308360,13180,-0.9
Sep 05 2016,965520,CLH,12880161560,13500,4.98
Sep 06 2016,127370,CLH,1674539400,13120,-1.35
Sep 07 2016,1026523,CLH,12204302540,11700,-4.57
Sep 10 2016,375299,CLH,5116386440,13820,2.22
Sep 11 2016,2106948,CLH,25460455260,11900,-9.3
Sep 12 2016,3212507,CLH,37749532680,12060,1.34
Sep 13 2016,1877563,CLH,20916019560,10960,-6.32
Sep 14 2016,944513,CLH,11541644420,12260,1.66
Sep 17 2016,113777,CLH,1571862780,13760,-0.43
Sep 18 2016,181071,CLH,2541385860,14180,3.05
Sep 19 2016,301115,CLH,4267044360,14120,-0.42
Sep 20 2016,204273,CLH,2875165640,14200,0.57
Sep 21 2016,1380,CLH,19264400,13960,-0.99
Sep 24 2016,150563,CLH,2054454220,13620,-2.44
Sep 25 2016,417041,CLH,5696065620,13740,0.88
Sep 26 2016,239094,CLH,3288563900,13900,1.16
Sep 27 2016,583011,CLH,7787180900,12860,-7.48
Sep 30 2016,147318,CLH,2058235140,14100,-0.7
Oct 03 2016,215402,CLH,2375619680,11060,-0.36
Oct 04 2016,378448,CLH,4234947720,11140,0.72
Oct 05 2016,1084621,CLH,12201984180,11300,1.44
Oct 06 2016,271250,CLH,3109769260,11640,3.01
Oct 09 2016,49214,CLH,568607900,11600,-0.34
Oct 10 2016,91805,CLH,1058311340,11520,-0.69
Oct 11 2016,147791,CLH,1690877580,11480,-0.35
Oct 12 2016,148220,CLH,1687722860,11400,-0.7
Oct 14 2016,480902,CLH,5495034680,11540,1.23
Oct 17 2016,42559,CLH,484988960,11400,0
Oct 18 2016,371335,CLH,4351236500,11800,2.25
Oct 20 2016,91320,CLH,1079564040,11880,0.68
Oct 22 2016,68297,CLH,805437740,11800,0
Oct 23 2016,14730,CLH,173813060,11800,-0.67
Oct 24 2016,285070,CLH,3363913360,11800,0
Oct 25 2016,447193,CLH,5235796460,11560,-3.34
Oct 26 2016,80617,CLH,955146720,11960,1.36
Oct 28 2016,964355,CLH,11062565460,11200,-3.11
Oct 29 2016,235512,CLH,2630877160,11180,-0.18
Nov 01 2016,1084621,CLH,12201984180,11300,1.44
Nov 02 2016,1307604,CLH,14483348700,11100,1.28
Nov 03 2016,215402,CLH,2375619680,11060,-0.36
Nov 04 2016,378448,CLH,4234947720,11140,0.72
Nov 07 2016,1084621,CLH,12201984180,11300,1.44
Nov 08 2016,271250,CLH,3109769260,11640,3.01
Nov 09 2016,49214,CLH,568607900,11600,-0.34
Nov 10 2016,91805,CLH,1058311340,11520,-0.69
Nov 11 2016,299419,CLH,3196694100,10620,-3.1
Nov 15 2016,205383,CLH,2226156320,11020,3.77
Nov 16 2016,499338,CLH,5560260100,11200,1.63
Nov 17 2016,501214,CLH,5669322900,11380,1.61
Nov 18 2016,134762,CLH,1545332580,11560,1.58
Nov 21 2016,320927,CLH,3763392780,11860,2.6
Nov 22 2016,23142,CLH,269321160,11700,0
