fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,CNEC,CANACOL ENERGY LTD,6000,-0.0196,216787960,36012,continua,SI,1153.71,0.004755062
Jan 04 2016,CNEC,CANACOL ENERGY LTD,6360,0.0600 ,382427690,60140,continua,SI,1129.71,-0.020802455
Jan 05 2016,CNEC,CANACOL ENERGY LTD,6300,-0.0094,199485960,31731,continua,SI,1142.4,0.011232971
Jan 06 2016,CNEC,CANACOL ENERGY LTD,5810,-0.0778,891254790,151320,continua,SI,1129.32,-0.01144958
Jan 07 2016,CNEC,CANACOL ENERGY LTD,5760,-0.0086,457498340,79895,continua,SI,1105.73,-0.020888676
Jan 08 2016,CNEC,CANACOL ENERGY LTD,5850,0.0156 ,211939680,36633,continua,SI,1098.32,-0.006701455
Jan 12 2016,CNEC,CANACOL ENERGY LTD,5210,-0.1094,1870987150,359080,continua,SI,1079.28,-0.017335567
Jan 13 2016,CNEC,CANACOL ENERGY LTD,5060,-0.0288,1117577330,215450,continua,SI,1096.68,0.016121859
Jan 14 2016,CNEC,CANACOL ENERGY LTD,5130,0.0138 ,686712580,134081,continua,SI,1128.65,0.029151621
Jan 15 2016,CNEC,CANACOL ENERGY LTD,4995,-0.0263,874204100,176443,continua,SI,1103.26,-0.022495902
Jan 18 2016,CNEC,CANACOL ENERGY LTD,4945,-0.0100,171481680,34617,continua,SI,1078.69,-0.022270362
Jan 19 2016,CNEC,CANACOL ENERGY LTD,4900,-0.0091,486482140,98441,continua,SI,1100.3,0.020033559
Jan 20 2016,CNEC,CANACOL ENERGY LTD,4780,-0.0245,924810545,195974,continua,SI,1109.33,0.008206853
Jan 21 2016,CNEC,CANACOL ENERGY LTD,4870,0.0188 ,687664945,141683,continua,SI,1124.79,0.01393634
Jan 22 2016,CNEC,CANACOL ENERGY LTD,5590,0.1478 ,1770884090,330525,continua,SI,1151.62,0.023853342
Jan 25 2016,CNEC,CANACOL ENERGY LTD,5500,-0.0161,804362310,148784,continua,SI,1139.32,-0.010680606
Jan 26 2016,CNEC,CANACOL ENERGY LTD,5640,0.0255 ,653169490,115615,continua,SI,1146.36,0.006179124
Jan 27 2016,CNEC,CANACOL ENERGY LTD,5830,0.0337 ,1393760460,237775,continua,SI,1153.46,0.006193517
Jan 28 2016,CNEC,CANACOL ENERGY LTD,5990,0.0274 ,1402873110,231810,continua,SI,1165.38,0.010334125
Jan 29 2016,CNEC,CANACOL ENERGY LTD,6190,0.0334 ,2788245930,455054,continua,SI,1175.09,0.008332046
Feb 01 2016,CNEC,CANACOL ENERGY LTD,6000,-0.0307,956237750,159326,continua,SI,1180.72,0.004791122
Feb 02 2016,CNEC,CANACOL ENERGY LTD,5830,-0.0283,568753150,97095,continua,SI,1165.77,-0.012661766
Feb 03 2016,CNEC,CANACOL ENERGY LTD,6090,0.0446 ,1325993500,224042,continua,SI,1180.66,0.012772674
Feb 04 2016,CNEC,CANACOL ENERGY LTD,6110,0.0033 ,990722310,161302,continua,SI,1188.73,0.00683516
Feb 05 2016,CNEC,CANACOL ENERGY LTD,6040,-0.0115,363915800,59816,continua,SI,1195.11,0.005367072
Feb 08 2016,CNEC,CANACOL ENERGY LTD,5890,-0.0248,1003627760,170371,continua,SI,1192.98,-0.001782263
Feb 09 2016,CNEC,CANACOL ENERGY LTD,5740,-0.0255,1050892030,182667,continua,SI,1196.9,0.003285889
Feb 10 2016,CNEC,CANACOL ENERGY LTD,5720,-0.0035,1103073040,192565,continua,SI,1200.42,0.002940931
Feb 11 2016,CNEC,CANACOL ENERGY LTD,5840,0.0210 ,763108120,133851,continua,SI,1198.51,-0.00159111
Feb 12 2016,CNEC,CANACOL ENERGY LTD,5950,0.0188 ,952995640,159994,continua,SI,1209.03,0.008777565
Feb 15 2016,CNEC,CANACOL ENERGY LTD,6070,0.0202 ,395154810,65606,continua,SI,1209.88,0.000703043
Feb 16 2016,CNEC,CANACOL ENERGY LTD,6700,0.1038 ,4150401810,645794,continua,SI,1199.98,-0.00818263
Feb 17 2016,CNEC,CANACOL ENERGY LTD,7140,0.0657 ,2442452910,347703,continua,SI,1233.34,0.027800463
Feb 18 2016,CNEC,CANACOL ENERGY LTD,6800,-0.0476,2178223930,312807,continua,SI,1235.89,0.002067556
Feb 19 2016,CNEC,CANACOL ENERGY LTD,6690,-0.0162,796873550,119762,continua,SI,1234.93,-0.000776768
Feb 22 2016,CNEC,CANACOL ENERGY LTD,7100,0.0613 ,1117773460,159594,continua,SI,1236.37,0.001166058
Feb 23 2016,CNEC,CANACOL ENERGY LTD,6980,-0.0169,915586580,131827,continua,SI,1229.65,-0.005435266
Feb 24 2016,CNEC,CANACOL ENERGY LTD,6990,0.0014 ,1353887420,197568,continua,SI,1228.18,-0.001195462
Feb 25 2016,CNEC,CANACOL ENERGY LTD,7580,0.0844 ,4456021620,588846,continua,SI,1240.13,0.009729844
Feb 26 2016,CNEC,CANACOL ENERGY LTD,7900,0.0422 ,3874625060,489041,continua,SI,1246.68,0.005281704
Feb 29 2016,CNEC,CANACOL ENERGY LTD,7970,0.0089 ,2009510150,249330,continua,SI,1244.17,-0.002013347
Mar 01 2016,CNEC,CANACOL ENERGY LTD,8060,0.0113 ,1791649700,221829,continua,SI,1255.54,0.009138623
Mar 02 2016,CNEC,CANACOL ENERGY LTD,8100,0.0050 ,2275466040,286182,continua,SI,1276.63,0.016797553
Mar 03 2016,CNEC,CANACOL ENERGY LTD,8630,0.0654 ,3575138260,416144,continua,SI,1295.43,0.014726272
Mar 04 2016,CNEC,CANACOL ENERGY LTD,8600,-0.0035,1722913070,200161,continua,SI,1294.86,-0.000440008
Mar 07 2016,CNEC,CANACOL ENERGY LTD,8490,-0.0128,1535767410,180586,continua,SI,1307.17,0.009506819
Mar 08 2016,CNEC,CANACOL ENERGY LTD,8210,-0.0330,1743898340,212529,continua,SI,1294.63,-0.009593243
Mar 09 2016,CNEC,CANACOL ENERGY LTD,8290,0.0097 ,1304279460,158045,continua,SI,1296.27,0.001266771
Mar 10 2016,CNEC,CANACOL ENERGY LTD,7930,-0.0434,1857323440,228833,continua,SI,1299.45,0.002453193
Mar 11 2016,CNEC,CANACOL ENERGY LTD,8000,0.0088 ,2656158050,334318,continua,SI,1302.71,0.002508754
Mar 14 2016,CNEC,CANACOL ENERGY LTD,7980,-0.0025,951156790,120362,continua,SI,1298.48,-0.003247077
Mar 15 2016,CNEC,CANACOL ENERGY LTD,7740,-0.0301,647465940,84071,continua,SI,1285.34,-0.010119524
Mar 16 2016,CNEC,CANACOL ENERGY LTD,8140,0.0517 ,2005715550,248402,continua,SI,1284.4,-0.000731324
Mar 17 2016,CNEC,CANACOL ENERGY LTD,8180,0.0049 ,1286046270,156676,continua,SI,1295.89,0.008945811
Mar 18 2016,CNEC,CANACOL ENERGY LTD,7860,-0.0391,527978050,65976,continua,SI,1309.81,0.010741652
Mar 22 2016,CNEC,CANACOL ENERGY LTD,7920,0.0076 ,524740830,66502,continua,SI,1316.92,0.005428268
Mar 23 2016,CNEC,CANACOL ENERGY LTD,7700,-0.0278,1192692410,153366,continua,SI,1321.05,0.003136105
Mar 28 2016,CNEC,CANACOL ENERGY LTD,7530,-0.0221,541959550,71217,continua,SI,1305.41,-0.011839067
Mar 29 2016,CNEC,CANACOL ENERGY LTD,7800,0.0359 ,481318420,63019,continua,SI,1299.65,-0.004412407
Mar 30 2016,CNEC,CANACOL ENERGY LTD,7730,-0.0090,862770310,109261,continua,SI,1319.77,0.015481091
Mar 31 2016,CNEC,CANACOL ENERGY LTD,7970,0.0310 ,851306480,107838,continua,SI,1336.27,0.012502178
Apr 01 2016,CNEC,CANACOL ENERGY LTD,8030,0.0075 ,822003420,104299,continua,SI,1333.63,-0.001975649
Apr 04 2016,CNEC,CANACOL ENERGY LTD,7770,-0.0324,481357150,60959,continua,SI,1337.58,0.002961841
Apr 05 2016,CNEC,CANACOL ENERGY LTD,7790,0.0026 ,897731590,115858,continua,SI,1313.19,-0.018234423
Apr 06 2016,CNEC,CANACOL ENERGY LTD,7800,0.0013 ,699370520,89122,continua,SI,1321.5,0.006328102
Apr 07 2016,CNEC,CANACOL ENERGY LTD,7700,-0.0128,389455770,50252,continua,SI,1316.11,-0.004078698
Apr 08 2016,CNEC,CANACOL ENERGY LTD,7970,0.0351 ,1510096940,189344,continua,SI,1326.57,0.007947664
Apr 11 2016,CNEC,CANACOL ENERGY LTD,8110,0.0176 ,832534100,103206,continua,SI,1336.37,0.007387473
Apr 12 2016,CNEC,CANACOL ENERGY LTD,8290,0.0222 ,1205943540,146215,continua,SI,1364.13,0.02077269
Apr 13 2016,CNEC,CANACOL ENERGY LTD,8340,0.0060 ,1288761650,155394,continua,SI,1370.62,0.004757611
Apr 14 2016,CNEC,CANACOL ENERGY LTD,8580,0.0288 ,2371652130,279632,continua,SI,1364.97,-0.004122222
Apr 15 2016,CNEC,CANACOL ENERGY LTD,8270,-0.0361,1585805180,190616,continua,SI,1355.2,-0.007157666
Apr 18 2016,CNEC,CANACOL ENERGY LTD,8400,0.0157 ,2682976070,323655,continua,SI,1354.76,-0.000324675
Apr 19 2016,CNEC,CANACOL ENERGY LTD,8590,0.0226 ,1206709760,140851,continua,SI,1362.84,0.005964156
Apr 20 2016,CNEC,CANACOL ENERGY LTD,9060,0.0547 ,6217882060,696758,continua,SI,1376.61,0.010103901
Apr 21 2016,CNEC,CANACOL ENERGY LTD,9120,0.0066 ,4871642890,527271,continua,SI,1375.95,-0.000479439
Apr 22 2016,CNEC,CANACOL ENERGY LTD,8860,-0.0285,3624947670,398371,continua,SI,1374.41,-0.001119227
Apr 25 2016,CNEC,CANACOL ENERGY LTD,8780,-0.0090,2034465260,233760,continua,SI,1359.25,-0.011030187
Apr 26 2016,CNEC,CANACOL ENERGY LTD,8950,0.0194 ,1292533700,144745,continua,SI,1365.2,0.004377414
Apr 27 2016,CNEC,CANACOL ENERGY LTD,9000,0.0056 ,2045106450,226438,continua,SI,1361.98,-0.002358629
Apr 28 2016,CNEC,CANACOL ENERGY LTD,8900,-0.0111,658829170,73341,continua,SI,1362.02,2.9369E-05
Apr 29 2016,CNEC,CANACOL ENERGY LTD,9300,0.0449 ,6284082000,685902,continua,SI,1342.42,-0.014390391
May 02 2016,CNEC,CANACOL ENERGY LTD,8750,-0.0591,2632147840,295392,continua,SI,1342.5,5.95939E-05
May 03 2016,CNEC,CANACOL ENERGY LTD,8450,-0.0343,4005011690,474850,continua,SI,1320.18,-0.016625698
May 04 2016,CNEC,CANACOL ENERGY LTD,8450,0.0000 ,1780001890,210784,continua,SI,1311.83,-0.006324895
May 05 2016,CNEC,CANACOL ENERGY LTD,8580,0.0154 ,1936777360,226907,continua,SI,1291.14,-0.015771861
May 06 2016,CNEC,CANACOL ENERGY LTD,8480,-0.0117,628455610,73605,continua,SI,1293.03,0.001463823
