fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1080,0.0237 ,5400000,5000,continua,SI,1153.71,0.004755062
Jan 04 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1080,0.0000 ,4320000,4000,continua,SI,1129.71,-0.020802455
Jan 05 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1070,-0.0093,63206820,59494,continua,SI,1142.4,0.011232971
Jan 06 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1070,0.0000 ,3656655,3533,continua,SI,1129.32,-0.01144958
Jan 07 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1070,0.0000 ,0,0,continua,SI,1105.73,-0.020888676
Jan 08 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1070,0.0000 ,0,0,continua,SI,1098.32,-0.006701455
Jan 12 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1035,-0.0327,37360395,36097,continua,SI,1079.28,-0.017335567
Jan 13 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1060,0.0242 ,50367990,49297,continua,SI,1096.68,0.016121859
Jan 14 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1015,-0.0425,24604885,24248,continua,SI,1128.65,0.029151621
Jan 15 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1015,0.0000 ,0,0,continua,SI,1103.26,-0.022495902
Jan 18 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1015,0.0000 ,0,0,continua,SI,1078.69,-0.022270362
Jan 19 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1050,0.0345 ,15750000,15000,continua,SI,1100.3,0.020033559
Jan 20 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1050,0.0000 ,0,0,continua,SI,1109.33,0.008206853
Jan 21 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1050,0.0000 ,26537105,25965,continua,SI,1124.79,0.01393634
Jan 22 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1055,0.0048 ,9994290,9478,continua,SI,1151.62,0.023853342
Jan 25 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1060,0.0047 ,81795010,77064,continua,SI,1139.32,-0.010680606
Jan 26 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1060,0.0000 ,1031100,982,continua,SI,1146.36,0.006179124
Jan 27 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1050,-0.0094,36930600,35172,continua,SI,1153.46,0.006193517
Jan 28 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1055,0.0048 ,5897450,5590,continua,SI,1165.38,0.010334125
Jan 29 2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,1080,0.0237 ,17280000,16000,continua,SI,1175.09,0.008332046
