fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38480,0.0126 ,1919624320,50185,continua,SI,1153.71,0.004755062
Jan 04 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38020,-0.0120,905451760,23810,continua,SI,1129.71,-0.020802455
Jan 05 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38400,0.0100 ,1236384120,32444,continua,SI,1142.4,0.011232971
Jan 06 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38400,0.0000 ,2733475620,72530,continua,SI,1129.32,-0.01144958
Jan 07 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36500,-0.0495,539591940,14709,continua,SI,1105.73,-0.020888676
Jan 08 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36400,-0.0027,432302120,11817,continua,SI,1098.32,-0.006701455
Jan 12 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36000,-0.0110,2903848000,79829,continua,SI,1079.28,-0.017335567
Jan 13 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36020,0.0006 ,1772842660,48947,continua,SI,1096.68,0.016121859
Jan 14 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37200,0.0328 ,1559978440,42198,continua,SI,1128.65,0.029151621
Jan 15 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36360,-0.0226,965170440,26341,continua,SI,1103.26,-0.022495902
Jan 18 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36020,-0.0094,1173459140,32432,continua,SI,1078.69,-0.022270362
Jan 19 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36900,0.0244 ,2012499460,55122,continua,SI,1100.3,0.020033559
Jan 20 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36600,-0.0081,2840591580,78080,continua,SI,1109.33,0.008206853
Jan 21 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36140,-0.0126,1555420180,42686,continua,SI,1124.79,0.01393634
Jan 22 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36500,0.0100 ,1672680080,45727,continua,SI,1151.62,0.023853342
Jan 25 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36120,-0.0104,984889780,27113,continua,SI,1139.32,-0.010680606
Jan 26 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36660,0.0150 ,782107940,21426,continua,SI,1146.36,0.006179124
Jan 27 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36900,0.0065 ,754340700,20495,continua,SI,1153.46,0.006193517
Jan 28 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36640,-0.0070,667638360,18238,continua,SI,1165.38,0.010334125
Jan 29 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37300,0.0180 ,9573656080,258536,continua,SI,1175.09,0.008332046
Feb 01 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37000,-0.0080,1511657180,41145,continua,SI,1180.72,0.004791122
Feb 02 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36540,-0.0124,777288580,21205,continua,SI,1165.77,-0.012661766
Feb 03 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36800,0.0071 ,670900480,18200,continua,SI,1180.66,0.012772674
Feb 04 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36900,0.0027 ,959524460,26111,continua,SI,1188.73,0.00683516
Feb 05 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36980,0.0022 ,297245220,8068,continua,SI,1195.11,0.005367072
Feb 08 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37000,0.0005 ,548267820,14848,continua,SI,1192.98,-0.001782263
Feb 09 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37400,0.0108 ,2340072620,63267,continua,SI,1196.9,0.003285889
Feb 10 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37340,-0.0016,4361779920,116495,continua,SI,1200.42,0.002940931
Feb 11 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37120,-0.0059,1317140400,35325,continua,SI,1198.51,-0.00159111
Feb 12 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37300,0.0048 ,804500340,21568,continua,SI,1209.03,0.008777565
Feb 15 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37240,-0.0016,307506040,8251,continua,SI,1209.88,0.000703043
Feb 16 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,36900,-0.0091,3019320120,81271,continua,SI,1199.98,-0.00818263
Feb 17 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37300,0.0108 ,4205939240,112452,continua,SI,1233.34,0.027800463
Feb 18 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37980,0.0182 ,2217638600,58589,continua,SI,1235.89,0.002067556
Feb 19 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38500,0.0137 ,1240140940,32469,continua,SI,1234.93,-0.000776768
Feb 22 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38300,-0.0052,495364400,12872,continua,SI,1236.37,0.001166058
Feb 23 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37640,-0.0172,552517400,14567,continua,SI,1229.65,-0.005435266
Feb 24 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38180,0.0143 ,1357829440,35820,continua,SI,1228.18,-0.001195462
Feb 25 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38100,-0.0021,2606257940,68435,continua,SI,1240.13,0.009729844
Feb 26 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38000,-0.0026,2216665680,58068,continua,SI,1246.68,0.005281704
Feb 29 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38000,0.0000 ,3275938340,86206,continua,SI,1244.17,-0.002013347
Mar 01 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37580,-0.0111,6957382800,184417,continua,SI,1255.54,0.009138623
Mar 02 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37780,0.0053 ,4144686400,110526,continua,SI,1276.63,0.016797553
Mar 03 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38000,0.0058 ,5861444520,154767,continua,SI,1295.43,0.014726272
Mar 04 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37900,-0.0026,769223620,20298,continua,SI,1294.86,-0.000440008
Mar 07 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37940,0.0011 ,546779940,14425,continua,SI,1307.17,0.009506819
Mar 08 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37820,-0.0032,695000520,18412,continua,SI,1294.63,-0.009593243
Mar 09 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37900,0.0021 ,730327080,19301,continua,SI,1296.27,0.001266771
Mar 10 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37900,0.0000 ,1459881160,38605,continua,SI,1299.45,0.002453193
Mar 11 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37780,-0.0032,309056420,8199,continua,SI,1302.71,0.002508754
Mar 14 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37380,-0.0106,704003460,18802,continua,SI,1298.48,-0.003247077
Mar 15 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37500,0.0032 ,2104281080,56241,continua,SI,1285.34,-0.010119524
Mar 16 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37500,0.0000 ,932680960,24906,continua,SI,1284.4,-0.000731324
Mar 17 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,37500,0.0000 ,2275560700,60683,continua,SI,1295.89,0.008945811
Mar 18 2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,38380,0.0235 ,7277513620,192077,continua,SI,1309.81,0.010741652
