fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,ECOPETROL,ECOPETROL S.A.,1110,-0.0177,2223624390,2004637,continua,SI,1153.71,0.004755062
Jan 04 2016,ECOPETROL,ECOPETROL S.A.,1105,-0.0045,3171007125,2838452,continua,SI,1129.71,-0.020802455
Jan 05 2016,ECOPETROL,ECOPETROL S.A.,1085,-0.0181,5949797650,5489806,continua,SI,1142.4,0.011232971
Jan 06 2016,ECOPETROL,ECOPETROL S.A.,1060,-0.0230,5485914960,5171972,continua,SI,1129.32,-0.01144958
Jan 07 2016,ECOPETROL,ECOPETROL S.A.,1035,-0.0236,6344253355,6077752,continua,SI,1105.73,-0.020888676
Jan 08 2016,ECOPETROL,ECOPETROL S.A.,1015,-0.0193,4262894265,4186359,continua,SI,1098.32,-0.006701455
Jan 12 2016,ECOPETROL,ECOPETROL S.A.,955,-0.0591,13531083501,14073512,continua,SI,1079.28,-0.017335567
Jan 13 2016,ECOPETROL,ECOPETROL S.A.,961,0.0063 ,9846388185,10172368,continua,SI,1096.68,0.016121859
Jan 14 2016,ECOPETROL,ECOPETROL S.A.,987,0.0271 ,8479785161,8648680,continua,SI,1128.65,0.029151621
Jan 15 2016,ECOPETROL,ECOPETROL S.A.,978,-0.0091,6435605496,6650172,continua,SI,1103.26,-0.022495902
Jan 18 2016,ECOPETROL,ECOPETROL S.A.,881,-0.0992,6294909167,6795457,continua,SI,1078.69,-0.022270362
Jan 19 2016,ECOPETROL,ECOPETROL S.A.,923,0.0477 ,12802279218,13718117,continua,SI,1100.3,0.020033559
Jan 20 2016,ECOPETROL,ECOPETROL S.A.,914,-0.0098,14406455182,15922245,continua,SI,1109.33,0.008206853
Jan 21 2016,ECOPETROL,ECOPETROL S.A.,950,0.0394 ,11911352471,12594160,continua,SI,1124.79,0.01393634
Jan 22 2016,ECOPETROL,ECOPETROL S.A.,1020,0.0737 ,16707300783,16573215,continua,SI,1151.62,0.023853342
Jan 25 2016,ECOPETROL,ECOPETROL S.A.,958,-0.0608,13937460351,14192806,continua,SI,1139.32,-0.010680606
Jan 26 2016,ECOPETROL,ECOPETROL S.A.,975,0.0177 ,12392085895,12766330,continua,SI,1146.36,0.006179124
Jan 27 2016,ECOPETROL,ECOPETROL S.A.,990,0.0154 ,10874606233,11105561,continua,SI,1153.46,0.006193517
Jan 28 2016,ECOPETROL,ECOPETROL S.A.,1020,0.0303 ,24477408610,23876003,continua,SI,1165.38,0.010334125
Jan 29 2016,ECOPETROL,ECOPETROL S.A.,1030,0.0098 ,22881282750,22306673,continua,SI,1175.09,0.008332046
Feb 01 2016,ECOPETROL,ECOPETROL S.A.,1020,-0.0097,13507601621,13373859,continua,SI,1180.72,0.004791122
Feb 02 2016,ECOPETROL,ECOPETROL S.A.,993,-0.0265,12702198436,12717332,continua,SI,1165.77,-0.012661766
Feb 03 2016,ECOPETROL,ECOPETROL S.A.,1035,0.0423 ,18590334203,18496852,continua,SI,1180.66,0.012772674
Feb 04 2016,ECOPETROL,ECOPETROL S.A.,1050,0.0145 ,21056326980,19873948,continua,SI,1188.73,0.00683516
Feb 05 2016,ECOPETROL,ECOPETROL S.A.,1045,-0.0048,14088146020,13486852,continua,SI,1195.11,0.005367072
Feb 08 2016,ECOPETROL,ECOPETROL S.A.,1060,0.0144 ,7796204780,7403197,continua,SI,1192.98,-0.001782263
Feb 09 2016,ECOPETROL,ECOPETROL S.A.,1025,-0.0330,24847762675,23965471,continua,SI,1196.9,0.003285889
Feb 10 2016,ECOPETROL,ECOPETROL S.A.,1030,0.0049 ,14924881605,14508051,continua,SI,1200.42,0.002940931
Feb 11 2016,ECOPETROL,ECOPETROL S.A.,1035,0.0049 ,24994143415,24579078,continua,SI,1198.51,-0.00159111
Feb 12 2016,ECOPETROL,ECOPETROL S.A.,1065,0.0290 ,27441829740,26046461,continua,SI,1209.03,0.008777565
Feb 15 2016,ECOPETROL,ECOPETROL S.A.,1070,0.0047 ,5553729280,5184385,continua,SI,1209.88,0.000703043
Feb 16 2016,ECOPETROL,ECOPETROL S.A.,1045,-0.0234,25821175410,24226093,continua,SI,1199.98,-0.00818263
Feb 17 2016,ECOPETROL,ECOPETROL S.A.,1155,0.1053 ,33717035125,30398566,continua,SI,1233.34,0.027800463
Feb 18 2016,ECOPETROL,ECOPETROL S.A.,1160,0.0043 ,38054203665,32381043,continua,SI,1235.89,0.002067556
Feb 19 2016,ECOPETROL,ECOPETROL S.A.,1130,-0.0259,24394191515,21467299,continua,SI,1234.93,-0.000776768
Feb 22 2016,ECOPETROL,ECOPETROL S.A.,1165,0.0310 ,19335289915,16447235,continua,SI,1236.37,0.001166058
Feb 23 2016,ECOPETROL,ECOPETROL S.A.,1145,-0.0172,28619676740,24878580,continua,SI,1229.65,-0.005435266
Feb 24 2016,ECOPETROL,ECOPETROL S.A.,1135,-0.0087,27185441000,24046584,continua,SI,1228.18,-0.001195462
Feb 25 2016,ECOPETROL,ECOPETROL S.A.,1150,0.0132 ,35458401305,30677392,continua,SI,1240.13,0.009729844
Feb 26 2016,ECOPETROL,ECOPETROL S.A.,1160,0.0087 ,32651221040,27944789,continua,SI,1246.68,0.005281704
Feb 29 2016,ECOPETROL,ECOPETROL S.A.,1140,-0.0172,21746908895,18919883,continua,SI,1244.17,-0.002013347
Mar 01 2016,ECOPETROL,ECOPETROL S.A.,1170,0.0263 ,27997170930,24038929,continua,SI,1255.54,0.009138623
Mar 02 2016,ECOPETROL,ECOPETROL S.A.,1260,0.0769 ,53697776785,44854626,continua,SI,1276.63,0.016797553
Mar 03 2016,ECOPETROL,ECOPETROL S.A.,1320,0.0476 ,32638009145,25035594,continua,SI,1295.43,0.014726272
Mar 04 2016,ECOPETROL,ECOPETROL S.A.,1365,0.0341 ,43696276335,32292269,continua,SI,1294.86,-0.000440008
Mar 07 2016,ECOPETROL,ECOPETROL S.A.,1425,0.0440 ,50953861785,36767104,continua,SI,1307.17,0.009506819
Mar 08 2016,ECOPETROL,ECOPETROL S.A.,1340,-0.0596,44105563010,32501797,continua,SI,1294.63,-0.009593243
Mar 09 2016,ECOPETROL,ECOPETROL S.A.,1340,0.0000 ,39676427925,29130546,continua,SI,1296.27,0.001266771
Mar 10 2016,ECOPETROL,ECOPETROL S.A.,1350,0.0075 ,25729792180,19242811,continua,SI,1299.45,0.002453193
Mar 11 2016,ECOPETROL,ECOPETROL S.A.,1360,0.0074 ,21914468775,16091346,continua,SI,1302.71,0.002508754
Mar 14 2016,ECOPETROL,ECOPETROL S.A.,1335,-0.0184,7428855255,5575416,continua,SI,1298.48,-0.003247077
Mar 15 2016,ECOPETROL,ECOPETROL S.A.,1285,-0.0375,25613824785,19701904,continua,SI,1285.34,-0.010119524
Mar 16 2016,ECOPETROL,ECOPETROL S.A.,1345,0.0467 ,21010508860,15960555,continua,SI,1284.4,-0.000731324
Mar 17 2016,ECOPETROL,ECOPETROL S.A.,1380,0.0260 ,22732699580,16562022,continua,SI,1295.89,0.008945811
Mar 18 2016,ECOPETROL,ECOPETROL S.A.,1325,-0.0399,43475214360,32235682,continua,SI,1309.81,0.010741652
Mar 22 2016,ECOPETROL,ECOPETROL S.A.,1350,0.0189 ,25967400060,19430183,continua,SI,1316.92,0.005428268
Mar 23 2016,ECOPETROL,ECOPETROL S.A.,1340,-0.0074,16796347370,12778363,continua,SI,1321.05,0.003136105
Mar 28 2016,ECOPETROL,ECOPETROL S.A.,1290,-0.0373,10341452340,8036178,continua,SI,1305.41,-0.011839067
Mar 29 2016,ECOPETROL,ECOPETROL S.A.,1280,-0.0078,12588857345,9997403,continua,SI,1299.65,-0.004412407
Mar 30 2016,ECOPETROL,ECOPETROL S.A.,1310,0.0234 ,25270289135,19409861,continua,SI,1319.77,0.015481091
Mar 31 2016,ECOPETROL,ECOPETROL S.A.,1310,0.0000 ,18853651855,14440344,continua,SI,1336.27,0.012502178
Apr 01 2016,ECOPETROL,ECOPETROL S.A.,1300,-0.0076,27511762425,21282414,continua,SI,1333.63,-0.001975649
Apr 04 2016,ECOPETROL,ECOPETROL S.A.,1290,-0.0077,14201983575,10923096,continua,SI,1337.58,0.002961841
Apr 05 2016,ECOPETROL,ECOPETROL S.A.,1265,-0.0194,11967741210,9468641,continua,SI,1313.19,-0.018234423
Apr 06 2016,ECOPETROL,ECOPETROL S.A.,1265,0.0000 ,32270682300,25448916,continua,SI,1321.5,0.006328102
Apr 07 2016,ECOPETROL,ECOPETROL S.A.,1220,-0.0356,19917761740,16118666,continua,SI,1316.11,-0.004078698
Apr 08 2016,ECOPETROL,ECOPETROL S.A.,1280,0.0492 ,19795316745,15568567,continua,SI,1326.57,0.007947664
Apr 11 2016,ECOPETROL,ECOPETROL S.A.,1290,0.0078 ,15924900170,12289478,continua,SI,1336.37,0.007387473
Apr 12 2016,ECOPETROL,ECOPETROL S.A.,1380,0.0698 ,35344843630,26352605,continua,SI,1364.13,0.02077269
Apr 13 2016,ECOPETROL,ECOPETROL S.A.,1400,0.0145 ,31254332360,22272454,continua,SI,1370.62,0.004757611
Apr 14 2016,ECOPETROL,ECOPETROL S.A.,1380,-0.0143,14614706040,10560376,continua,SI,1364.97,-0.004122222
Apr 15 2016,ECOPETROL,ECOPETROL S.A.,1350,-0.0217,16854420495,12497070,continua,SI,1355.2,-0.007157666
Apr 18 2016,ECOPETROL,ECOPETROL S.A.,1360,0.0074 ,24069833550,17912580,continua,SI,1354.76,-0.000324675
Apr 19 2016,ECOPETROL,ECOPETROL S.A.,1380,0.0147 ,29317276730,21199231,continua,SI,1362.84,0.005964156
