fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 04 2016,579900,ENKA,7132770,12,-3.91
Jun 05 2016,3186538,ENKA,38032182,12,-3.25
Jun 09 2016,2466800,ENKA,28763160,12,3.36
Jun 11 2016,40819022,ENKA,489828264,12,-2.44
Jun 18 2016,100000,ENKA,1160000,12,0
Jun 25 2016,1675000,ENKA,19392500,12,0
Jun 28 2016,625000,ENKA,7187500,12,-0.86
Jun 29 2016,850000,ENKA,9775000,12,0
Jul 01 2016,850000,ENKA,9775000,12,0
Jul 11 2016,10000,ENKA,116000,12,0
Jul 12 2016,7191711,ENKA,86300532,12,4.35
Jul 18 2016,1300000,ENKA,15340000,12,-1.67
Jul 24 2016,500,ENKA,5800,12,0
Jul 25 2016,2129500,ENKA,25128100,12,0
Jul 26 2016,2652000,ENKA,31173600,12,0
Jul 29 2016,870000,ENKA,10266000,12,0
Aug 02 2016,2428203,ENKA,28742795,12,0.85
Aug 04 2016,1606596,ENKA,18957833,12,-0.84
Aug 07 2016,505000,ENKA,5959000,12,0
Aug 16 2016,434075,ENKA,5026863,12,0
Aug 17 2016,10089953,ENKA,118015441,12,0.85
Aug 18 2016,14200000,ENKA,167780000,12,0
Aug 19 2016,2042632,ENKA,24278858,12,0
Aug 21 2016,2000000,ENKA,23800000,12,0
Aug 31 2016,1782000,ENKA,20671200,12,-2.52
Sep 01 2016,5585874,ENKA,66471901,12,2.59
Sep 18 2016,1668500,ENKA,19855150,12,0
Sep 19 2016,2850000,ENKA,34140000,12,0.84
Sep 21 2016,85000,ENKA,986000,12,0
Oct 03 2016,70021790,ENKA,840261480,12,0
Oct 04 2016,5000000,ENKA,60000000,12,0
Oct 05 2016,115000,ENKA,1380000,12,0
Oct 11 2016,215000,ENKA,2558500,12,0
Oct 14 2016,370370,ENKA,4296292,12,0
Oct 20 2016,825020,ENKA,9570232,12,0
Oct 26 2016,3303000,ENKA,37984500,12,-4.17
Oct 28 2016,600000,ENKA,6960000,12,0.87
Nov 01 2016,115000,ENKA,1380000,12,0
Nov 03 2016,70021790,ENKA,840261480,12,0
Nov 04 2016,5000000,ENKA,60000000,12,0
Nov 07 2016,115000,ENKA,1380000,12,0
Nov 15 2016,500000,ENKA,6000000,12,0
Nov 21 2016,4140000,ENKA,49245000,12,-0.83
Dec 02 2016,600000,ENKA,6960000,12,-4.92
