fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,519,-0.0152,130837232,252426,continua,SI,1153.71,0.004755062
Jan 04 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,520,0.0019 ,120263528,233263,continua,SI,1129.71,-0.020802455
Jan 05 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,543,0.0442 ,1557991697,2898239,continua,SI,1142.4,0.011232971
Jan 06 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,540,-0.0055,239373257,444633,continua,SI,1129.32,-0.01144958
Jan 07 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,517,-0.0426,247117476,470380,continua,SI,1105.73,-0.020888676
Jan 08 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,530,0.0251 ,246625608,466063,continua,SI,1098.32,-0.006701455
Jan 12 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,541,0.0208 ,682183290,1277374,continua,SI,1079.28,-0.017335567
Jan 13 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,541,0.0000 ,1876687413,3439327,continua,SI,1096.68,0.016121859
Jan 14 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,542,0.0018 ,492203909,908932,continua,SI,1128.65,0.029151621
Jan 15 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,530,-0.0221,1085874934,2061431,continua,SI,1103.26,-0.022495902
Jan 18 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,530,0.0000 ,532039763,1006551,continua,SI,1078.69,-0.022270362
Jan 19 2016,ETB,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,520,-0.0189,726414954,1392330,continua,SI,1100.3,0.020033559
