fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,EXITO,ALMACENES EXITO S.A.,13500,0.0227 ,931009960,69444,continua,SI,1153.71,0.004755062
Jan 04 2016,EXITO,ALMACENES EXITO S.A.,13000,-0.0370,366491260,28168,continua,SI,1129.71,-0.020802455
Jan 05 2016,EXITO,ALMACENES EXITO S.A.,12980,-0.0015,8988654500,698654,continua,SI,1142.4,0.011232971
Jan 06 2016,EXITO,ALMACENES EXITO S.A.,12760,-0.0169,2791327940,218864,continua,SI,1129.32,-0.01144958
Jan 07 2016,EXITO,ALMACENES EXITO S.A.,12600,-0.0125,2115456760,169167,continua,SI,1105.73,-0.020888676
Jan 08 2016,EXITO,ALMACENES EXITO S.A.,12600,0.0000 ,1162729100,92268,continua,SI,1098.32,-0.006701455
Jan 12 2016,EXITO,ALMACENES EXITO S.A.,12300,-0.0238,1724653500,140800,continua,SI,1079.28,-0.017335567
Jan 13 2016,EXITO,ALMACENES EXITO S.A.,12620,0.0260 ,1499770360,119008,continua,SI,1096.68,0.016121859
Jan 14 2016,EXITO,ALMACENES EXITO S.A.,12780,0.0127 ,1138260360,88813,continua,SI,1128.65,0.029151621
Jan 15 2016,EXITO,ALMACENES EXITO S.A.,12800,0.0016 ,3307292020,263249,continua,SI,1103.26,-0.022495902
Jan 18 2016,EXITO,ALMACENES EXITO S.A.,12800,0.0000 ,2115486500,163850,continua,SI,1078.69,-0.022270362
Jan 19 2016,EXITO,ALMACENES EXITO S.A.,13060,0.0203 ,12874077920,988449,continua,SI,1100.3,0.020033559
Jan 20 2016,EXITO,ALMACENES EXITO S.A.,13060,0.0000 ,17305804340,1325148,continua,SI,1109.33,0.008206853
Jan 21 2016,EXITO,ALMACENES EXITO S.A.,13420,0.0276 ,4327723000,326318,continua,SI,1124.79,0.01393634
Jan 22 2016,EXITO,ALMACENES EXITO S.A.,13300,-0.0089,12304317620,910436,continua,SI,1151.62,0.023853342
Jan 25 2016,EXITO,ALMACENES EXITO S.A.,13520,0.0165 ,1924402700,143642,continua,SI,1139.32,-0.010680606
Jan 26 2016,EXITO,ALMACENES EXITO S.A.,13500,-0.0015,3062373000,225719,continua,SI,1146.36,0.006179124
Jan 27 2016,EXITO,ALMACENES EXITO S.A.,13520,0.0015 ,13670933460,1009653,continua,SI,1153.46,0.006193517
Jan 28 2016,EXITO,ALMACENES EXITO S.A.,13600,0.0059 ,5598223700,408880,continua,SI,1165.38,0.010334125
Jan 29 2016,EXITO,ALMACENES EXITO S.A.,13640,0.0029 ,7303952100,531135,continua,SI,1175.09,0.008332046
Feb 01 2016,EXITO,ALMACENES EXITO S.A.,13800,0.0117 ,3564677200,259293,continua,SI,1180.72,0.004791122
Feb 02 2016,EXITO,ALMACENES EXITO S.A.,13680,-0.0087,2021607840,147109,continua,SI,1165.77,-0.012661766
Feb 03 2016,EXITO,ALMACENES EXITO S.A.,13520,-0.0117,1901870120,140086,continua,SI,1180.66,0.012772674
Feb 04 2016,EXITO,ALMACENES EXITO S.A.,13600,0.0059 ,2727098420,199096,continua,SI,1188.73,0.00683516
Feb 05 2016,EXITO,ALMACENES EXITO S.A.,13700,0.0074 ,3963916420,289440,continua,SI,1195.11,0.005367072
Feb 08 2016,EXITO,ALMACENES EXITO S.A.,13680,-0.0015,199084560,14539,continua,SI,1192.98,-0.001782263
Feb 09 2016,EXITO,ALMACENES EXITO S.A.,13700,0.0015 ,1879110660,137336,continua,SI,1196.9,0.003285889
Feb 10 2016,EXITO,ALMACENES EXITO S.A.,13620,-0.0058,3841791560,278755,continua,SI,1200.42,0.002940931
Feb 11 2016,EXITO,ALMACENES EXITO S.A.,13540,-0.0059,5220300740,388560,continua,SI,1198.51,-0.00159111
Feb 12 2016,EXITO,ALMACENES EXITO S.A.,13400,-0.0103,1165441180,86196,continua,SI,1209.03,0.008777565
Feb 15 2016,EXITO,ALMACENES EXITO S.A.,13340,-0.0045,2582396600,192815,continua,SI,1209.88,0.000703043
Feb 16 2016,EXITO,ALMACENES EXITO S.A.,13360,0.0015 ,8211553620,613997,continua,SI,1199.98,-0.00818263
Feb 17 2016,EXITO,ALMACENES EXITO S.A.,13520,0.0120 ,3579525320,265389,continua,SI,1233.34,0.027800463
Feb 18 2016,EXITO,ALMACENES EXITO S.A.,13760,0.0178 ,13133907880,959887,continua,SI,1235.89,0.002067556
Feb 19 2016,EXITO,ALMACENES EXITO S.A.,13800,0.0029 ,2835246140,205747,continua,SI,1234.93,-0.000776768
Feb 22 2016,EXITO,ALMACENES EXITO S.A.,13700,-0.0072,3040547840,221147,continua,SI,1236.37,0.001166058
Feb 23 2016,EXITO,ALMACENES EXITO S.A.,13620,-0.0058,2880586780,211326,continua,SI,1229.65,-0.005435266
Feb 24 2016,EXITO,ALMACENES EXITO S.A.,13520,-0.0073,2865015820,209919,continua,SI,1228.18,-0.001195462
Feb 25 2016,EXITO,ALMACENES EXITO S.A.,14100,0.0429 ,30964249080,2227676,continua,SI,1240.13,0.009729844
Feb 26 2016,EXITO,ALMACENES EXITO S.A.,14220,0.0085 ,8964638100,628044,continua,SI,1246.68,0.005281704
Feb 29 2016,EXITO,ALMACENES EXITO S.A.,14200,-0.0014,5122926000,361451,continua,SI,1244.17,-0.002013347
Mar 01 2016,EXITO,ALMACENES EXITO S.A.,14440,0.0169 ,29236631760,2029147,continua,SI,1255.54,0.009138623
Mar 02 2016,EXITO,ALMACENES EXITO S.A.,14900,0.0319 ,49983865560,3386397,continua,SI,1276.63,0.016797553
Mar 03 2016,EXITO,ALMACENES EXITO S.A.,15060,0.0107 ,13323510840,883294,continua,SI,1295.43,0.014726272
Mar 04 2016,EXITO,ALMACENES EXITO S.A.,14960,-0.0066,11704728520,775829,continua,SI,1294.86,-0.000440008
Mar 07 2016,EXITO,ALMACENES EXITO S.A.,15080,0.0080 ,12818812560,856897,continua,SI,1307.17,0.009506819
Mar 08 2016,EXITO,ALMACENES EXITO S.A.,15080,0.0000 ,9875853140,659588,continua,SI,1294.63,-0.009593243
Mar 09 2016,EXITO,ALMACENES EXITO S.A.,14980,-0.0066,5840816460,388436,continua,SI,1296.27,0.001266771
Mar 10 2016,EXITO,ALMACENES EXITO S.A.,15080,0.0067 ,7164834240,478157,continua,SI,1299.45,0.002453193
Mar 11 2016,EXITO,ALMACENES EXITO S.A.,15660,0.0385 ,17439822760,1134885,continua,SI,1302.71,0.002508754
Mar 14 2016,EXITO,ALMACENES EXITO S.A.,15700,0.0026 ,6452170600,409835,continua,SI,1298.48,-0.003247077
Mar 15 2016,EXITO,ALMACENES EXITO S.A.,15440,-0.0166,9154776280,589877,continua,SI,1285.34,-0.010119524
Mar 16 2016,EXITO,ALMACENES EXITO S.A.,15520,0.0052 ,18596007860,1206508,continua,SI,1284.4,-0.000731324
Mar 17 2016,EXITO,ALMACENES EXITO S.A.,15940,0.0271 ,7784450220,491513,continua,SI,1295.89,0.008945811
Mar 18 2016,EXITO,ALMACENES EXITO S.A.,16100,0.0100 ,38471601980,2416271,continua,SI,1309.81,0.010741652
Mar 22 2016,EXITO,ALMACENES EXITO S.A.,15300,-0.0497,13023807100,833387,continua,SI,1316.92,0.005428268
Mar 23 2016,EXITO,ALMACENES EXITO S.A.,14700,-0.0392,14808548460,990686,continua,SI,1321.05,0.003136105
Mar 28 2016,EXITO,ALMACENES EXITO S.A.,14960,0.0177 ,13681349040,913752,continua,SI,1305.41,-0.011839067
Mar 29 2016,EXITO,ALMACENES EXITO S.A.,15300,0.0227 ,12938499640,860772,continua,SI,1299.65,-0.004412407
Mar 30 2016,EXITO,ALMACENES EXITO S.A.,15680,0.0248 ,8423353400,541061,continua,SI,1319.77,0.015481091
Mar 31 2016,EXITO,ALMACENES EXITO S.A.,15680,0.0000 ,6097852560,392376,continua,SI,1336.27,0.012502178
Apr 01 2016,EXITO,ALMACENES EXITO S.A.,15700,0.0013 ,8323227060,529315,continua,SI,1333.63,-0.001975649
Apr 04 2016,EXITO,ALMACENES EXITO S.A.,15760,0.0038 ,3312102740,209760,continua,SI,1337.58,0.002961841
Apr 05 2016,EXITO,ALMACENES EXITO S.A.,15540,-0.0140,1018371060,65363,continua,SI,1313.19,-0.018234423
