fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,FABRICATO,FABRICATO  S.A.,15,0.0000 ,0,0,continua,NO,1153.71,0.004755062
Jan 04 2016,FABRICATO,FABRICATO  S.A.,15,0.0000 ,0,0,continua,NO,1129.71,-0.020802455
Jan 05 2016,FABRICATO,FABRICATO  S.A.,15.1,0.0067 ,16610000,1100000,continua,NO,1142.4,0.011232971
Jan 06 2016,FABRICATO,FABRICATO  S.A.,15.1,0.0000 ,9646393.1,641000,continua,NO,1129.32,-0.01144958
Jan 07 2016,FABRICATO,FABRICATO  S.A.,15.1,0.0000 ,0,0,continua,NO,1105.73,-0.020888676
Jan 08 2016,FABRICATO,FABRICATO  S.A.,15.1,0.0000 ,2840000,200000,continua,NO,1098.32,-0.006701455
Jan 12 2016,FABRICATO,FABRICATO  S.A.,14.3,-0.0530,12560948.4,878388,continua,NO,1079.28,-0.017335567
Jan 13 2016,FABRICATO,FABRICATO  S.A.,14.3,0.0000 ,900000,60000,continua,NO,1096.68,0.016121859
Jan 14 2016,FABRICATO,FABRICATO  S.A.,16,0.1189 ,170307760.5,10795140,continua,NO,1128.65,0.029151621
Jan 15 2016,FABRICATO,FABRICATO  S.A.,15.9,-0.0063,99217956.4,6348528,continua,NO,1103.26,-0.022495902
Jan 18 2016,FABRICATO,FABRICATO  S.A.,15.9,0.0000 ,0,0,continua,NO,1078.69,-0.022270362
Jan 19 2016,FABRICATO,FABRICATO  S.A.,15.9,0.0000 ,0,0,continua,NO,1100.3,0.020033559
Jan 20 2016,FABRICATO,FABRICATO  S.A.,15.9,0.0000 ,4609614.9,301299,continua,NO,1109.33,0.008206853
Jan 21 2016,FABRICATO,FABRICATO  S.A.,15.5,-0.0252,16233075.6,1047356,continua,NO,1124.79,0.01393634
Jan 22 2016,FABRICATO,FABRICATO  S.A.,15.2,-0.0194,77860000,5120000,continua,NO,1151.62,0.023853342
Jan 25 2016,FABRICATO,FABRICATO  S.A.,15,-0.0132,31619016.5,2091444,continua,NO,1139.32,-0.010680606
Jan 26 2016,FABRICATO,FABRICATO  S.A.,15,0.0000 ,3999839,264890,continua,NO,1146.36,0.006179124
Jan 27 2016,FABRICATO,FABRICATO  S.A.,15.8,0.0533 ,98450372.5,6331565,continua,NO,1153.46,0.006193517
Jan 28 2016,FABRICATO,FABRICATO  S.A.,16,0.0127 ,158319926.6,9919463,continua,NO,1165.38,0.010334125
Jan 29 2016,FABRICATO,FABRICATO  S.A.,16,0.0000 ,14623463,916570,continua,NO,1175.09,0.008332046
Feb 01 2016,FABRICATO,FABRICATO  S.A.,16.3,0.0188 ,16638000,1020000,continua,NO,1180.72,0.004791122
Feb 02 2016,FABRICATO,FABRICATO  S.A.,17,0.0429 ,196025519.6,11605510,continua,NO,1165.77,-0.012661766
Feb 03 2016,FABRICATO,FABRICATO  S.A.,17,0.0000 ,81103785.9,4734624,continua,NO,1180.66,0.012772674
Feb 04 2016,FABRICATO,FABRICATO  S.A.,17.3,0.0176 ,127218219.9,7329057,continua,NO,1188.73,0.00683516
Feb 05 2016,FABRICATO,FABRICATO  S.A.,17.3,0.0000 ,2565043.4,150479,continua,NO,1195.11,0.005367072
Feb 08 2016,FABRICATO,FABRICATO  S.A.,17.4,0.0058 ,137360287.8,7854097,continua,NO,1192.98,-0.001782263
Feb 09 2016,FABRICATO,FABRICATO  S.A.,17,-0.0230,110339630.1,6459562,continua,NO,1196.9,0.003285889
Feb 10 2016,FABRICATO,FABRICATO  S.A.,17.1,0.0059 ,42548647.3,2486763,continua,NO,1200.42,0.002940931
Feb 11 2016,FABRICATO,FABRICATO  S.A.,17.1,0.0000 ,83744611.9,4906381,continua,NO,1198.51,-0.00159111
Feb 12 2016,FABRICATO,FABRICATO  S.A.,17.5,0.0234 ,76149784.3,4387949,continua,NO,1209.03,0.008777565
Feb 15 2016,FABRICATO,FABRICATO  S.A.,18.2,0.0400 ,368631422.8,20440653,continua,NO,1209.88,0.000703043
Feb 16 2016,FABRICATO,FABRICATO  S.A.,17.9,-0.0165,105945716,5884092,continua,NO,1199.98,-0.00818263
Feb 17 2016,FABRICATO,FABRICATO  S.A.,17.4,-0.0279,72498651.5,4074785,continua,NO,1233.34,0.027800463
Feb 18 2016,FABRICATO,FABRICATO  S.A.,18,0.0345 ,272590483.7,15419399,continua,NO,1235.89,0.002067556
Feb 19 2016,FABRICATO,FABRICATO  S.A.,18,0.0000 ,200829426,11155000,continua,NO,1234.93,-0.000776768
Feb 22 2016,FABRICATO,FABRICATO  S.A.,17.8,-0.0111,14516312.4,815227,continua,NO,1236.37,0.001166058
Feb 23 2016,FABRICATO,FABRICATO  S.A.,18,0.0112 ,23233500,1290750,continua,NO,1229.65,-0.005435266
Feb 24 2016,FABRICATO,FABRICATO  S.A.,18.2,0.0111 ,117263858.5,6528307,continua,NO,1228.18,-0.001195462
Feb 25 2016,FABRICATO,FABRICATO  S.A.,19,0.0440 ,953939681.3,50943635,continua,NO,1240.13,0.009729844
Feb 26 2016,FABRICATO,FABRICATO  S.A.,18.7,-0.0158,213725045.2,11227336,continua,NO,1246.68,0.005281704
Feb 29 2016,FABRICATO,FABRICATO  S.A.,17.6,-0.0588,18736462.8,1058964,continua,NO,1244.17,-0.002013347
Mar 01 2016,FABRICATO,FABRICATO  S.A.,17.6,0.0000 ,9983353.6,567236,continua,NO,1255.54,0.009138623
