fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,GRUPOARGOS,GRUPO ARGOS S.A.,16200,0.0000 ,2842218640,175343,continua,SI,1153.71,0.004755062
Jan 04 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15800,-0.0247,593433100,37502,continua,SI,1129.71,-0.020802455
Jan 05 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16200,0.0253 ,978070660,60885,continua,SI,1142.4,0.011232971
Jan 06 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16200,0.0000 ,1931890980,119796,continua,SI,1129.32,-0.01144958
Jan 07 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15600,-0.0370,976031240,62460,continua,SI,1105.73,-0.020888676
Jan 08 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15500,-0.0064,831958800,53430,continua,SI,1098.32,-0.006701455
Jan 12 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15500,0.0000 ,2201507200,145377,continua,SI,1079.28,-0.017335567
Jan 13 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15780,0.0181 ,3896521200,254036,continua,SI,1096.68,0.016121859
Jan 14 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16180,0.0253 ,8769176540,548964,continua,SI,1128.65,0.029151621
Jan 15 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15400,-0.0482,2332498760,148871,continua,SI,1103.26,-0.022495902
Jan 18 2016,GRUPOARGOS,GRUPO ARGOS S.A.,14980,-0.0273,1826331260,120712,continua,SI,1078.69,-0.022270362
Jan 19 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15100,0.0080 ,2366771380,155550,continua,SI,1100.3,0.020033559
Jan 20 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15300,0.0132 ,3286844240,218411,continua,SI,1109.33,0.008206853
Jan 21 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15580,0.0183 ,3236821280,206852,continua,SI,1124.79,0.01393634
Jan 22 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15860,0.0180 ,4460757880,279124,continua,SI,1151.62,0.023853342
Jan 25 2016,GRUPOARGOS,GRUPO ARGOS S.A.,15880,0.0013 ,3101457100,197338,continua,SI,1139.32,-0.010680606
Jan 26 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16000,0.0076 ,3885282480,243426,continua,SI,1146.36,0.006179124
Jan 27 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16220,0.0138 ,3207147300,199588,continua,SI,1153.46,0.006193517
Jan 28 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16400,0.0111 ,4415802860,269600,continua,SI,1165.38,0.010334125
Jan 29 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16700,0.0183 ,6290760380,376793,continua,SI,1175.09,0.008332046
Feb 01 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16660,-0.0024,2896465200,173886,continua,SI,1180.72,0.004791122
Feb 02 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16600,-0.0036,2171143820,130904,continua,SI,1165.77,-0.012661766
Feb 03 2016,GRUPOARGOS,GRUPO ARGOS S.A.,16760,0.0096 ,2773546380,166405,continua,SI,1180.66,0.012772674
Feb 04 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17000,0.0143 ,4344019100,256234,continua,SI,1188.73,0.00683516
Feb 05 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17000,0.0000 ,1700615160,100080,continua,SI,1195.11,0.005367072
Feb 08 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17100,0.0059 ,1049613060,61804,continua,SI,1192.98,-0.001782263
Feb 09 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17400,0.0175 ,4727644000,272712,continua,SI,1196.9,0.003285889
Feb 10 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17540,0.0080 ,56980626640,3244149,continua,SI,1200.42,0.002940931
Feb 11 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17500,-0.0023,7084387880,406910,continua,SI,1198.51,-0.00159111
Feb 12 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17320,-0.0103,5173945280,295156,continua,SI,1209.03,0.008777565
Feb 15 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17200,-0.0069,1176923540,68247,continua,SI,1209.88,0.000703043
Feb 16 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17080,-0.0070,5372905260,310733,continua,SI,1199.98,-0.00818263
Feb 17 2016,GRUPOARGOS,GRUPO ARGOS S.A.,17900,0.0480 ,4797808760,272093,continua,SI,1233.34,0.027800463
