fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1090,0.0000 ,2159820,2028,continua,SI,1153.71,0.004755062
Jan 04 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1050,-0.0367,18421200,17494,continua,SI,1129.71,-0.020802455
Jan 05 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1045,-0.0048,69032500,65900,continua,SI,1142.4,0.011232971
Jan 06 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1020,-0.0239,118253220,114736,continua,SI,1129.32,-0.01144958
Jan 07 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1035,0.0147 ,26068515,25502,continua,SI,1105.73,-0.020888676
Jan 08 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1010,-0.0242,21333220,21122,continua,SI,1098.32,-0.006701455
Jan 12 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,995,-0.0149,78126100,77969,continua,SI,1079.28,-0.017335567
Jan 13 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,995,0.0000 ,3371100,3305,continua,SI,1096.68,0.016121859
Jan 14 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1010,0.0151 ,11718760,11570,continua,SI,1128.65,0.029151621
Jan 15 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1010,0.0000 ,10451540,10478,continua,SI,1103.26,-0.022495902
Jan 18 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,987,-0.0228,13513923,13705,continua,SI,1078.69,-0.022270362
Jan 19 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1000,0.0132 ,84217203,83723,continua,SI,1100.3,0.020033559
Jan 20 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,995,-0.0050,56362045,56493,continua,SI,1109.33,0.008206853
Jan 21 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,985,-0.0101,18195910,18216,continua,SI,1124.79,0.01393634
Jan 22 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1025,0.0406 ,94850630,93801,continua,SI,1151.62,0.023853342
Jan 25 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1025,0.0000 ,29745830,28784,continua,SI,1139.32,-0.010680606
Jan 26 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1050,0.0244 ,34225385,32724,continua,SI,1146.36,0.006179124
Jan 27 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1065,0.0143 ,913652400,869788,continua,SI,1153.46,0.006193517
Jan 28 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1065,0.0000 ,35169260,32946,continua,SI,1165.38,0.010334125
Jan 29 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1065,0.0000 ,10485665,9841,continua,SI,1175.09,0.008332046
Feb 01 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1040,-0.0235,28451010,27364,continua,SI,1180.72,0.004791122
Feb 02 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1035,-0.0048,31934490,30746,continua,SI,1165.77,-0.012661766
Feb 03 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1045,0.0097 ,10654820,10196,continua,SI,1180.66,0.012772674
Feb 04 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1045,0.0000 ,25590525,24479,continua,SI,1188.73,0.00683516
Feb 05 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1050,0.0048 ,50579580,48214,continua,SI,1195.11,0.005367072
Feb 08 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1050,0.0000 ,77592720,74506,continua,SI,1192.98,-0.001782263
Feb 09 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1045,-0.0048,19340860,18508,continua,SI,1196.9,0.003285889
Feb 10 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1045,0.0000 ,10626605,10169,continua,SI,1200.42,0.002940931
Feb 11 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1055,0.0096 ,177703100,170566,continua,SI,1198.51,-0.00159111
Feb 12 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1055,0.0000 ,66864845,63379,continua,SI,1209.03,0.008777565
Feb 15 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1060,0.0047 ,19759550,18771,continua,SI,1209.88,0.000703043
Feb 16 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1045,-0.0142,57970475,55231,continua,SI,1199.98,-0.00818263
Feb 17 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1085,0.0383 ,56058910,52013,continua,SI,1233.34,0.027800463
Feb 18 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1090,0.0046 ,124902295,113790,continua,SI,1235.89,0.002067556
Feb 19 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1095,0.0046 ,34361185,31433,continua,SI,1234.93,-0.000776768
Feb 22 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1110,0.0137 ,59343420,53534,continua,SI,1236.37,0.001166058
Feb 23 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1105,-0.0045,20014865,18113,continua,SI,1229.65,-0.005435266
Feb 24 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1100,-0.0045,263483530,239574,continua,SI,1228.18,-0.001195462
Feb 25 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1085,-0.0136,56447185,50981,continua,SI,1240.13,0.009729844
Feb 26 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1110,0.0230 ,166176080,149203,continua,SI,1246.68,0.005281704
Feb 29 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1115,0.0045 ,73088345,65738,continua,SI,1244.17,-0.002013347
Mar 01 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1120,0.0045 ,255893445,228707,continua,SI,1255.54,0.009138623
Mar 02 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1140,0.0179 ,67616495,59459,continua,SI,1276.63,0.016797553
Mar 03 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1155,0.0132 ,29091825,25192,continua,SI,1295.43,0.014726272
Mar 04 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1155,0.0000 ,44310250,38325,continua,SI,1294.86,-0.000440008
Mar 07 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1165,0.0087 ,65508230,56143,continua,SI,1307.17,0.009506819
Mar 08 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1170,0.0043 ,78448970,67813,continua,SI,1294.63,-0.009593243
Mar 09 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1170,0.0000 ,29600205,25470,continua,SI,1296.27,0.001266771
Mar 10 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1170,0.0000 ,43776395,37816,continua,SI,1299.45,0.002453193
Mar 11 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1155,-0.0128,33607950,29234,continua,SI,1302.71,0.002508754
Mar 14 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1155,0.0000 ,12592605,10891,continua,SI,1298.48,-0.003247077
Mar 15 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1145,-0.0087,31333385,27287,continua,SI,1285.34,-0.010119524
Mar 16 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1130,-0.0131,31907810,28237,continua,SI,1284.4,-0.000731324
Mar 17 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1145,0.0133 ,36011475,31417,continua,SI,1295.89,0.008945811
Mar 18 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1145,0.0000 ,46001145,40169,continua,SI,1309.81,0.010741652
Mar 22 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1135,-0.0087,75625515,66617,continua,SI,1316.92,0.005428268
Mar 23 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1135,0.0000 ,26687555,23293,continua,SI,1321.05,0.003136105
Mar 28 2016,GRUPOAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1125,-0.0088,1525408875,1355919,continua,SI,1305.41,-0.011839067
