fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,0,0,continua,NO,1153.71,0.004755062
Jan 04 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,0,0,continua,NO,1129.71,-0.020802455
Jan 05 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,0,0,continua,NO,1142.4,0.011232971
Jan 06 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,5050000,500,continua,NO,1129.32,-0.01144958
Jan 07 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,0,0,continua,NO,1105.73,-0.020888676
Jan 08 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,0,0,continua,NO,1098.32,-0.006701455
Jan 12 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10120,0.0000 ,0,0,continua,NO,1079.28,-0.017335567
Jan 13 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10002,-0.0117,1000200000,100000,continua,NO,1096.68,0.016121859
Jan 14 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10156.5,0.0154 ,25391250,2500,continua,NO,1128.65,0.029151621
Jan 15 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10114,-0.0042,2024800000,200000,continua,NO,1103.26,-0.022495902
Jan 18 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10114,0.0000 ,0,0,continua,NO,1078.69,-0.022270362
Jan 19 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,10114,0.0000 ,0,0,continua,NO,1100.3,0.020033559
Jan 20 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,9899,-0.0213,989900000,100000,continua,NO,1109.33,0.008206853
Jan 21 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,9899,0.0000 ,0,0,continua,NO,1124.79,0.01393634
Jan 22 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,9899,0.0000 ,0,0,continua,NO,1151.62,0.023853342
Jan 25 2016,HCOLSEL,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,9899,0.0000 ,0,0,continua,NO,1139.32,-0.010680606
