fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11791,0.0000 ,0,0,continua,NO,1153.71,0.004755062
Jan 04 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11791,0.0000 ,0,0,continua,NO,1129.71,-0.020802455
Jan 05 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11420,-0.0315,2412058200,211200,continua,NO,1142.4,0.011232971
Jan 06 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11420,0.0000 ,2869000000,250000,continua,NO,1129.32,-0.01144958
Jan 07 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11322,-0.0086,679320000,60000,continua,NO,1105.73,-0.020888676
Jan 08 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11210,-0.0099,196285190,17510,continua,NO,1098.32,-0.006701455
Jan 12 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,10895,-0.0281,212113888.5,19482,continua,NO,1079.28,-0.017335567
Jan 13 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11140,0.0225 ,91320207.5,8199,continua,NO,1096.68,0.016121859
Jan 14 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11300,0.0144 ,460160050,41275,continua,NO,1128.65,0.029151621
Jan 15 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11290,-0.0009,2347747874,207739,continua,NO,1103.26,-0.022495902
Jan 18 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11290,0.0000 ,0,0,continua,NO,1078.69,-0.022270362
Jan 19 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11127.5,-0.0144,230086250,20600,continua,NO,1100.3,0.020033559
Jan 20 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11127.5,0.0000 ,0,0,continua,NO,1109.33,0.008206853
Jan 21 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11400,0.0245 ,4091790600,360500,continua,NO,1124.79,0.01393634
Jan 22 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11734,0.0293 ,10391870113,888582,continua,NO,1151.62,0.023853342
Jan 25 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11618,-0.0099,7416720000,640000,continua,NO,1139.32,-0.010680606
Jan 26 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11627,0.0008 ,8702200000,750000,continua,NO,1146.36,0.006179124
Jan 27 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11660,0.0028 ,1399200000,120000,continua,NO,1153.46,0.006193517
Jan 28 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11800,0.0120 ,621750000,52500,continua,NO,1165.38,0.010334125
Jan 29 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11969,0.0143 ,1208645750,101750,continua,NO,1175.09,0.008332046
Feb 01 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11823,-0.0122,988162580,83330,continua,NO,1180.72,0.004791122
Feb 02 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11787.5,-0.0030,193020485,16339,continua,NO,1165.77,-0.012661766
Feb 03 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11928,0.0119 ,819785960,68780,continua,NO,1180.66,0.012772674
Feb 04 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,11988.5,0.0051 ,1348020623,111623,continua,NO,1188.73,0.00683516
Feb 05 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12065,0.0064 ,5025940400,418100,continua,NO,1195.11,0.005367072
Feb 08 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12065,0.0000 ,0,0,continua,NO,1192.98,-0.001782263
Feb 09 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12137,0.0060 ,16328750500,1350500,continua,NO,1196.9,0.003285889
Feb 10 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12152,0.0012 ,4926771176,405004,continua,NO,1200.42,0.002940931
Feb 11 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12054,-0.0081,20225430260,1674471,continua,NO,1198.51,-0.00159111
Feb 12 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12279,0.0187 ,5678853200,462700,continua,NO,1209.03,0.008777565
Feb 15 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12222,-0.0046,366500000,30000,continua,NO,1209.88,0.000703043
Feb 16 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12093.5,-0.0105,11177627148,907215,continua,NO,1199.98,-0.00818263
Feb 17 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12432.5,0.0280 ,676005238,54774,continua,NO,1233.34,0.027800463
Feb 18 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12495,0.0050 ,7565736500,604710,continua,NO,1235.89,0.002067556
Feb 19 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12447.5,-0.0038,8640120350,695200,continua,NO,1234.93,-0.000776768
Feb 22 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12533.5,0.0069 ,20686050505,1648089,continua,NO,1236.37,0.001166058
Feb 23 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12438.5,-0.0076,12728532885,1023270,continua,NO,1229.65,-0.005435266
Feb 24 2016,ICOLCAP,FONDO BURSATIL ISHARES COLCAP,12405,-0.0027,13454525950,1083990,continua,NO,1228.18,-0.001195462
