fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Oct 20 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,0,0.0000 ,0,0,continua,NO,1361.15,-0.002104075
Oct 21 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,0,0.0000 ,0,0,continua,NO,1362.97,0.001337105
Oct 24 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,0,0.0000 ,0,0,continua,NO,1359.2,-0.002766018
Oct 25 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,0,0.0000 ,0,0,continua,NO,1356.98,-0.001633314
Oct 26 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,0,0.0000 ,0,0,continua,NO,1357.49,0.000375835
Oct 27 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13488,0.0000 ,0,0,continua,NO,1359.7,0.001628005
Oct 28 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13488,0.0000 ,0,0,continua,NO,1360.96,0.000926675
Oct 31 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13488,0.0000 ,0,0,continua,NO,1365.53,0.003357924
Nov 01 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13488,0.0000 ,0,0,continua,NO,1370.75,0.003822692
Nov 02 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13720,0.0172 ,16046350000,1170000,continua,NO,1368.45,-0.001677914
Nov 03 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,-0.0032,547040000,40000,continua,NO,1356.01,-0.009090577
Nov 04 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1345.66,-0.007632687
Nov 08 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1354.91,0.00687395
Nov 09 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1354.68,-0.000169753
Nov 10 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1319.51,-0.025961851
Nov 11 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1299.03,-0.015520913
Nov 15 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1297.07,-0.001508818
Nov 16 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1300.09,0.002328325
Nov 17 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1305.81,0.004399695
Nov 18 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1307.44,0.001248267
Nov 21 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1312.87,0.004153154
Nov 22 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1307.21,-0.004311166
Nov 23 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1308.87,0.00126988
Nov 24 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1308.94,5.34812E-05
Nov 25 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1295.67,-0.010137974
Nov 28 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1289.97,-0.004399268
Nov 29 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13676,0.0000 ,0,0,continua,NO,1271.11,-0.014620495
Nov 30 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,12968,-0.0518,143754300,11100,continua,NO,1286.07,0.011769241
Dec 01 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13049.5,0.0063 ,125009300,9700,continua,NO,1297.33,0.008755355
Dec 02 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13060,0.0008 ,10448000,800,continua,NO,1306.56,0.007114612
Dec 05 2016,ICOLRISK,FONDO BURSATIL ISHARES COLRISK,13060,0.0000 ,0,0,continua,NO,1314.74,0.006260715
