fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,ISAGEN,ISAGEN S.A. E.S.P.,3400,0.0413 ,3453674360,1042677,continua,NO,1153.71,0.004755062
Jan 04 2016,ISAGEN,ISAGEN S.A. E.S.P.,3510,0.0324 ,10746509720,3055042,continua,NO,1129.71,-0.020802455
Jan 05 2016,ISAGEN,ISAGEN S.A. E.S.P.,3525,0.0043 ,15270558335,4210976,continua,NO,1142.4,0.011232971
Jan 06 2016,ISAGEN,ISAGEN S.A. E.S.P.,3480,-0.0128,13697821805,3941154,continua,NO,1129.32,-0.01144958
Jan 07 2016,ISAGEN,ISAGEN S.A. E.S.P.,3500,0.0057 ,12421874975,3550288,continua,NO,1105.73,-0.020888676
Jan 08 2016,ISAGEN,ISAGEN S.A. E.S.P.,3420,-0.0229,10720889235,3132848,continua,NO,1098.32,-0.006701455
Jan 12 2016,ISAGEN,ISAGEN S.A. E.S.P.,3260,-0.0468,34512065610,10498288,continua,NO,1079.28,-0.017335567
Jan 13 2016,ISAGEN,ISAGEN S.A. E.S.P.,3820,0.1718 ,85048272720,22462883,continua,NO,1096.68,0.016121859
Jan 14 2016,ISAGEN,ISAGEN S.A. E.S.P.,3910,0.0236 ,1.12449E+11,28955493,continua,NO,1128.65,0.029151621
Jan 15 2016,ISAGEN,ISAGEN S.A. E.S.P.,3885,-0.0064,18210980260,4683521,continua,NO,1103.26,-0.022495902
Jan 18 2016,ISAGEN,ISAGEN S.A. E.S.P.,3755,-0.0335,18285829480,4753265,continua,NO,1078.69,-0.022270362
Jan 19 2016,ISAGEN,ISAGEN S.A. E.S.P.,3850,0.0253 ,16630909855,4346600,continua,NO,1100.3,0.020033559
Jan 20 2016,ISAGEN,ISAGEN S.A. E.S.P.,3800,-0.0130,15791825065,4152065,continua,NO,1109.33,0.008206853
Jan 21 2016,ISAGEN,ISAGEN S.A. E.S.P.,3825,0.0066 ,4702293730,1231720,continua,NO,1124.79,0.01393634
Jan 22 2016,ISAGEN,ISAGEN S.A. E.S.P.,3930,0.0275 ,29671234860,7598478,continua,NO,1151.62,0.023853342
Jan 25 2016,ISAGEN,ISAGEN S.A. E.S.P.,3900,-0.0076,7217790270,1846092,continua,NO,1139.32,-0.010680606
Jan 26 2016,ISAGEN,ISAGEN S.A. E.S.P.,3900,0.0000 ,18978457455,4864919,continua,NO,1146.36,0.006179124
Jan 27 2016,ISAGEN,ISAGEN S.A. E.S.P.,3920,0.0051 ,15195562520,3885541,continua,NO,1153.46,0.006193517
Jan 28 2016,ISAGEN,ISAGEN S.A. E.S.P.,3925,0.0013 ,2948347835,751464,continua,NO,1165.38,0.010334125
Jan 29 2016,ISAGEN,ISAGEN S.A. E.S.P.,3930,0.0013 ,4159869650,1056640,continua,NO,1175.09,0.008332046
Feb 01 2016,ISAGEN,ISAGEN S.A. E.S.P.,3950,0.0051 ,10913590625,2766858,continua,NO,1180.72,0.004791122
Feb 02 2016,ISAGEN,ISAGEN S.A. E.S.P.,3950,0.0000 ,7546977335,1912641,continua,NO,1165.77,-0.012661766
Feb 03 2016,ISAGEN,ISAGEN S.A. E.S.P.,3960,0.0025 ,8223067295,2078950,continua,NO,1180.66,0.012772674
Feb 04 2016,ISAGEN,ISAGEN S.A. E.S.P.,3955,-0.0013,6717970130,1695461,continua,NO,1188.73,0.00683516
Feb 05 2016,ISAGEN,ISAGEN S.A. E.S.P.,3965,0.0025 ,2679959270,676338,continua,NO,1195.11,0.005367072
Feb 08 2016,ISAGEN,ISAGEN S.A. E.S.P.,3970,0.0013 ,11104911500,2802184,continua,NO,1192.98,-0.001782263
Feb 09 2016,ISAGEN,ISAGEN S.A. E.S.P.,3980,0.0025 ,4924903535,1238860,continua,NO,1196.9,0.003285889
Feb 10 2016,ISAGEN,ISAGEN S.A. E.S.P.,3985,0.0013 ,13185889270,3307044,continua,NO,1200.42,0.002940931
Feb 11 2016,ISAGEN,ISAGEN S.A. E.S.P.,3995,0.0025 ,2613899435,654959,continua,NO,1198.51,-0.00159111
Feb 12 2016,ISAGEN,ISAGEN S.A. E.S.P.,3995,0.0000 ,3709748325,929266,continua,NO,1209.03,0.008777565
Feb 15 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0013 ,999891300,250401,continua,NO,1209.88,0.000703043
Feb 16 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,10662383710,2670157,continua,NO,1199.98,-0.00818263
Feb 17 2016,ISAGEN,ISAGEN S.A. E.S.P.,3995,-0.0013,7759844625,1941959,continua,NO,1233.34,0.027800463
Feb 18 2016,ISAGEN,ISAGEN S.A. E.S.P.,3995,0.0000 ,1936551885,485072,continua,NO,1235.89,0.002067556
Feb 19 2016,ISAGEN,ISAGEN S.A. E.S.P.,3995,0.0000 ,6763528345,1693241,continua,NO,1234.93,-0.000776768
Feb 22 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0013 ,2889305885,722962,continua,NO,1236.37,0.001166058
Feb 23 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1229.65,-0.005435266
Feb 24 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1228.18,-0.001195462
Feb 25 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1240.13,0.009729844
Feb 26 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1246.68,0.005281704
Feb 29 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1244.17,-0.002013347
Mar 01 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1255.54,0.009138623
Mar 02 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1276.63,0.016797553
Mar 03 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1295.43,0.014726272
Mar 04 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1294.86,-0.000440008
Mar 07 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1307.17,0.009506819
Mar 08 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1294.63,-0.009593243
Mar 09 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1296.27,0.001266771
Mar 10 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1299.45,0.002453193
Mar 11 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1302.71,0.002508754
Mar 14 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1298.48,-0.003247077
Mar 15 2016,ISAGEN,ISAGEN S.A. E.S.P.,4000,0.0000 ,0,0,continua,NO,1285.34,-0.010119524
Mar 16 2016,ISAGEN,ISAGEN S.A. E.S.P.,4070,0.0175 ,48229428275,11862844,continua,NO,1284.4,-0.000731324
Mar 17 2016,ISAGEN,ISAGEN S.A. E.S.P.,4055,-0.0037,15017642550,3698987,continua,NO,1295.89,0.008945811
Mar 18 2016,ISAGEN,ISAGEN S.A. E.S.P.,4065,0.0025 ,17912446495,4413927,continua,NO,1309.81,0.010741652
Mar 22 2016,ISAGEN,ISAGEN S.A. E.S.P.,4060,-0.0012,3977146005,979671,continua,NO,1316.92,0.005428268
Mar 23 2016,ISAGEN,ISAGEN S.A. E.S.P.,4065,0.0012 ,6710228145,1653399,continua,NO,1321.05,0.003136105
Mar 28 2016,ISAGEN,ISAGEN S.A. E.S.P.,4055,-0.0025,2105575350,518790,continua,NO,1305.41,-0.011839067
Mar 29 2016,ISAGEN,ISAGEN S.A. E.S.P.,4065,0.0025 ,5681812750,1398391,continua,NO,1299.65,-0.004412407
Mar 30 2016,ISAGEN,ISAGEN S.A. E.S.P.,4065,0.0000 ,8679074290,2136456,continua,NO,1319.77,0.015481091
Mar 31 2016,ISAGEN,ISAGEN S.A. E.S.P.,4065,0.0000 ,98804379435,24307186,continua,NO,1336.27,0.012502178
Apr 01 2016,ISAGEN,ISAGEN S.A. E.S.P.,4070,0.0012 ,9278584240,2277382,continua,NO,1333.63,-0.001975649
Apr 04 2016,ISAGEN,ISAGEN S.A. E.S.P.,4080,0.0025 ,10119936090,2481185,continua,NO,1337.58,0.002961841
Apr 05 2016,ISAGEN,ISAGEN S.A. E.S.P.,4075,-0.0012,3780949400,927506,continua,NO,1313.19,-0.018234423
Apr 06 2016,ISAGEN,ISAGEN S.A. E.S.P.,4080,0.0012 ,1119534895,274696,continua,NO,1321.5,0.006328102
Apr 07 2016,ISAGEN,ISAGEN S.A. E.S.P.,4080,0.0000 ,5704022185,1398028,continua,NO,1316.11,-0.004078698
Apr 08 2016,ISAGEN,ISAGEN S.A. E.S.P.,4085,0.0012 ,5127534755,1255520,continua,NO,1326.57,0.007947664
Apr 11 2016,ISAGEN,ISAGEN S.A. E.S.P.,4085,0.0000 ,2235564120,547562,continua,NO,1336.37,0.007387473
Apr 12 2016,ISAGEN,ISAGEN S.A. E.S.P.,4085,0.0000 ,4119260700,1007563,continua,NO,1364.13,0.02077269
Apr 13 2016,ISAGEN,ISAGEN S.A. E.S.P.,4085,0.0000 ,13320112545,3260568,continua,NO,1370.62,0.004757611
Apr 14 2016,ISAGEN,ISAGEN S.A. E.S.P.,4090,0.0012 ,2889857450,706684,continua,NO,1364.97,-0.004122222
Apr 15 2016,ISAGEN,ISAGEN S.A. E.S.P.,4085,-0.0012,13186136950,3227983,continua,NO,1355.2,-0.007157666
Apr 18 2016,ISAGEN,ISAGEN S.A. E.S.P.,4085,0.0000 ,2371400990,581003,continua,NO,1354.76,-0.000324675
Apr 19 2016,ISAGEN,ISAGEN S.A. E.S.P.,4080,-0.0012,26771865805,6568882,continua,NO,1362.84,0.005964156
Apr 20 2016,ISAGEN,ISAGEN S.A. E.S.P.,4090,0.0025 ,3159927240,774256,continua,NO,1376.61,0.010103901
Apr 21 2016,ISAGEN,ISAGEN S.A. E.S.P.,4090,0.0000 ,435925735,106687,continua,NO,1375.95,-0.000479439
Apr 22 2016,ISAGEN,ISAGEN S.A. E.S.P.,4090,0.0000 ,2189698340,535732,continua,NO,1374.41,-0.001119227
Apr 25 2016,ISAGEN,ISAGEN S.A. E.S.P.,4100,0.0024 ,2654708040,648331,continua,NO,1359.25,-0.011030187
Apr 26 2016,ISAGEN,ISAGEN S.A. E.S.P.,4095,-0.0012,6305652495,1539252,continua,NO,1365.2,0.004377414
Apr 27 2016,ISAGEN,ISAGEN S.A. E.S.P.,4090,-0.0012,3364396440,821556,continua,NO,1361.98,-0.002358629
Apr 28 2016,ISAGEN,ISAGEN S.A. E.S.P.,4095,0.0012 ,1513309300,369837,continua,NO,1362.02,2.9369E-05
Apr 29 2016,ISAGEN,ISAGEN S.A. E.S.P.,4105,0.0024 ,2502966205,611807,continua,NO,1342.42,-0.014390391
May 02 2016,ISAGEN,ISAGEN S.A. E.S.P.,4105,0.0000 ,1673060970,407411,continua,NO,1342.5,5.95939E-05
