fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7380,0.0137 ,1486895980,202592,continua,SI,1153.71,0.004755062
Jan 04 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7050,-0.0447,588350450,83255,continua,SI,1129.71,-0.020802455
Jan 05 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7180,0.0184 ,1290218960,180601,continua,SI,1142.4,0.011232971
Jan 06 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7080,-0.0139,1195368840,166367,continua,SI,1129.32,-0.01144958
Jan 07 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7180,0.0141 ,1305724500,182049,continua,SI,1105.73,-0.020888676
Jan 08 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7040,-0.0195,387097700,55006,continua,SI,1098.32,-0.006701455
Jan 12 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7170,0.0185 ,1453940990,208765,continua,SI,1079.28,-0.017335567
Jan 13 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7180,0.0014 ,2105520910,293085,continua,SI,1096.68,0.016121859
Jan 14 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7200,0.0028 ,2345478630,325732,continua,SI,1128.65,0.029151621
Jan 15 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,6900,-0.0417,2324821960,333389,continua,SI,1103.26,-0.022495902
Jan 18 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,6870,-0.0043,1714731220,248699,continua,SI,1078.69,-0.022270362
Jan 19 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7180,0.0451 ,2927030130,418009,continua,SI,1100.3,0.020033559
Jan 20 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7130,-0.0070,18744923170,2607282,continua,SI,1109.33,0.008206853
Jan 21 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7190,0.0084 ,14717063100,2038284,continua,SI,1124.79,0.01393634
Jan 22 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7250,0.0083 ,5800828840,798642,continua,SI,1151.62,0.023853342
Jan 25 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7090,-0.0221,2359089730,331984,continua,SI,1139.32,-0.010680606
Jan 26 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7150,0.0085 ,2955523200,415816,continua,SI,1146.36,0.006179124
Jan 27 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7160,0.0014 ,11058307420,1556533,continua,SI,1153.46,0.006193517
Jan 28 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7240,0.0112 ,2926671110,405426,continua,SI,1165.38,0.010334125
Jan 29 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7360,0.0166 ,11117864540,1506094,continua,SI,1175.09,0.008332046
Feb 01 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7490,0.0177 ,2276216080,306632,continua,SI,1180.72,0.004791122
Feb 02 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7670,0.0240 ,6839898430,906103,continua,SI,1165.77,-0.012661766
Feb 03 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7580,-0.0117,636647470,83667,continua,SI,1180.66,0.012772674
Feb 04 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7600,0.0026 ,1905142940,250549,continua,SI,1188.73,0.00683516
Feb 05 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7500,-0.0132,1299366000,171545,continua,SI,1195.11,0.005367072
Feb 08 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7480,-0.0027,447453250,59714,continua,SI,1192.98,-0.001782263
Feb 09 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7570,0.0120 ,3886934430,512965,continua,SI,1196.9,0.003285889
Feb 10 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7650,0.0106 ,3942050430,514377,continua,SI,1200.42,0.002940931
Feb 11 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7680,0.0039 ,2230374400,290896,continua,SI,1198.51,-0.00159111
Feb 12 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7660,-0.0026,1266937450,164062,continua,SI,1209.03,0.008777565
Feb 15 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7760,0.0131 ,555934700,72576,continua,SI,1209.88,0.000703043
Feb 16 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7650,-0.0142,5654604120,732170,continua,SI,1199.98,-0.00818263
Feb 17 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7780,0.0170 ,4432208460,569124,continua,SI,1233.34,0.027800463
Feb 18 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7840,0.0077 ,3300846200,421881,continua,SI,1235.89,0.002067556
Feb 19 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7860,0.0026 ,1980213030,252195,continua,SI,1234.93,-0.000776768
Feb 22 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7890,0.0038 ,1201206740,152924,continua,SI,1236.37,0.001166058
Feb 23 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7950,0.0076 ,2967572360,376940,continua,SI,1229.65,-0.005435266
Feb 24 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7940,-0.0013,3959383790,500818,continua,SI,1228.18,-0.001195462
Feb 25 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7970,0.0038 ,3745311470,469879,continua,SI,1240.13,0.009729844
Feb 26 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7900,-0.0088,2477699850,312279,continua,SI,1246.68,0.005281704
Feb 29 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,7750,-0.0190,3618056980,465649,continua,SI,1244.17,-0.002013347
Mar 01 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8000,0.0323 ,8821864540,1112620,continua,SI,1255.54,0.009138623
Mar 02 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8040,0.0050 ,3155513610,394243,continua,SI,1276.63,0.016797553
Mar 03 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8110,0.0087 ,2622955150,324539,continua,SI,1295.43,0.014726272
Mar 04 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8190,0.0099 ,2767071760,339365,continua,SI,1294.86,-0.000440008
Mar 07 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8260,0.0085 ,1830063900,222868,continua,SI,1307.17,0.009506819
Mar 08 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8240,-0.0024,2334012780,286749,continua,SI,1294.63,-0.009593243
Mar 09 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8260,0.0024 ,1485129210,180215,continua,SI,1296.27,0.001266771
Mar 10 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8220,-0.0048,10097183360,1228506,continua,SI,1299.45,0.002453193
Mar 11 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8190,-0.0036,12141900270,1481463,continua,SI,1302.71,0.002508754
Mar 14 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8190,0.0000 ,979955730,119796,continua,SI,1298.48,-0.003247077
Mar 15 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8190,0.0000 ,2988124170,365085,continua,SI,1285.34,-0.010119524
Mar 16 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8180,-0.0012,2230242060,273255,continua,SI,1284.4,-0.000731324
Mar 17 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8240,0.0073 ,3000434800,365324,continua,SI,1295.89,0.008945811
Mar 18 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8420,0.0218 ,5074397120,603198,continua,SI,1309.81,0.010741652
Mar 22 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8600,0.0214 ,2885690440,336163,continua,SI,1316.92,0.005428268
Mar 23 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8700,0.0116 ,1082037800,125275,continua,SI,1321.05,0.003136105
Mar 28 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8700,0.0000 ,1287649340,148474,continua,SI,1305.41,-0.011839067
Mar 29 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8670,-0.0034,2876408000,333687,continua,SI,1299.65,-0.004412407
Mar 30 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8700,0.0035 ,2461297940,283628,continua,SI,1319.77,0.015481091
Mar 31 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8650,-0.0057,6682339860,771941,continua,SI,1336.27,0.012502178
Apr 01 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8590,-0.0069,8488614660,983135,continua,SI,1333.63,-0.001975649
Apr 04 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8590,0.0000 ,781296610,91067,continua,SI,1337.58,0.002961841
Apr 05 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8420,-0.0198,1661376470,195862,continua,SI,1313.19,-0.018234423
Apr 06 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8450,0.0036 ,1425132720,169301,continua,SI,1321.5,0.006328102
Apr 07 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8380,-0.0083,5844153650,696566,continua,SI,1316.11,-0.004078698
Apr 08 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8380,0.0000 ,5566584890,663399,continua,SI,1326.57,0.007947664
Apr 11 2016,ISA,INTERCONEXION ELECTRICA S.A. E.S.P.,8450,0.0084 ,2405575000,284955,continua,SI,1336.37,0.007387473
