fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,MINEROS,MINEROS S.A.,1845,0.0000 ,80300590,43522,continua,NO,1153.71,0.004755062
Jan 04 2016,MINEROS,MINEROS S.A.,1895,0.0271 ,40034620,21356,continua,NO,1129.71,-0.020802455
Jan 05 2016,MINEROS,MINEROS S.A.,1950,0.0290 ,64656600,33236,continua,NO,1142.4,0.011232971
Jan 06 2016,MINEROS,MINEROS S.A.,1970,0.0103 ,40358230,21000,continua,NO,1129.32,-0.01144958
Jan 07 2016,MINEROS,MINEROS S.A.,1970,0.0000 ,0,0,continua,NO,1105.73,-0.020888676
Jan 08 2016,MINEROS,MINEROS S.A.,1970,0.0000 ,0,0,continua,NO,1098.32,-0.006701455
Jan 12 2016,MINEROS,MINEROS S.A.,1970,0.0000 ,0,0,continua,NO,1079.28,-0.017335567
Jan 13 2016,MINEROS,MINEROS S.A.,1785,-0.0939,15998955,8963,continua,NO,1096.68,0.016121859
Jan 14 2016,MINEROS,MINEROS S.A.,1785,0.0000 ,0,0,continua,NO,1128.65,0.029151621
Jan 15 2016,MINEROS,MINEROS S.A.,1900,0.0644 ,24070300,12695,continua,NO,1103.26,-0.022495902
Jan 18 2016,MINEROS,MINEROS S.A.,1900,0.0000 ,0,0,continua,NO,1078.69,-0.022270362
Jan 19 2016,MINEROS,MINEROS S.A.,1900,0.0000 ,0,0,continua,NO,1100.3,0.020033559
Jan 20 2016,MINEROS,MINEROS S.A.,1900,0.0000 ,0,0,continua,NO,1109.33,0.008206853
Jan 21 2016,MINEROS,MINEROS S.A.,1820,-0.0421,76805240,42207,continua,NO,1124.79,0.01393634
Jan 22 2016,MINEROS,MINEROS S.A.,1860,0.0220 ,41371500,22200,continua,NO,1151.62,0.023853342
Jan 25 2016,MINEROS,MINEROS S.A.,1860,0.0000 ,3437280,1848,continua,NO,1139.32,-0.010680606
Jan 26 2016,MINEROS,MINEROS S.A.,1890,0.0161 ,76062945,40300,continua,NO,1146.36,0.006179124
Jan 27 2016,MINEROS,MINEROS S.A.,1925,0.0185 ,78046340,41208,continua,NO,1153.46,0.006193517
Jan 28 2016,MINEROS,MINEROS S.A.,1925,0.0000 ,13230525,6873,continua,NO,1165.38,0.010334125
Jan 29 2016,MINEROS,MINEROS S.A.,1970,0.0234 ,38896460,19800,continua,NO,1175.09,0.008332046
Feb 01 2016,MINEROS,MINEROS S.A.,1930,-0.0203,25671500,13180,continua,NO,1180.72,0.004791122
Feb 02 2016,MINEROS,MINEROS S.A.,1950,0.0104 ,20666500,10600,continua,NO,1165.77,-0.012661766
Feb 03 2016,MINEROS,MINEROS S.A.,1975,0.0128 ,38580000,19500,continua,NO,1180.66,0.012772674
Feb 04 2016,MINEROS,MINEROS S.A.,1995,0.0101 ,16297710,8109,continua,NO,1188.73,0.00683516
Feb 05 2016,MINEROS,MINEROS S.A.,2065,0.0351 ,903392515,447587,continua,NO,1195.11,0.005367072
Feb 08 2016,MINEROS,MINEROS S.A.,2130,0.0315 ,617394240,296630,continua,NO,1192.98,-0.001782263
Feb 09 2016,MINEROS,MINEROS S.A.,2175,0.0211 ,142997600,66125,continua,NO,1196.9,0.003285889
Feb 10 2016,MINEROS,MINEROS S.A.,2180,0.0023 ,30061885,13877,continua,NO,1200.42,0.002940931
Feb 11 2016,MINEROS,MINEROS S.A.,2260,0.0367 ,553437480,250068,continua,NO,1198.51,-0.00159111
Feb 12 2016,MINEROS,MINEROS S.A.,2130,-0.0575,792663190,350612,continua,NO,1209.03,0.008777565
Feb 15 2016,MINEROS,MINEROS S.A.,2125,-0.0023,50929860,23869,continua,NO,1209.88,0.000703043
Feb 16 2016,MINEROS,MINEROS S.A.,2170,0.0212 ,83910970,38531,continua,NO,1199.98,-0.00818263
Feb 17 2016,MINEROS,MINEROS S.A.,2200,0.0138 ,74063600,33687,continua,NO,1233.34,0.027800463
Feb 18 2016,MINEROS,MINEROS S.A.,2300,0.0455 ,1131064450,493704,continua,NO,1235.89,0.002067556
Feb 19 2016,MINEROS,MINEROS S.A.,2390,0.0391 ,216103770,92191,continua,NO,1234.93,-0.000776768
Feb 22 2016,MINEROS,MINEROS S.A.,2285,-0.0439,78570320,34276,continua,NO,1236.37,0.001166058
Feb 23 2016,MINEROS,MINEROS S.A.,2290,0.0022 ,86813900,37910,continua,NO,1229.65,-0.005435266
Feb 24 2016,MINEROS,MINEROS S.A.,2360,0.0306 ,274078850,116591,continua,NO,1228.18,-0.001195462
Feb 25 2016,MINEROS,MINEROS S.A.,2360,0.0000 ,150106690,63714,continua,NO,1240.13,0.009729844
Feb 26 2016,MINEROS,MINEROS S.A.,2315,-0.0191,54609000,23500,continua,NO,1246.68,0.005281704
Feb 29 2016,MINEROS,MINEROS S.A.,2315,0.0000 ,86328230,37488,continua,NO,1244.17,-0.002013347
Mar 01 2016,MINEROS,MINEROS S.A.,2300,-0.0065,118147015,51240,continua,NO,1255.54,0.009138623
Mar 02 2016,MINEROS,MINEROS S.A.,2300,0.0000 ,12836425,5518,continua,NO,1276.63,0.016797553
Mar 03 2016,MINEROS,MINEROS S.A.,2305,0.0022 ,75287660,32412,continua,NO,1295.43,0.014726272
Mar 04 2016,MINEROS,MINEROS S.A.,2380,0.0325 ,69194650,29108,continua,NO,1294.86,-0.000440008
Mar 07 2016,MINEROS,MINEROS S.A.,2440,0.0252 ,120937190,49922,continua,NO,1307.17,0.009506819
Mar 08 2016,MINEROS,MINEROS S.A.,2400,-0.0164,77517700,31946,continua,NO,1294.63,-0.009593243
