fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,NUTRESA,GRUPO NUTRESA S.A,22620,0.0263 ,364935820,16439,continua,SI,1153.71,0.004755062
Jan 04 2016,NUTRESA,GRUPO NUTRESA S.A,22400,-0.0097,896553160,40553,continua,SI,1129.71,-0.020802455
Jan 05 2016,NUTRESA,GRUPO NUTRESA S.A,22460,0.0027 ,193492400,8649,continua,SI,1142.4,0.011232971
Jan 06 2016,NUTRESA,GRUPO NUTRESA S.A,22500,0.0018 ,16973687520,754440,continua,SI,1129.32,-0.01144958
Jan 07 2016,NUTRESA,GRUPO NUTRESA S.A,22480,-0.0009,4142025460,185027,continua,SI,1105.73,-0.020888676
Jan 08 2016,NUTRESA,GRUPO NUTRESA S.A,22400,-0.0036,588146540,26189,continua,SI,1098.32,-0.006701455
Jan 12 2016,NUTRESA,GRUPO NUTRESA S.A,22380,-0.0009,5057052820,225916,continua,SI,1079.28,-0.017335567
Jan 13 2016,NUTRESA,GRUPO NUTRESA S.A,22460,0.0036 ,8501155040,378176,continua,SI,1096.68,0.016121859
Jan 14 2016,NUTRESA,GRUPO NUTRESA S.A,22460,0.0000 ,3347408000,148927,continua,SI,1128.65,0.029151621
Jan 15 2016,NUTRESA,GRUPO NUTRESA S.A,22300,-0.0071,2111604000,94711,continua,SI,1103.26,-0.022495902
Jan 18 2016,NUTRESA,GRUPO NUTRESA S.A,22300,0.0000 ,195961680,8782,continua,SI,1078.69,-0.022270362
Jan 19 2016,NUTRESA,GRUPO NUTRESA S.A,22400,0.0045 ,4201512440,187747,continua,SI,1100.3,0.020033559
Jan 20 2016,NUTRESA,GRUPO NUTRESA S.A,22320,-0.0036,4488274180,202539,continua,SI,1109.33,0.008206853
Jan 21 2016,NUTRESA,GRUPO NUTRESA S.A,22320,0.0000 ,2039504900,91247,continua,SI,1124.79,0.01393634
Jan 22 2016,NUTRESA,GRUPO NUTRESA S.A,22780,0.0206 ,6640678960,291550,continua,SI,1151.62,0.023853342
Jan 25 2016,NUTRESA,GRUPO NUTRESA S.A,22880,0.0044 ,1506393040,66071,continua,SI,1139.32,-0.010680606
Jan 26 2016,NUTRESA,GRUPO NUTRESA S.A,23000,0.0052 ,4639588760,202002,continua,SI,1146.36,0.006179124
Jan 27 2016,NUTRESA,GRUPO NUTRESA S.A,23000,0.0000 ,3172296420,137915,continua,SI,1153.46,0.006193517
Jan 28 2016,NUTRESA,GRUPO NUTRESA S.A,23380,0.0165 ,4554960940,195468,continua,SI,1165.38,0.010334125
Jan 29 2016,NUTRESA,GRUPO NUTRESA S.A,23540,0.0068 ,14063592980,597324,continua,SI,1175.09,0.008332046
