fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,92621,BCOLOMBIA,2161127640,23620,-0.34
Jun 02 2016,92621,BCOLOMBIA,2161127640,23620,-0.34
Jun 03 2016,92621,BCOLOMBIA,2161127640,23620,-0.34
Jun 04 2016,367377,BCOLOMBIA,8647786560,23540,-0.34
Jun 05 2016,173861,BCOLOMBIA,4064027280,23900,1.53
Jun 09 2016,131367,BCOLOMBIA,3073987060,23460,-1.84
Jun 10 2016,154885,BCOLOMBIA,3707187740,24040,2.47
Jun 11 2016,152119,BCOLOMBIA,3615657360,23700,-1.5
Jun 12 2016,89076,BCOLOMBIA,2136243860,24060,0.08
Jun 15 2016,109402,BCOLOMBIA,2571164820,23520,-0.76
Jun 16 2016,46714,BCOLOMBIA,1088940040,23200,-1.36
Jun 17 2016,40887,BCOLOMBIA,961837500,23600,1.29
Jun 18 2016,161609,BCOLOMBIA,3871641960,23980,1.61
Jun 21 2016,220444,BCOLOMBIA,5293308760,23920,-0.25
Jun 22 2016,130170,BCOLOMBIA,3108713160,24000,0.33
Jun 23 2016,165395,BCOLOMBIA,3986006140,24040,0.17
Jun 24 2016,150924,BCOLOMBIA,3677754520,24400,1.5
Jun 25 2016,234235,BCOLOMBIA,5558209120,24000,-1.64
Jun 28 2016,129082,BCOLOMBIA,3026165740,23480,-2.17
Jun 29 2016,20704,BCOLOMBIA,487531460,23440,-0.17
Jun 30 2016,21109,BCOLOMBIA,501956060,23800,-0.42
Jul 01 2016,52635,BCOLOMBIA,1261100280,24000,0.84
Jul 01 2016,20704,BCOLOMBIA,487531460,23440,-0.17
Jul 05 2016,35098,BCOLOMBIA,828234180,23600,-1.67
Jul 06 2016,20023,BCOLOMBIA,474412160,23800,0.85
Jul 07 2016,16378,BCOLOMBIA,385883360,23500,-1.26
Jul 09 2016,59720,BCOLOMBIA,1402937120,23500,0
Jul 11 2016,52667,BCOLOMBIA,1261559160,24000,2.04
Jul 12 2016,34043,BCOLOMBIA,815354640,24000,0
Jul 13 2016,27854,BCOLOMBIA,655580160,23520,0.09
Jul 15 2016,71425,BCOLOMBIA,1717516700,24100,0.42
Jul 17 2016,127987,BCOLOMBIA,3090833800,24200,0.41
Jul 18 2016,69467,BCOLOMBIA,1669559700,24000,-0.25
Jul 20 2016,69926,BCOLOMBIA,1675256460,24060,-0.58
Jul 21 2016,87913,BCOLOMBIA,2124128040,24120,0.5
Jul 24 2016,111215,BCOLOMBIA,2680252640,24200,0.33
Jul 25 2016,71225,BCOLOMBIA,1716478200,24100,0.58
Jul 26 2016,51042,BCOLOMBIA,1230096740,24140,0.17
Jul 28 2016,51379,BCOLOMBIA,1228841440,23820,-1.57
Jul 29 2016,93597,BCOLOMBIA,2249247140,23960,0.59
Jul 31 2016,489710,BCOLOMBIA,11885020300,24300,0.66
Aug 01 2016,74385,BCOLOMBIA,1801076240,24200,-0.41
Aug 02 2016,17723,BCOLOMBIA,428594640,24200,0
Aug 03 2016,234483,BCOLOMBIA,5714267780,24380,0.74
Aug 04 2016,137056,BCOLOMBIA,3345697560,24380,0
Aug 07 2016,217194,BCOLOMBIA,5305237160,24500,0.49
Aug 08 2016,643825,BCOLOMBIA,15772688960,24440,-0.24
Aug 09 2016,212121,BCOLOMBIA,5238418780,24960,2.13
Aug 10 2016,484836,BCOLOMBIA,12106914860,25060,0.4
Aug 11 2016,110602,BCOLOMBIA,2775007620,25220,0.64
Aug 12 2016,53297,BCOLOMBIA,1332068520,25100,-0.48
Aug 16 2016,226186,BCOLOMBIA,5737738620,25480,1.51
Aug 17 2016,201611,BCOLOMBIA,5103515780,25320,-0.63
Aug 18 2016,138306,BCOLOMBIA,3474095280,25180,-0.55
Aug 19 2016,470691,BCOLOMBIA,12007364560,25640,1.83
Aug 21 2016,231258,BCOLOMBIA,5940560260,25800,0.62
Aug 23 2016,461392,BCOLOMBIA,11923720100,25960,0.62
Aug 24 2016,104015,BCOLOMBIA,2713542240,26200,0.92
Aug 25 2016,332063,BCOLOMBIA,8702394920,26200,0
Aug 28 2016,271876,BCOLOMBIA,7156018620,26400,0.76
Aug 29 2016,163662,BCOLOMBIA,4328554780,26560,0.45
Aug 30 2016,182300,BCOLOMBIA,4811268500,26440,0.15
Aug 31 2016,385678,BCOLOMBIA,10319738780,26800,0.9
Sep 01 2016,198725,BCOLOMBIA,5332677640,26900,0.37
Sep 02 2016,633052,BCOLOMBIA,16129071740,25600,1.19
Sep 03 2016,5720034,BCOLOMBIA,1.43265E+11,25260,-2.77
Sep 04 2016,398319,BCOLOMBIA,10073234840,25300,0.16
Sep 05 2016,103110,BCOLOMBIA,2671648180,25980,0
