fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,22554,CORFICOLCF,865030280,38580,-0.82
Jun 02 2016,22554,CORFICOLCF,865030280,38580,-0.82
Jun 03 2016,22554,CORFICOLCF,865030280,38580,-0.82
Jun 04 2016,5666,CORFICOLCF,217362900,38320,-0.67
Jun 05 2016,25804,CORFICOLCF,983661180,38100,-0.57
Jun 09 2016,70278,CORFICOLCF,2719872900,38840,1.94
Jun 10 2016,127413,CORFICOLCF,4865704980,38160,-1.75
Jun 11 2016,22531,CORFICOLCF,857056200,38040,0.11
Jun 12 2016,85661,CORFICOLCF,3256561060,38000,-0.42
Jun 15 2016,24598,CORFICOLCF,936518820,38400,0.95
Jun 16 2016,29065,CORFICOLCF,1104604760,38000,-1.04
Jun 17 2016,52461,CORFICOLCF,2001186620,38000,-0.52
Jun 18 2016,86238,CORFICOLCF,3274318720,37780,-0.58
Jun 21 2016,30104,CORFICOLCF,1146650280,38200,1.11
Jun 22 2016,108137,CORFICOLCF,4096074640,37900,-0.79
Jun 23 2016,64521,CORFICOLCF,2449514740,37900,0
Jun 24 2016,47878,CORFICOLCF,1814504040,37900,0
Jun 25 2016,78781,CORFICOLCF,2959665340,37700,-0.53
Jun 28 2016,19485,CORFICOLCF,734809020,37800,0.27
Jun 29 2016,88276,CORFICOLCF,3356096080,38000,0.53
Jun 30 2016,74262,CORFICOLCF,2826459460,38160,0.53
Jul 01 2016,7446,CORFICOLCF,283632820,37780,-1
Jul 01 2016,88276,CORFICOLCF,3356096080,38000,0.53
Jul 05 2016,19794,CORFICOLCF,748413940,37680,-0.26
Jul 06 2016,14968,CORFICOLCF,564217120,37840,0.42
Jul 07 2016,17529,CORFICOLCF,661051740,37620,-0.58
Jul 09 2016,52940,CORFICOLCF,1991321420,37600,-0.05
Jul 11 2016,91833,CORFICOLCF,3504982380,38500,1.48
Jul 12 2016,146741,CORFICOLCF,5633378760,38420,-0.21
Jul 13 2016,34765,CORFICOLCF,1316398940,37940,0.9
Jul 15 2016,79661,CORFICOLCF,3064286660,38500,0.21
Jul 17 2016,78525,CORFICOLCF,3040041420,38800,0.78
Jul 18 2016,81946,CORFICOLCF,3152280120,38500,0.42
