fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,597523,EEB,1085483065,1825,-1.88
Jun 02 2016,597523,EEB,1085483065,1825,-1.88
Jun 03 2016,597523,EEB,1085483065,1825,-1.88
Jun 04 2016,97790,EEB,178435620,1830,0.27
Jun 05 2016,74446,EEB,135909720,1820,-0.55
Jun 09 2016,155650,EEB,284061250,1825,0.27
Jun 10 2016,321790,EEB,586919080,1820,-0.27
Jun 11 2016,73336,EEB,133355220,1820,0.28
Jun 12 2016,1591586,EEB,2893439505,1815,-0.27
Jun 15 2016,27930,EEB,50515800,1810,-0.55
Jun 16 2016,150579,EEB,268260230,1780,-1.66
Jun 17 2016,104775,EEB,189506770,1815,1.68
Jun 18 2016,94477,EEB,168832080,1780,-1.93
Jun 21 2016,174544,EEB,315585430,1815,1.97
Jun 22 2016,777546,EEB,1413726565,1810,-0.28
Jun 23 2016,825094,EEB,1510649280,1845,1.93
Jun 24 2016,138400,EEB,254656000,1840,-0.27
Jun 25 2016,456862,EEB,831125765,1825,-0.82
Jun 28 2016,219576,EEB,402389550,1845,1.1
Jun 29 2016,529485,EEB,957950355,1800,-2.44
Jun 30 2016,136478,EEB,245086070,1785,-1.38
Jul 01 2016,29502,EEB,52956090,1795,0.56
Jul 01 2016,529485,EEB,957950355,1800,-2.44
Jul 05 2016,130403,EEB,232769355,1785,-0.56
Jul 06 2016,279280,EEB,497369500,1785,0
Jul 07 2016,283166,EEB,504752360,1765,-1.12
Jul 09 2016,135700,EEB,241244460,1780,0.85
Jul 11 2016,10967489,EEB,19738804320,1800,0
Jul 12 2016,1301863,EEB,2341180860,1800,0
Jul 13 2016,104725,EEB,186942805,1800,1.12
Jul 15 2016,186820,EEB,336238450,1800,0
Jul 17 2016,340000,EEB,612500000,1805,0.28
Jul 18 2016,241842,EEB,432477120,1805,0
Jul 20 2016,202358,EEB,365321190,1805,0
Jul 21 2016,1133000,EEB,2039335000,1795,-0.55
Jul 24 2016,35795,EEB,64206100,1790,-0.28
Jul 25 2016,205678,EEB,375464080,1830,-0.27
Jul 26 2016,595416,EEB,1087260900,1820,-0.55
Jul 28 2016,1059777,EEB,1924694755,1820,1.68
Jul 29 2016,1011706,EEB,1846370760,1835,0.82
Jul 31 2016,9254753,EEB,16785409470,1810,-0.55
Aug 01 2016,38100,EEB,68880000,1815,0.28
Aug 02 2016,308700,EEB,560447000,1820,0.28
Aug 03 2016,43122,EEB,78398350,1825,0.27
Aug 04 2016,18600,EEB,33879000,1825,0
Aug 07 2016,196024,EEB,354323320,1805,-1.1
Aug 08 2016,50385,EEB,91037600,1810,0.28
Aug 09 2016,86230,EEB,156683450,1820,0.55
Aug 10 2016,1058,EEB,1920270,1820,0
Aug 11 2016,649564,EEB,1186449310,1835,0.82
Aug 12 2016,72711,EEB,131763555,1815,-1.09
Aug 16 2016,843341,EEB,1549848470,1845,1.65
Aug 17 2016,405985,EEB,751273610,1860,0.81
Aug 18 2016,439293,EEB,825351880,1880,1.08
Aug 19 2016,212401,EEB,395810870,1860,-1.06
Aug 21 2016,140372,EEB,260211260,1840,-1.08
Aug 23 2016,86906,EEB,159895230,1840,0
Aug 24 2016,2040717,EEB,3830142520,1890,2.72
Aug 25 2016,1173006,EEB,2215999840,1890,0
Aug 28 2016,1065428,EEB,2015540590,1885,-0.26
Aug 29 2016,987218,EEB,1853370555,1870,-0.53
Aug 30 2016,479305,EEB,902316210,1880,-0.27
Aug 31 2016,2535043,EEB,4704185180,1850,-1.07
Sep 01 2016,90477,EEB,168308990,1860,0.54
Sep 02 2016,376382,EEB,707394725,1870,0
Sep 03 2016,543307,EEB,1014848125,1870,0.27
Sep 04 2016,136989,EEB,256624885,1870,0
Sep 05 2016,2625350,EEB,4819974580,1865,4.78
Sep 06 2016,245067,EEB,460681405,1875,0.27
Sep 07 2016,741212,EEB,1360786230,1850,-3.39
Sep 10 2016,198015,EEB,368319700,1870,0.54
Sep 11 2016,200805,EEB,381377935,1910,1.87
Sep 12 2016,651006,EEB,1244742595,1905,-0.26
Sep 13 2016,294858,EEB,545713745,1875,1.35
Sep 14 2016,28866,EEB,55183270,1915,0.52
Sep 17 2016,137400,EEB,256558000,1870,0
Sep 18 2016,971489,EEB,1816105630,1900,1.6
Sep 19 2016,1054988,EEB,2040042630,1910,0.53
Sep 20 2016,1201491,EEB,2303140605,1910,0
Sep 21 2016,124157,EEB,235472795,1890,-1.05
Sep 24 2016,76252,EEB,143658780,1880,-0.53
Sep 25 2016,15062,EEB,28239640,1870,-0.53
Sep 26 2016,32145,EEB,60138650,1870,0
Sep 27 2016,1202676,EEB,2168050360,1780,-4.81
Sep 30 2016,128781,EEB,246117520,1910,0
Oct 03 2016,1053013,EEB,1912447220,1825,0.27
Oct 04 2016,34600,EEB,63145000,1825,0
Oct 05 2016,80754,EEB,147386050,1825,0
Oct 06 2016,264972,EEB,483643500,1835,0.55
Oct 09 2016,579500,EEB,1060649120,1835,0
Oct 10 2016,68020,EEB,124842325,1840,0.27
Oct 11 2016,86136,EEB,158893390,1845,0.27
Oct 12 2016,165599,EEB,305345420,1850,0.27
Oct 14 2016,6580,EEB,12140100,1845,0
Oct 17 2016,25930,EEB,47792200,1845,-0.27
Oct 18 2016,152888,EEB,283885500,1860,0.81
Oct 20 2016,110551,EEB,206036290,1855,-0.54
Oct 22 2016,92792,EEB,172607080,1865,0.27
Oct 23 2016,1542,EEB,2868330,1855,0
Oct 24 2016,295993,EEB,551358115,1870,0.81
Oct 25 2016,115413,EEB,214704610,1870,0
Oct 26 2016,1284664,EEB,2394050440,1870,0
Oct 28 2016,221765,EEB,416797425,1895,1.34
Oct 29 2016,1748887,EEB,3324604160,1900,0.26
Nov 01 2016,80754,EEB,147386050,1825,0
Nov 02 2016,2604652,EEB,4746725835,1820,-2.93
Nov 03 2016,1053013,EEB,1912447220,1825,0.27
Nov 04 2016,34600,EEB,63145000,1825,0
Nov 07 2016,80754,EEB,147386050,1825,0
Nov 08 2016,264972,EEB,483643500,1835,0.55
Nov 09 2016,579500,EEB,1060649120,1835,0
Nov 10 2016,68020,EEB,124842325,1840,0.27
Nov 11 2016,2480242,EEB,4493826900,1825,-0.54
Nov 15 2016,346199,EEB,633933495,1835,0.55
Nov 16 2016,861478,EEB,1578861610,1830,-0.27
Nov 17 2016,667294,EEB,1221738990,1835,0.27
Nov 18 2016,12600,EEB,23247000,1845,0.54
Nov 21 2016,75710,EEB,139933610,1850,0.27
Nov 25 2016,182058,EEB,331291330,1820,-1.36
Nov 28 2016,140103,EEB,255336560,1820,0
Nov 29 2016,380182,EEB,693103575,1825,0.27
Nov 30 2016,2391406,EEB,4326555030,1805,-1.1
Dec 01 2016,155934,EEB,282178015,1805,0
