fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 04 2016,204999,ELCONDOR,229598880,1120,0
Jun 05 2016,48790,ELCONDOR,53331100,1105,-1.34
Jun 09 2016,13424,ELCONDOR,14932780,1125,1.81
Jun 10 2016,75622,ELCONDOR,84029680,1120,-0.44
Jun 11 2016,6450,ELCONDOR,7191750,1115,0
Jun 12 2016,162733,ELCONDOR,177665570,1115,-0.45
Jun 16 2016,105500,ELCONDOR,115422500,1095,-1.79
Jun 17 2016,66900,ELCONDOR,73432500,1100,0.92
Jun 18 2016,195400,ELCONDOR,212713790,1085,-1.36
Jun 21 2016,25903,ELCONDOR,28359270,1095,0.92
Jun 22 2016,16504,ELCONDOR,18154400,1100,0.46
Jun 23 2016,3507,ELCONDOR,3857700,1100,0
Jun 24 2016,5000,ELCONDOR,5500000,1100,0
Jun 25 2016,118834,ELCONDOR,128898560,1100,0
Jun 28 2016,16498,ELCONDOR,17982820,1090,-0.91
Jun 29 2016,14775,ELCONDOR,16068750,1090,0
Jun 30 2016,5000,ELCONDOR,5450000,1090,0
Jul 01 2016,7030,ELCONDOR,7733000,1100,0.92
Jul 01 2016,14775,ELCONDOR,16068750,1090,0
Jul 06 2016,134973,ELCONDOR,147233915,1095,-0.45
Jul 07 2016,140000,ELCONDOR,153300000,1095,0
Jul 12 2016,25000,ELCONDOR,27500000,1100,0.46
Jul 15 2016,7625,ELCONDOR,8387500,1100,0
Jul 17 2016,18735,ELCONDOR,20770075,1110,0.91
Jul 18 2016,205244,ELCONDOR,236293600,1160,0.87
Jul 20 2016,209671,ELCONDOR,239613245,1150,3.6
Jul 25 2016,10305,ELCONDOR,11907560,1155,0
Jul 26 2016,96245,ELCONDOR,111597745,1165,0.87
Jul 28 2016,242559,ELCONDOR,279352995,1155,-0.43
Jul 31 2016,112969,ELCONDOR,132715230,1180,1.29
Aug 01 2016,513374,ELCONDOR,621457730,1230,4.24
Aug 02 2016,1197696,ELCONDOR,1478907930,1235,0.41
Aug 03 2016,43350,ELCONDOR,53031250,1235,0
Aug 07 2016,7067,ELCONDOR,8480400,1200,-2.83
Aug 11 2016,7068,ELCONDOR,8350775,1180,-1.67
Aug 17 2016,22175,ELCONDOR,25923780,1160,-1.69
Aug 18 2016,63850,ELCONDOR,74949000,1175,1.29
Aug 24 2016,19000,ELCONDOR,21755000,1145,-2.55
Aug 25 2016,1283300,ELCONDOR,1469378500,1145,0
Aug 28 2016,1304501,ELCONDOR,1493547640,1145,0
Aug 29 2016,1332432,ELCONDOR,1525597830,1145,0
Aug 30 2016,1283300,ELCONDOR,1469378500,1145,0
Aug 31 2016,1544193,ELCONDOR,1785039385,1210,5.68
Sep 01 2016,24494,ELCONDOR,29625000,1210,0
Sep 02 2016,57503,ELCONDOR,66553540,1180,3.96
Sep 03 2016,10000,ELCONDOR,11350000,1135,0
Sep 05 2016,8863,ELCONDOR,10059505,1135,-2.16
Sep 10 2016,20000,ELCONDOR,23200000,1160,-4.13
Sep 11 2016,27503,ELCONDOR,31278420,1140,-3.39
Sep 13 2016,10000,ELCONDOR,11400000,1140,0
Sep 17 2016,8700,ELCONDOR,10179000,1170,0.86
Sep 18 2016,51468,ELCONDOR,60217560,1170,0
Sep 19 2016,73636,ELCONDOR,87401720,1170,0
Sep 20 2016,6200,ELCONDOR,7378000,1190,1.71
Sep 24 2016,13000,ELCONDOR,15080000,1160,-2.52
Sep 25 2016,20410,ELCONDOR,23588100,1155,-0.43
Sep 26 2016,500000,ELCONDOR,580000000,1160,0.43
Oct 03 2016,10400,ELCONDOR,12116000,1165,2.19
Oct 04 2016,15000,ELCONDOR,17100000,1140,-2.15
Oct 06 2016,15000,ELCONDOR,17100000,1140,0
Oct 17 2016,70684,ELCONDOR,82149360,1170,2.63
Oct 18 2016,29566,ELCONDOR,33652385,1140,-2.56
Oct 20 2016,10000,ELCONDOR,11447145,1145,-0.43
Oct 22 2016,6490,ELCONDOR,7463500,1150,0.88
Oct 23 2016,13230,ELCONDOR,15105460,1140,-0.44
Oct 28 2016,6500,ELCONDOR,7377500,1135,-0.44
Oct 29 2016,14567,ELCONDOR,16615040,1160,2.2
Nov 03 2016,10400,ELCONDOR,12116000,1165,2.19
Nov 04 2016,15000,ELCONDOR,17100000,1140,-2.15
Nov 08 2016,15000,ELCONDOR,17100000,1140,0
Nov 11 2016,58722,ELCONDOR,65050425,1100,-0.45
Nov 16 2016,6900,ELCONDOR,7900500,1145,4.09
Nov 21 2016,281817,ELCONDOR,322410160,1145,0
Nov 25 2016,28365,ELCONDOR,31332175,1140,-0.87
Nov 30 2016,42372,ELCONDOR,48847800,1150,0.88
Dec 01 2016,47509,ELCONDOR,53014990,1150,0
