fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,195833,FABRICATO,3141286,16,0
Jun 02 2016,195833,FABRICATO,3141286,16,0
Jun 03 2016,195833,FABRICATO,3141286,16,0
Jun 05 2016,200000,FABRICATO,3200000,16,0
Jun 09 2016,7218080,FABRICATO,113560010,16,-3.7
Jun 11 2016,6616710,FABRICATO,102556760,16,0
Jun 12 2016,3983701,FABRICATO,61858743,16,-0.64
Jun 15 2016,1000000,FABRICATO,15800000,16,1.94
Jun 16 2016,1073886,FABRICATO,16770844,16,-1.9
Jun 17 2016,11003,FABRICATO,169446,16,0
Jun 22 2016,947413,FABRICATO,14671402,16,0
Jun 24 2016,32,FABRICATO,486,16,0
Jun 28 2016,1027181,FABRICATO,15405379,15,-3.23
Jul 01 2016,1948956,FABRICATO,28722785,15,-2
Jul 05 2016,1000600,FABRICATO,14908700,15,1.36
Jul 07 2016,11559,FABRICATO,172229,15,0
Jul 09 2016,440682,FABRICATO,6492893,15,-1.34
Jul 11 2016,3138262,FABRICATO,46925372,15,0
Jul 12 2016,1200000,FABRICATO,17940000,15,0
Jul 13 2016,1643818,FABRICATO,24628506,15,2.04
Jul 15 2016,330758,FABRICATO,4928294,15,0
Jul 17 2016,1066619,FABRICATO,15999285,15,0
Jul 18 2016,736617,FABRICATO,11049255,15,0
Jul 21 2016,494843,FABRICATO,7422645,15,0
Jul 28 2016,4866961,FABRICATO,71714899,15,-2.67
Jul 29 2016,2798399,FABRICATO,41324625,15,0.68
Aug 01 2016,9786635,FABRICATO,138987890,14,-4.76
Aug 02 2016,1299,FABRICATO,17926,14,0
Aug 03 2016,170000,FABRICATO,2366000,14,0
Aug 04 2016,277499,FABRICATO,3834736,14,0
Aug 08 2016,1000000,FABRICATO,13676250,14,-2.14
Aug 09 2016,535964,FABRICATO,7704456,14,5.11
Aug 10 2016,3000000,FABRICATO,43471370,15,0.69
Aug 11 2016,1450000,FABRICATO,21245975,15,2.07
Aug 12 2016,500000,FABRICATO,7000000,14,-5.41
Aug 16 2016,5280000,FABRICATO,77616000,15,5
Aug 18 2016,2750941,FABRICATO,40210833,15,0
Aug 19 2016,6847000,FABRICATO,99263010,14,-3.4
Aug 21 2016,2981460,FABRICATO,42441732,14,0
Aug 23 2016,11224916,FABRICATO,161049802,15,3.52
Aug 24 2016,28862160,FABRICATO,424897893,15,2.04
Aug 25 2016,2000000,FABRICATO,30420000,15,1.33
Aug 28 2016,3652497,FABRICATO,55939033,15,0.66
Aug 30 2016,567944,FABRICATO,8636777,15,0
Aug 31 2016,12976504,FABRICATO,190732404,15,-1.96
Sep 01 2016,298308,FABRICATO,4355297,15,0
Sep 02 2016,160515097,FABRICATO,2249840523,14,-2.78
Sep 03 2016,5847173,FABRICATO,83261405,15,1.4
Sep 04 2016,7888998,FABRICATO,111986922,14,-0.69
Sep 05 2016,2500000,FABRICATO,35965498,14,0.7
Sep 06 2016,559356,FABRICATO,7830984,14,0
Sep 07 2016,480661,FABRICATO,6729254,14,0
Sep 10 2016,14340478,FABRICATO,206425214,15,-2
Sep 11 2016,2800648,FABRICATO,39209007,14,0
Sep 12 2016,391466,FABRICATO,5436231,14,0
Sep 14 2016,6000000,FABRICATO,84000000,14,0
Sep 17 2016,2985964,FABRICATO,43296478,15,-1.36
Sep 18 2016,2014036,FABRICATO,29453522,15,0
Sep 19 2016,36218944,FABRICATO,525474688,15,1.38
Sep 20 2016,2743602,FABRICATO,39782229,15,-1.36
Sep 24 2016,4750200,FABRICATO,68714884,15,0
Sep 25 2016,803448,FABRICATO,11649996,15,0
Sep 26 2016,656938,FABRICATO,9386579,14,-1.38
Sep 27 2016,2971457,FABRICATO,42246716,14,-0.7
Oct 04 2016,1097994,FABRICATO,15474516,14,-1.41
Oct 05 2016,4063137,FABRICATO,56871291,14,0
Oct 06 2016,1426672,FABRICATO,19973408,14,0
Oct 10 2016,2400000,FABRICATO,33600000,14,0
Oct 11 2016,493266,FABRICATO,6807071,14,-1.43
Oct 12 2016,27517,FABRICATO,379735,14,0
Oct 14 2016,1076797,FABRICATO,14695255,14,-1.45
Oct 17 2016,1049680,FABRICATO,14485584,14,0
Oct 18 2016,466770,FABRICATO,6394749,14,0.74
Oct 20 2016,300000,FABRICATO,4242918,14,0
Oct 22 2016,10344,FABRICATO,142747,14,0
Oct 23 2016,8200000,FABRICATO,112489332,14,0
Oct 24 2016,24458,FABRICATO,335075,14,0
Oct 26 2016,27120,FABRICATO,371544,14,0
Oct 28 2016,4695444,FABRICATO,64078515,14,0
Oct 29 2016,1669214,FABRICATO,23368889,14,2.19
Nov 01 2016,4063137,FABRICATO,56871291,14,0
Nov 02 2016,3213167,FABRICATO,44853531,14,1.43
Nov 04 2016,1097994,FABRICATO,15474516,14,-1.41
Nov 07 2016,4063137,FABRICATO,56871291,14,0
Nov 08 2016,1426672,FABRICATO,19973408,14,0
Nov 10 2016,2400000,FABRICATO,33600000,14,0
Nov 11 2016,3700000,FABRICATO,50960000,14,-1.44
Nov 15 2016,2545319,FABRICATO,34870870,14,0
Nov 16 2016,2840000,FABRICATO,38908000,14,0
Nov 18 2016,11761600,FABRICATO,161133920,14,0
Nov 25 2016,1821194,FABRICATO,24039761,13,0
Nov 29 2016,6600000,FABRICATO,89100000,14,2.27
Nov 30 2016,17327154,FABRICATO,232193819,13,-0.74
Dec 01 2016,1189640,FABRICATO,16041176,14,0.75
