fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,281752,GRUPOSURA,10450456340,37380,0.48
Jun 02 2016,281752,GRUPOSURA,10450456340,37380,0.48
Jun 03 2016,281752,GRUPOSURA,10450456340,37380,0.48
Jun 04 2016,72213,GRUPOSURA,2717719820,37660,0.75
Jun 05 2016,45028,GRUPOSURA,1696006080,37800,0.37
Jun 09 2016,195419,GRUPOSURA,7434811160,38100,0.79
Jun 10 2016,354557,GRUPOSURA,13669455820,38900,2.1
Jun 11 2016,77771,GRUPOSURA,3011575880,38440,-0.98
Jun 12 2016,100351,GRUPOSURA,3909388740,38820,-0.21
Jun 15 2016,63845,GRUPOSURA,2457317500,38740,0.78
Jun 16 2016,201107,GRUPOSURA,7644268360,37800,-2.43
Jun 17 2016,43516,GRUPOSURA,1643512320,37800,0.27
Jun 18 2016,295144,GRUPOSURA,11242070440,38100,0.79
Jun 21 2016,259823,GRUPOSURA,9907792060,38000,-0.26
Jun 22 2016,242574,GRUPOSURA,9219766240,38000,0
Jun 23 2016,403775,GRUPOSURA,15415490900,38140,0.37
Jun 24 2016,157248,GRUPOSURA,6004137660,38060,-0.21
Jun 25 2016,132931,GRUPOSURA,5011938040,38200,0.37
Jun 28 2016,59922,GRUPOSURA,2267263600,37620,-1.52
Jun 29 2016,48417,GRUPOSURA,1831084060,37780,0.43
Jun 30 2016,150634,GRUPOSURA,5762240200,38300,0.63
Jul 01 2016,27304,GRUPOSURA,1039667300,37940,-0.94
Jul 01 2016,48417,GRUPOSURA,1831084060,37780,0.43
Jul 05 2016,56368,GRUPOSURA,2145782540,38080,0.37
Jul 06 2016,80983,GRUPOSURA,3095179380,38500,1.1
Jul 07 2016,114108,GRUPOSURA,4365168780,38040,-1.19
Jul 09 2016,103983,GRUPOSURA,3924710280,37660,-1
Jul 11 2016,158051,GRUPOSURA,6083927000,38740,1.41
Jul 12 2016,260942,GRUPOSURA,10210434860,39220,1.24
Jul 13 2016,53580,GRUPOSURA,2043388360,38200,1.43
Jul 15 2016,312453,GRUPOSURA,12256208380,39380,0.41
Jul 17 2016,318375,GRUPOSURA,12594264280,39680,0.76
Jul 18 2016,207683,GRUPOSURA,8281719980,39980,0.45
Jul 20 2016,185019,GRUPOSURA,7333685100,39800,0.3
Jul 21 2016,129724,GRUPOSURA,5137605180,39840,-0.35
Jul 24 2016,216305,GRUPOSURA,8590754620,39900,0.15
Jul 25 2016,197691,GRUPOSURA,7675591220,39060,0.67
Jul 26 2016,121343,GRUPOSURA,4726104120,38980,-0.2
Jul 28 2016,260735,GRUPOSURA,10352969740,39700,-0.5
Jul 29 2016,245300,GRUPOSURA,9567488300,38800,-2.27
Jul 31 2016,570147,GRUPOSURA,21869850400,38320,-1.69
Aug 01 2016,93455,GRUPOSURA,3608164380,38620,0.78
Aug 02 2016,103913,GRUPOSURA,4003227440,38580,-0.1
Aug 03 2016,193072,GRUPOSURA,7408524680,38000,-1.5
Aug 04 2016,60934,GRUPOSURA,2323828440,38200,0.53
Aug 07 2016,135715,GRUPOSURA,5196290980,38280,0.21
Aug 08 2016,115669,GRUPOSURA,4432527740,38400,0.31
Aug 09 2016,207941,GRUPOSURA,8028546840,38660,0.68
Aug 10 2016,189541,GRUPOSURA,7293379360,38560,-0.26
Aug 11 2016,233812,GRUPOSURA,9003815880,38480,-0.21
Aug 12 2016,99278,GRUPOSURA,3807813300,38500,0.05
Aug 16 2016,381555,GRUPOSURA,14702540080,38620,0.31
Aug 17 2016,254933,GRUPOSURA,9869728300,38860,0.62
Aug 18 2016,151635,GRUPOSURA,5862706440,38560,-0.77
Aug 19 2016,67706,GRUPOSURA,2615959060,38620,0.16
Aug 21 2016,213831,GRUPOSURA,8263983580,38700,0.21
Aug 23 2016,104263,GRUPOSURA,4027995180,38860,0.41
Aug 24 2016,394093,GRUPOSURA,15406397620,39080,0.57
Aug 25 2016,259809,GRUPOSURA,10112463680,38700,-0.97
Aug 28 2016,59164,GRUPOSURA,2306901880,39000,0.78
Aug 29 2016,205052,GRUPOSURA,8017205660,39180,0.82
Aug 30 2016,235273,GRUPOSURA,9140920140,38860,-0.36
Aug 31 2016,312765,GRUPOSURA,12146295640,38640,-1.38
Sep 01 2016,108010,GRUPOSURA,4166934600,38620,-0.05
Sep 02 2016,190603,GRUPOSURA,7315146220,38800,2.11
Sep 03 2016,452983,GRUPOSURA,17407876960,38200,-1.04
Sep 04 2016,229181,GRUPOSURA,8717322620,38000,-0.52
Sep 05 2016,54771,GRUPOSURA,2115883200,38600,-0.52
Sep 06 2016,187169,GRUPOSURA,7219710500,38500,-0.77
Sep 07 2016,80021,GRUPOSURA,3056571840,38160,-0.68
Sep 10 2016,222915,GRUPOSURA,8625014060,38980,0.93
Sep 11 2016,57986,GRUPOSURA,2233788120,38700,0.52
Sep 12 2016,65039,GRUPOSURA,2499011980,38380,-0.83
Sep 13 2016,202848,GRUPOSURA,7691692000,37620,-1.42
Sep 14 2016,38975,GRUPOSURA,1500004500,38420,0.1
Sep 17 2016,73975,GRUPOSURA,2883434980,39000,0.05
Sep 18 2016,175717,GRUPOSURA,6881466020,39360,0.92
Sep 19 2016,244172,GRUPOSURA,9682561580,39880,1.32
Sep 20 2016,291005,GRUPOSURA,11576933580,39680,-0.5
Sep 21 2016,36076,GRUPOSURA,1406327320,38820,-0.56
Sep 24 2016,98692,GRUPOSURA,3799191060,38420,-1.03
Sep 25 2016,862074,GRUPOSURA,33355246320,38720,0.78
Sep 26 2016,118509,GRUPOSURA,4592704160,38820,0.26
Sep 27 2016,285381,GRUPOSURA,11072683720,38800,-0.05
Sep 30 2016,96058,GRUPOSURA,3778824420,39040,-1.61
Oct 03 2016,87179,GRUPOSURA,3306945680,38020,1.01
Oct 04 2016,67787,GRUPOSURA,2597361740,38400,1
Oct 05 2016,72163,GRUPOSURA,2766673900,38300,-0.26
Oct 06 2016,129999,GRUPOSURA,4958496100,38020,-0.73
Oct 09 2016,34648,GRUPOSURA,1327495860,38380,0.95
Oct 10 2016,104233,GRUPOSURA,4002954100,38500,0.31
Oct 11 2016,151906,GRUPOSURA,5873716880,38700,0.52
Oct 12 2016,72824,GRUPOSURA,2811933620,38540,-0.41
Oct 14 2016,43994,GRUPOSURA,1683565760,38280,0.53
Oct 17 2016,39543,GRUPOSURA,1507362980,38080,-1.19
Oct 18 2016,125556,GRUPOSURA,4808963440,38300,0.05
Oct 20 2016,32656,GRUPOSURA,1253122880,38500,0.52
Oct 22 2016,16826,GRUPOSURA,644172800,38300,0
Oct 23 2016,102065,GRUPOSURA,3919015180,38380,-0.31
Oct 24 2016,38539,GRUPOSURA,1476271560,38140,-0.63
