fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,330615,ICOLCAP,4308645750,13050,0.03
Jun 02 2016,330615,ICOLCAP,4308645750,13050,0.03
Jun 03 2016,330615,ICOLCAP,4308645750,13050,0.03
Jun 04 2016,15000,ICOLCAP,197850000,13190,1.07
Jun 09 2016,30092,ICOLCAP,397967528,13225,0.27
Jun 10 2016,158882,ICOLCAP,2129358160,13417,1.45
Jun 11 2016,428184,ICOLCAP,5739665600,13415,-0.45
Jun 12 2016,700000,ICOLCAP,9423480000,13475,0.43
Jun 15 2016,100000,ICOLCAP,1328900000,13289,-0.94
Jun 16 2016,91624,ICOLCAP,1210254920,13199,-0.68
Jun 17 2016,45000,ICOLCAP,594225000,13205,0.41
Jun 18 2016,799,ICOLCAP,10587150,13251,0.34
Jun 21 2016,795000,ICOLCAP,10578105000,13317,0.5
Jun 22 2016,2210000,ICOLCAP,29377205000,13305,-0.09
Jun 23 2016,2647460,ICOLCAP,35503606400,13410,0.79
Jun 24 2016,500000,ICOLCAP,6725900000,13455,0.34
Jun 25 2016,742752,ICOLCAP,9831759588,13250,-1.52
Jun 28 2016,60000,ICOLCAP,792080000,13205,-0.34
Jun 29 2016,390000,ICOLCAP,5180380000,13250,0.34
Jun 30 2016,115106,ICOLCAP,1528909800,13300,-0.04
Jul 01 2016,390000,ICOLCAP,5180380000,13250,0.34
Jul 05 2016,90747,ICOLCAP,1201940847,13250,-0.38
Jul 06 2016,465894,ICOLCAP,6181634470,13319,0.52
Jul 09 2016,12664,ICOLCAP,166424561,13140,-1.34
Jul 11 2016,379717,ICOLCAP,5063361379,13345,0.94
Jul 12 2016,121350,ICOLCAP,1626807550,13410,0.49
Jul 13 2016,2322,ICOLCAP,30697430,13221,0.61
Jul 15 2016,70000,ICOLCAP,944300000,13494,0.63
Jul 17 2016,431832,ICOLCAP,5854570793,13560,0.49
Jul 18 2016,113493,ICOLCAP,1542861244,13595,0.41
Jul 20 2016,200000,ICOLCAP,2707800000,13539,-0.15
Jul 21 2016,36300,ICOLCAP,491502000,13540,-0.4
Jul 24 2016,336144,ICOLCAP,4533572370,13474,-0.49
Jul 25 2016,125000,ICOLCAP,1675725000,13407,0.09
Jul 26 2016,107500,ICOLCAP,1437580000,13375,-0.24
Jul 28 2016,6320,ICOLCAP,84846000,13425,-0.36
Jul 29 2016,45510,ICOLCAP,610031750,13395,-0.22
Jul 31 2016,260000,ICOLCAP,3450800000,13272,-0.77
Aug 01 2016,228857,ICOLCAP,3018023830,13185,-0.66
Aug 02 2016,36200,ICOLCAP,476822500,13138,-0.36
Aug 03 2016,485500,ICOLCAP,6401988750,13138,0
Aug 08 2016,7905,ICOLCAP,104464575,13215,0.59
Aug 09 2016,400615,ICOLCAP,5329451390,13366,1.14
Aug 10 2016,300305,ICOLCAP,4008656348,13332,-0.25
Aug 11 2016,120000,ICOLCAP,1606640000,13387,0.41
Aug 12 2016,230000,ICOLCAP,3074910000,13347,-0.3
Aug 16 2016,2131680,ICOLCAP,28825254840,13568,1.66
Aug 17 2016,1910386,ICOLCAP,25958847813,13588,0.15
Aug 18 2016,484617,ICOLCAP,6601367202,13610,0.16
Aug 21 2016,563200,ICOLCAP,7674062000,13610,0
Aug 23 2016,623820,ICOLCAP,8533663000,13675,0.48
Aug 24 2016,1700000,ICOLCAP,23467940000,13835,1.17
Aug 25 2016,428000,ICOLCAP,5935616000,13867,0.23
Aug 28 2016,385000,ICOLCAP,5343150000,13885,0.13
Aug 29 2016,2235457,ICOLCAP,31087241073,13918,0.22
