fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 05 2016,5786,OCCIDENTE,208346000,36000,0
Jun 09 2016,74742,OCCIDENTE,2724375000,36500,1.39
Jun 10 2016,11885,OCCIDENTE,431270200,36500,0
Jun 12 2016,20170,OCCIDENTE,736205000,36500,0
Jun 16 2016,20,OCCIDENTE,738000,36500,0
Jun 17 2016,2716,OCCIDENTE,99948800,36800,0.82
Jun 22 2016,970,OCCIDENTE,35696000,36800,0
Jun 23 2016,4678,OCCIDENTE,171281400,36600,-0.54
Jun 25 2016,552,OCCIDENTE,20218000,36640,0.11
Jun 28 2016,4022,OCCIDENTE,146803000,36500,-0.38
Jun 30 2016,4800,OCCIDENTE,175200000,36500,0
Jul 01 2016,15475,OCCIDENTE,564837500,36500,0
Jul 15 2016,1896,OCCIDENTE,69204000,36500,0
Jul 21 2016,2064,OCCIDENTE,75377280,36520,0.05
Jul 25 2016,5887,OCCIDENTE,214918900,36500,-0.05
Jul 31 2016,560,OCCIDENTE,20440000,36500,0
Aug 02 2016,269,OCCIDENTE,9818500,36500,0
Aug 07 2016,1660,OCCIDENTE,60590000,36500,0
Aug 09 2016,1390,OCCIDENTE,50735000,36500,0
Aug 11 2016,1492,OCCIDENTE,54458000,36500,0
Aug 12 2016,80,OCCIDENTE,2920000,36500,0
Aug 17 2016,2163,OCCIDENTE,78949500,36500,0
Aug 19 2016,15953,OCCIDENTE,582284500,36500,0
Aug 28 2016,535,OCCIDENTE,19527500,36500,0
Sep 01 2016,2035,OCCIDENTE,74277500,36500,0
Sep 03 2016,9128,OCCIDENTE,333172000,36500,0
Sep 07 2016,300,OCCIDENTE,10950000,36500,0
Sep 10 2016,6952,OCCIDENTE,253748000,36500,0
Sep 21 2016,26714,OCCIDENTE,975091000,36500,0
Sep 24 2016,81,OCCIDENTE,2947500,36500,0
Oct 04 2016,1040,OCCIDENTE,38272000,36800,0.82
Oct 12 2016,3930,OCCIDENTE,138569400,35020,-4.84
Oct 14 2016,3084,OCCIDENTE,108142800,35020,-4.84
Oct 17 2016,290,OCCIDENTE,10672000,36800,5.08
Oct 18 2016,886,OCCIDENTE,32197240,36340,3.77
Oct 22 2016,7719,OCCIDENTE,281555780,36420,0.22
Nov 02 2016,2744,OCCIDENTE,100156000,36500,0
Nov 04 2016,1040,OCCIDENTE,38272000,36800,0.82
Nov 16 2016,684,OCCIDENTE,24966000,36500,0
Nov 17 2016,8920,OCCIDENTE,325580000,36500,0
