fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,4205981,PFAVAL,4825943835,1155,1.76
Jun 02 2016,4205981,PFAVAL,4825943835,1155,1.76
Jun 03 2016,4205981,PFAVAL,4825943835,1155,1.76
Jun 04 2016,2134155,PFAVAL,2457394325,1155,0
Jun 05 2016,1123464,PFAVAL,1299413045,1160,0.43
Jun 09 2016,3355809,PFAVAL,3873150845,1160,0
Jun 10 2016,2767865,PFAVAL,3222148665,1175,1.29
Jun 11 2016,2384982,PFAVAL,2789063805,1170,0
Jun 12 2016,2273088,PFAVAL,2663025750,1170,-0.43
Jun 15 2016,1391359,PFAVAL,1622858395,1170,0
Jun 16 2016,2504354,PFAVAL,2933293400,1170,0
Jun 17 2016,2581784,PFAVAL,3033572195,1180,0.85
Jun 18 2016,6199024,PFAVAL,7293967925,1170,-0.85
Jun 21 2016,1713620,PFAVAL,2012531055,1170,0
Jun 22 2016,2941507,PFAVAL,3456242170,1180,0.85
Jun 23 2016,3141723,PFAVAL,3706420685,1180,0
Jun 24 2016,951042,PFAVAL,1121436440,1175,-0.42
Jun 25 2016,2506786,PFAVAL,2931774285,1175,0
Jun 28 2016,4770441,PFAVAL,5561977210,1165,-0.85
Jun 29 2016,2307889,PFAVAL,2688342450,1160,-0.43
Jun 30 2016,4111666,PFAVAL,4808633830,1180,0.85
Jul 01 2016,1232904,PFAVAL,1448957860,1180,0
Jul 01 2016,2307889,PFAVAL,2688342450,1160,-0.43
Jul 05 2016,1303751,PFAVAL,1526727815,1165,-1.27
Jul 06 2016,1946054,PFAVAL,2276466965,1170,0.43
Jul 07 2016,5193255,PFAVAL,6050134585,1175,0.43
Jul 09 2016,1194587,PFAVAL,1398316180,1170,-0.43
Jul 11 2016,3373581,PFAVAL,3937823445,1170,0
Jul 12 2016,3397195,PFAVAL,3995142310,1180,0.85
Jul 13 2016,2390636,PFAVAL,2795832590,1170,0
Jul 15 2016,5129803,PFAVAL,6024525620,1175,-0.42
Jul 17 2016,2468960,PFAVAL,2896468705,1175,0
Jul 18 2016,3980059,PFAVAL,4658965635,1170,-0.85
Jul 20 2016,3096207,PFAVAL,3636072850,1180,0.43
Jul 21 2016,7903417,PFAVAL,9238381790,1170,0
Jul 24 2016,15268743,PFAVAL,18055317610,1195,2.14
Jul 25 2016,5980510,PFAVAL,7054962640,1180,0.85
Jul 26 2016,4232696,PFAVAL,4983815215,1180,0
Jul 28 2016,5150711,PFAVAL,6081214350,1175,-1.67
Jul 29 2016,1483169,PFAVAL,1739733535,1170,-0.43
Jul 31 2016,13063667,PFAVAL,15376677120,1170,-0.85
Aug 01 2016,2856677,PFAVAL,3358286830,1175,0.43
Aug 02 2016,2291344,PFAVAL,2687548895,1175,0
Aug 03 2016,4149244,PFAVAL,4892437370,1175,0
