fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,61482,PFGRUPOARG,1042671300,17000,2.41
Jun 02 2016,61482,PFGRUPOARG,1042671300,17000,2.41
Jun 03 2016,61482,PFGRUPOARG,1042671300,17000,2.41
Jun 04 2016,56515,PFGRUPOARG,973039460,17200,1.18
Jun 05 2016,6211,PFGRUPOARG,105666400,17000,-1.16
Jun 09 2016,36855,PFGRUPOARG,637246920,17400,2.35
Jun 10 2016,232860,PFGRUPOARG,4119089460,17820,2.41
Jun 11 2016,90045,PFGRUPOARG,1610936860,17960,-0.11
Jun 12 2016,53142,PFGRUPOARG,952344000,17980,0.9
Jun 15 2016,37008,PFGRUPOARG,650217000,17420,-3.01
Jun 16 2016,237920,PFGRUPOARG,4158862160,17520,0.57
Jun 17 2016,34957,PFGRUPOARG,604104880,17520,0.11
Jun 18 2016,173311,PFGRUPOARG,3045417560,17480,-0.23
Jun 21 2016,52497,PFGRUPOARG,919580700,17580,0.57
Jun 22 2016,104120,PFGRUPOARG,1840824500,17920,1.93
Jun 23 2016,269339,PFGRUPOARG,4848335700,18040,0.67
Jun 24 2016,24284,PFGRUPOARG,441339860,18200,0.89
Jun 25 2016,81288,PFGRUPOARG,1440107460,17740,-2.53
Jun 28 2016,34077,PFGRUPOARG,600243280,17520,-1.24
Jun 29 2016,56490,PFGRUPOARG,995544980,17580,0.34
Jun 30 2016,31491,PFGRUPOARG,557801120,17820,1.37
Jul 01 2016,1558,PFGRUPOARG,27853620,17640,-1.01
Jul 01 2016,56490,PFGRUPOARG,995544980,17580,0.34
Jul 05 2016,22144,PFGRUPOARG,395132200,17900,1.47
Jul 06 2016,14777,PFGRUPOARG,264061220,17900,0
Jul 07 2016,11503,PFGRUPOARG,201600060,17460,-2.46
Jul 09 2016,20599,PFGRUPOARG,365802020,17820,2.06
Jul 11 2016,159381,PFGRUPOARG,2848465720,18000,1.12
Jul 12 2016,131467,PFGRUPOARG,2362588400,18160,0.89
Jul 13 2016,4852,PFGRUPOARG,86171080,17800,-0.11
Jul 15 2016,93004,PFGRUPOARG,1693394900,18380,1.21
Jul 17 2016,48270,PFGRUPOARG,887611340,18460,0.44
Jul 18 2016,558057,PFGRUPOARG,10357544640,18560,0.32
Jul 20 2016,57816,PFGRUPOARG,1068904460,18500,0.22
Jul 21 2016,413283,PFGRUPOARG,7590640900,18160,-2.16
