fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 15 2016,216,PFVILLAS,1244160,6000,0
Jun 21 2016,916,PFVILLAS,5944840,6490,8.17
Jun 30 2016,1272,PFVILLAS,7224960,5680,-12.48
Jul 09 2016,479,PFVILLAS,2730300,5680,0
Jul 13 2016,625,PFVILLAS,3562500,5680,0
Aug 04 2016,191,PFVILLAS,1088700,5680,0
Sep 04 2016,1747,PFVILLAS,10482000,6000,0
Sep 18 2016,1500,PFVILLAS,9000000,6000,5.63
Sep 26 2016,217,PFVILLAS,1258600,6000,0
Oct 06 2016,509,PFVILLAS,2952200,6000,0
Nov 08 2016,509,PFVILLAS,2952200,6000,0
Nov 29 2016,866,PFVILLAS,5019500,6000,0
