fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,36411,PROMIGAS,182055000,5000,0
Jun 02 2016,36411,PROMIGAS,182055000,5000,0
Jun 03 2016,36411,PROMIGAS,182055000,5000,0
Jun 10 2016,103,PROMIGAS,504700,5000,0
Jun 12 2016,2697,PROMIGAS,13215300,4900,-2
Jun 16 2016,11000,PROMIGAS,53900000,4900,0
Jun 23 2016,13006,PROMIGAS,64379700,4950,-1
Jul 06 2016,3759,PROMIGAS,18607050,4950,0
Jul 07 2016,9623,PROMIGAS,47568930,4910,-0.81
Jul 11 2016,565,PROMIGAS,2824600,4910,0
Jul 12 2016,1008213,PROMIGAS,4990676850,4950,0.81
Jul 13 2016,776,PROMIGAS,3810160,4910,0
Jul 17 2016,4500,PROMIGAS,22095000,4910,-0.81
Jul 18 2016,5000,PROMIGAS,24550000,4910,0
Jul 20 2016,1700,PROMIGAS,8347000,4910,0
Jul 21 2016,2500,PROMIGAS,12275000,4910,0
Jul 28 2016,972,PROMIGAS,4772520,4910,0
Jul 31 2016,10000,PROMIGAS,45000000,4500,-8.35
Aug 01 2016,32068,PROMIGAS,144306000,4500,0
Aug 03 2016,12891,PROMIGAS,58009500,4500,0
Aug 10 2016,37182,PROMIGAS,167331500,4500,0
Aug 24 2016,2000,PROMIGAS,9200000,4500,0
Aug 28 2016,8145,PROMIGAS,37467000,4600,2.22
Aug 29 2016,6617,PROMIGAS,31099900,4700,2.17
Aug 31 2016,21465,PROMIGAS,107170580,5000,6.38
Sep 01 2016,635,PROMIGAS,3175000,5000,0
Sep 03 2016,10000,PROMIGAS,55000000,5500,0
Sep 05 2016,9448,PROMIGAS,51964000,5500,-3.51
Sep 07 2016,993,PROMIGAS,5660100,5700,3.64
Sep 11 2016,3821,PROMIGAS,21015500,5500,0
Sep 12 2016,910,PROMIGAS,5187000,5500,0
Sep 13 2016,1852,PROMIGAS,10184500,5500,-3.51
Sep 14 2016,11916,PROMIGAS,65445680,5500,0
Sep 17 2016,11351,PROMIGAS,59025200,5200,4
Sep 24 2016,3850,PROMIGAS,20459950,5300,1.92
Sep 25 2016,1000,PROMIGAS,5700000,5700,7.55
Oct 10 2016,2000,PROMIGAS,10748500,5300,-3.64
Oct 11 2016,11098,PROMIGAS,58889090,5300,0
Oct 18 2016,61500,PROMIGAS,325950000,5300,0
Oct 28 2016,4000,PROMIGAS,21200000,5300,0
Nov 10 2016,2000,PROMIGAS,10748500,5300,-3.64
Nov 25 2016,13869,PROMIGAS,72251350,5210,0
Nov 30 2016,1570,PROMIGAS,8179700,5210,0
Dec 01 2016,3105,PROMIGAS,16165530,5200,-0.19
