fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 04 2016,35267,VALOREM,14852193,405,-10.99
Jun 05 2016,69215,VALOREM,30385385,439,8.4
Jun 09 2016,31149,VALOREM,13726805,440,0.23
Jun 10 2016,27225,VALOREM,12251250,450,2.27
Jun 11 2016,48095,VALOREM,21642750,450,0
Jun 12 2016,76423,VALOREM,34353927,450,0
Jun 15 2016,8000,VALOREM,3632000,450,0
Jun 16 2016,31000,VALOREM,13950000,450,0
Jun 18 2016,4104,VALOREM,1764720,455,0
Jun 22 2016,555,VALOREM,249195,455,0
Jun 23 2016,8388,VALOREM,3528056,455,0
Jun 24 2016,43494,VALOREM,19659698,455,0
Jun 30 2016,22448,VALOREM,10303632,459,0.88
Jul 05 2016,17,VALOREM,7157,459,0
Jul 09 2016,73000,VALOREM,32777000,449,-2.18
Jul 11 2016,28,VALOREM,11592,449,0
Jul 12 2016,416,VALOREM,174274,449,0
Jul 15 2016,9465,VALOREM,4015733,449,0
Jul 21 2016,230,VALOREM,96140,449,0
Jul 28 2016,12470,VALOREM,5590102,449,0
Jul 31 2016,138330,VALOREM,62448500,454,1.11
Aug 03 2016,1591,VALOREM,668220,454,0
Aug 04 2016,4029,VALOREM,1684122,454,0
Aug 09 2016,2250,VALOREM,942750,454,0
Aug 10 2016,10000,VALOREM,4330000,454,0
Aug 11 2016,1202868,VALOREM,543696336,452,-0.44
Aug 16 2016,150,VALOREM,62700,452,0
Aug 17 2016,6520,VALOREM,2725360,452,0
Aug 18 2016,1618,VALOREM,676324,452,0
Aug 19 2016,2000000,VALOREM,900000000,450,-0.44
Aug 28 2016,2267,VALOREM,952140,450,0
Aug 31 2016,1426144,VALOREM,641577670,450,0
Sep 01 2016,400000,VALOREM,180000000,450,0
Sep 04 2016,37259,VALOREM,15707180,420,-6.67
Sep 06 2016,1750,VALOREM,748750,420,0
Sep 10 2016,1497,VALOREM,658680,450,0
Sep 11 2016,25000,VALOREM,10769500,430,2.38
Sep 12 2016,1000,VALOREM,437000,430,0
Sep 13 2016,1570028,VALOREM,704882140,450,4.65
Sep 14 2016,1350,VALOREM,588600,430,0
Sep 18 2016,27258,VALOREM,12143344,449,-0.22
Sep 21 2016,273000,VALOREM,122850000,450,0.22
Sep 24 2016,13571,VALOREM,6005323,450,0
Sep 25 2016,10000,VALOREM,4450000,450,0
Sep 27 2016,6843,VALOREM,2915118,450,0
Sep 30 2016,306,VALOREM,125766,449,0
Oct 20 2016,14957,VALOREM,6396124,450,0
Oct 22 2016,418,VALOREM,175978,450,0
Oct 23 2016,54796,VALOREM,23452688,428,-4.89
Oct 24 2016,81766,VALOREM,34357836,420,-1.87
Oct 26 2016,57500,VALOREM,24150000,420,0
Oct 29 2016,42893,VALOREM,18344525,425,1.19
Nov 11 2016,4000,VALOREM,1600000,425,0
Nov 17 2016,7108,VALOREM,2914280,425,0
Nov 18 2016,7750,VALOREM,3177500,425,0
Nov 21 2016,91227,VALOREM,36490800,400,-5.88
Nov 22 2016,1818,VALOREM,705384,400,0
Nov 23 2016,1818,VALOREM,705384,400,0
Nov 24 2016,1818,VALOREM,705384,400,0
Nov 25 2016,15743,VALOREM,6274424,400,0
Nov 28 2016,7743310,VALOREM,3019649184,390,-2.5
Nov 30 2016,112997,VALOREM,45888800,412,5.64
