fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 04 2016,4,VILLAS,26000,6140,0
Jun 17 2016,33,VILLAS,214830,6140,0
Jul 05 2016,57,VILLAS,325470,6140,0
Jul 20 2016,247,VILLAS,1516580,6140,0
Jul 21 2016,12,VILLAS,68520,6140,0
Jul 24 2016,39,VILLAS,222690,6140,0
Jul 25 2016,87,VILLAS,522000,6140,0
Aug 04 2016,41,VILLAS,250920,6140,0
Aug 10 2016,7829,VILLAS,49322700,6300,2.61
Aug 25 2016,180,VILLAS,1134000,6300,0
Sep 10 2016,731,VILLAS,4678400,6300,0
Sep 13 2016,4825,VILLAS,31362500,6500,3.17
Sep 17 2016,9,VILLAS,57600,6300,0
Sep 19 2016,56,VILLAS,358400,6300,0
Sep 25 2016,97,VILLAS,622740,6300,0
Sep 27 2016,216,VILLAS,1386720,6300,0
Oct 04 2016,3642,VILLAS,22944600,6300,-3.08
Oct 11 2016,195,VILLAS,1228500,6300,0
Oct 17 2016,153,VILLAS,963900,6300,0
Oct 22 2016,154,VILLAS,970200,6300,0
Oct 24 2016,958,VILLAS,6035400,6300,0
Oct 28 2016,91,VILLAS,573300,6300,0
Nov 04 2016,3642,VILLAS,22944600,6300,-3.08
Nov 25 2016,54,VILLAS,275940,6300,0
