fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,1000,ODINSA,8700000,8700,-3.33
Jun 02 2016,1000,ODINSA,8700000,8700,-3.33
Jun 03 2016,1000,ODINSA,8700000,8700,-3.33
Jun 04 2016,13412,ODINSA,120708000,9000,3.45
Jun 12 2016,23203,ODINSA,208827000,9000,0
Jun 24 2016,3000,ODINSA,26680000,9000,0
Jun 29 2016,18980,ODINSA,163261700,8600,-4.44
Jul 01 2016,2000,ODINSA,17400000,8800,-2.22
Jul 01 2016,18980,ODINSA,163261700,8600,-4.44
Jul 07 2016,1000,ODINSA,8500000,8500,-3.41
Jul 12 2016,500,ODINSA,4250000,8500,0
Jul 13 2016,1000,ODINSA,8500000,8500,0
Jul 17 2016,500,ODINSA,4250000,8500,0
Jul 20 2016,1000,ODINSA,8520000,8520,0.24
Jul 24 2016,1000,ODINSA,8500000,8500,-0.23
Jul 25 2016,125,ODINSA,1062500,8780,0
Jul 29 2016,2000,ODINSA,17280000,8780,3.29
Aug 03 2016,3000,ODINSA,26080000,8600,-2.05
Aug 08 2016,10700,ODINSA,90150000,8700,1.16
Aug 09 2016,2690,ODINSA,23376100,8690,-0.11
Aug 10 2016,126,ODINSA,1059660,8690,0
Aug 11 2016,14740,ODINSA,128090600,8690,0
Aug 16 2016,10634,ODINSA,89603120,8680,-0.12
Aug 18 2016,1665,ODINSA,14280480,8680,0
Aug 19 2016,860,ODINSA,7310000,8500,-2.07
Aug 23 2016,10000,ODINSA,84030000,8400,-1.18
Aug 24 2016,6000,ODINSA,50400000,8400,0
Sep 07 2016,30000,ODINSA,269289000,9000,2.27
Sep 14 2016,250000,ODINSA,2197518720,8800,0.69
Sep 18 2016,30000,ODINSA,255007960,8680,3.33
Sep 25 2016,27860,ODINSA,239296400,8740,0.69
Oct 06 2016,16915,ODINSA,144777500,9000,0
Nov 08 2016,16915,ODINSA,144777500,9000,0
