fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1090,-0.0180,2570083830,2344349,continua,SI,1153.71,0.004755062
Jan 04 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1040,-0.0459,2154132620,2063794,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1080,0.0385 ,1176310125,1108462,continua,SI,1142.4,0.011232971
Jan 06 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1030,-0.0463,3096715160,2998974,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1015,-0.0146,1039172805,1017033,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1015,0.0000 ,1876715410,1853665,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1015,0.0000 ,3873744338,3875856,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1025,0.0099 ,3241111575,3185782,continua,SI,1096.68,0.016121859
Jan 14 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1050,0.0244 ,2701554450,2613473,continua,SI,1128.65,0.029151621
Jan 15 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1010,-0.0381,2533491710,2491688,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,990,-0.0198,2334981245,2336862,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1005,0.0152 ,4387186760,4320418,continua,SI,1100.3,0.020033559
Jan 20 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1010,0.0050 ,2785138245,2761228,continua,SI,1109.33,0.008206853
Jan 21 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1025,0.0149 ,4785178056,4704067,continua,SI,1124.79,0.01393634
Jan 22 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1040,0.0146 ,5095911970,4896429,continua,SI,1151.62,0.023853342
Jan 25 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1040,0.0000 ,2829775115,2713404,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1065,0.0240 ,3505323630,3332155,continua,SI,1146.36,0.006179124
Jan 27 2016,PFAVAL,GRUPO AVAL ACCIONES Y VALORES S.A.,1075,0.0094 ,4225407020,3979720,continua,SI,1153.46,0.006193517
