fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFAVH,AVIANCA HOLDINGS S.A,1695,0.0000 ,65253110,38998,continua,SI,1153.71,0.004755062
Jan 04 2016,PFAVH,AVIANCA HOLDINGS S.A,1685,-0.0059,82762320,49457,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFAVH,AVIANCA HOLDINGS S.A,1695,0.0059 ,256920950,152227,continua,SI,1142.4,0.011232971
Jan 06 2016,PFAVH,AVIANCA HOLDINGS S.A,1595,-0.0590,516164165,317068,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFAVH,AVIANCA HOLDINGS S.A,1550,-0.0282,530605900,342074,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFAVH,AVIANCA HOLDINGS S.A,1575,0.0161 ,196772180,124788,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFAVH,AVIANCA HOLDINGS S.A,1495,-0.0508,499759310,331407,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFAVH,AVIANCA HOLDINGS S.A,1500,0.0033 ,1025473320,671986,continua,SI,1096.68,0.016121859
Jan 14 2016,PFAVH,AVIANCA HOLDINGS S.A,1520,0.0133 ,2817991680,1899313,continua,SI,1128.65,0.029151621
Jan 15 2016,PFAVH,AVIANCA HOLDINGS S.A,1505,-0.0099,1012268985,686461,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFAVH,AVIANCA HOLDINGS S.A,1520,0.0100 ,201054295,133560,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFAVH,AVIANCA HOLDINGS S.A,1500,-0.0132,1142488765,758405,continua,SI,1100.3,0.020033559
Jan 20 2016,PFAVH,AVIANCA HOLDINGS S.A,1520,0.0133 ,1428467115,966678,continua,SI,1109.33,0.008206853
Jan 21 2016,PFAVH,AVIANCA HOLDINGS S.A,1510,-0.0066,982615285,644171,continua,SI,1124.79,0.01393634
Jan 22 2016,PFAVH,AVIANCA HOLDINGS S.A,1560,0.0331 ,1402117525,905181,continua,SI,1151.62,0.023853342
Jan 25 2016,PFAVH,AVIANCA HOLDINGS S.A,1520,-0.0256,461734900,302525,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFAVH,AVIANCA HOLDINGS S.A,1560,0.0263 ,941329195,608642,continua,SI,1146.36,0.006179124
Jan 27 2016,PFAVH,AVIANCA HOLDINGS S.A,1555,-0.0032,440839110,284211,continua,SI,1153.46,0.006193517
Jan 28 2016,PFAVH,AVIANCA HOLDINGS S.A,1565,0.0064 ,1021748140,659698,continua,SI,1165.38,0.010334125
Jan 29 2016,PFAVH,AVIANCA HOLDINGS S.A,1545,-0.0128,1832340895,1166172,continua,SI,1175.09,0.008332046
Feb 01 2016,PFAVH,AVIANCA HOLDINGS S.A,1700,0.1003 ,4304139020,2646852,continua,SI,1180.72,0.004791122
Feb 02 2016,PFAVH,AVIANCA HOLDINGS S.A,1685,-0.0088,1273194210,758285,continua,SI,1165.77,-0.012661766
Feb 03 2016,PFAVH,AVIANCA HOLDINGS S.A,1665,-0.0119,1109924550,669429,continua,SI,1180.66,0.012772674
Feb 04 2016,PFAVH,AVIANCA HOLDINGS S.A,1680,0.0090 ,786571725,466619,continua,SI,1188.73,0.00683516
Feb 05 2016,PFAVH,AVIANCA HOLDINGS S.A,1710,0.0179 ,1412647420,826810,continua,SI,1195.11,0.005367072
Feb 08 2016,PFAVH,AVIANCA HOLDINGS S.A,1720,0.0058 ,1022144265,604867,continua,SI,1192.98,-0.001782263
Feb 09 2016,PFAVH,AVIANCA HOLDINGS S.A,1715,-0.0029,1417170050,829491,continua,SI,1196.9,0.003285889
Feb 10 2016,PFAVH,AVIANCA HOLDINGS S.A,1790,0.0437 ,5391315220,3060812,continua,SI,1200.42,0.002940931
Feb 11 2016,PFAVH,AVIANCA HOLDINGS S.A,1780,-0.0056,1007116470,569680,continua,SI,1198.51,-0.00159111
Feb 12 2016,PFAVH,AVIANCA HOLDINGS S.A,1805,0.0140 ,2367427085,1305490,continua,SI,1209.03,0.008777565
Feb 15 2016,PFAVH,AVIANCA HOLDINGS S.A,1815,0.0055 ,139582530,77198,continua,SI,1209.88,0.000703043
Feb 16 2016,PFAVH,AVIANCA HOLDINGS S.A,1750,-0.0358,5438345340,2975549,continua,SI,1199.98,-0.00818263
Feb 17 2016,PFAVH,AVIANCA HOLDINGS S.A,1870,0.0686 ,2282683640,1236342,continua,SI,1233.34,0.027800463
Feb 18 2016,PFAVH,AVIANCA HOLDINGS S.A,1900,0.0160 ,2831866610,1485801,continua,SI,1235.89,0.002067556
Feb 19 2016,PFAVH,AVIANCA HOLDINGS S.A,1920,0.0105 ,917704170,481985,continua,SI,1234.93,-0.000776768
Feb 22 2016,PFAVH,AVIANCA HOLDINGS S.A,1955,0.0182 ,2650455660,1344775,continua,SI,1236.37,0.001166058
Feb 23 2016,PFAVH,AVIANCA HOLDINGS S.A,1940,-0.0077,1692888415,864861,continua,SI,1229.65,-0.005435266
Feb 24 2016,PFAVH,AVIANCA HOLDINGS S.A,1920,-0.0103,3619632635,1893049,continua,SI,1228.18,-0.001195462
Feb 25 2016,PFAVH,AVIANCA HOLDINGS S.A,1935,0.0078 ,1946191795,1011117,continua,SI,1240.13,0.009729844
Feb 26 2016,PFAVH,AVIANCA HOLDINGS S.A,1935,0.0000 ,1841271190,946580,continua,SI,1246.68,0.005281704
Feb 29 2016,PFAVH,AVIANCA HOLDINGS S.A,2010,0.0388 ,3260359575,1630556,continua,SI,1244.17,-0.002013347
Mar 01 2016,PFAVH,AVIANCA HOLDINGS S.A,1920,-0.0448,11404752715,5958382,continua,SI,1255.54,0.009138623
Mar 02 2016,PFAVH,AVIANCA HOLDINGS S.A,1940,0.0104 ,3285095200,1681865,continua,SI,1276.63,0.016797553
Mar 03 2016,PFAVH,AVIANCA HOLDINGS S.A,1985,0.0232 ,2808168195,1417425,continua,SI,1295.43,0.014726272
Mar 04 2016,PFAVH,AVIANCA HOLDINGS S.A,2010,0.0126 ,4776677560,2368028,continua,SI,1294.86,-0.000440008
Mar 07 2016,PFAVH,AVIANCA HOLDINGS S.A,2035,0.0124 ,1820954060,896771,continua,SI,1307.17,0.009506819
Mar 08 2016,PFAVH,AVIANCA HOLDINGS S.A,2020,-0.0074,1811829680,904977,continua,SI,1294.63,-0.009593243
Mar 09 2016,PFAVH,AVIANCA HOLDINGS S.A,2010,-0.0050,1162853010,582051,continua,SI,1296.27,0.001266771
Mar 10 2016,PFAVH,AVIANCA HOLDINGS S.A,2020,0.0050 ,1073112385,537049,continua,SI,1299.45,0.002453193
Mar 11 2016,PFAVH,AVIANCA HOLDINGS S.A,1995,-0.0124,783527000,393190,continua,SI,1302.71,0.002508754
Mar 14 2016,PFAVH,AVIANCA HOLDINGS S.A,2000,0.0025 ,618746200,310263,continua,SI,1298.48,-0.003247077
Mar 15 2016,PFAVH,AVIANCA HOLDINGS S.A,1940,-0.0300,2071795765,1071201,continua,SI,1285.34,-0.010119524
Mar 16 2016,PFAVH,AVIANCA HOLDINGS S.A,1915,-0.0129,888661325,464476,continua,SI,1284.4,-0.000731324
Mar 17 2016,PFAVH,AVIANCA HOLDINGS S.A,1975,0.0313 ,924805375,472856,continua,SI,1295.89,0.008945811
Mar 18 2016,PFAVH,AVIANCA HOLDINGS S.A,1925,-0.0253,2896305965,1478178,continua,SI,1309.81,0.010741652
Mar 22 2016,PFAVH,AVIANCA HOLDINGS S.A,2000,0.0390 ,1926225030,960379,continua,SI,1316.92,0.005428268
Mar 23 2016,PFAVH,AVIANCA HOLDINGS S.A,1945,-0.0275,961672365,498325,continua,SI,1321.05,0.003136105
Mar 28 2016,PFAVH,AVIANCA HOLDINGS S.A,1895,-0.0257,1128058875,594745,continua,SI,1305.41,-0.011839067
Mar 29 2016,PFAVH,AVIANCA HOLDINGS S.A,1880,-0.0079,894570565,479308,continua,SI,1299.65,-0.004412407
Mar 30 2016,PFAVH,AVIANCA HOLDINGS S.A,1895,0.0080 ,631797655,333692,continua,SI,1319.77,0.015481091
Mar 31 2016,PFAVH,AVIANCA HOLDINGS S.A,1900,0.0026 ,1443494450,766226,continua,SI,1336.27,0.012502178
Apr 01 2016,PFAVH,AVIANCA HOLDINGS S.A,1885,-0.0079,778257950,412240,continua,SI,1333.63,-0.001975649
Apr 04 2016,PFAVH,AVIANCA HOLDINGS S.A,1885,0.0000 ,488163710,260580,continua,SI,1337.58,0.002961841
Apr 05 2016,PFAVH,AVIANCA HOLDINGS S.A,1900,0.0080 ,2612722435,1390027,continua,SI,1313.19,-0.018234423
Apr 06 2016,PFAVH,AVIANCA HOLDINGS S.A,1960,0.0316 ,4840630240,2507988,continua,SI,1321.5,0.006328102
Apr 07 2016,PFAVH,AVIANCA HOLDINGS S.A,1975,0.0077 ,4181101760,2123963,continua,SI,1316.11,-0.004078698
