fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFBCOLOM,BANCOLOMBIA S.A.,21600,-0.0155,4176260140,193126,continua,SI,1153.71,0.004755062
Jan 04 2016,PFBCOLOM,BANCOLOMBIA S.A.,21280,-0.0148,4732298960,223754,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFBCOLOM,BANCOLOMBIA S.A.,21760,0.0226 ,1948107300,90143,continua,SI,1142.4,0.011232971
Jan 06 2016,PFBCOLOM,BANCOLOMBIA S.A.,21200,-0.0257,7286908420,342142,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFBCOLOM,BANCOLOMBIA S.A.,20760,-0.0208,8478833180,402621,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFBCOLOM,BANCOLOMBIA S.A.,20840,0.0039 ,3976162720,190454,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFBCOLOM,BANCOLOMBIA S.A.,20920,0.0038 ,5753777640,278415,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFBCOLOM,BANCOLOMBIA S.A.,20960,0.0019 ,5147156100,242931,continua,SI,1096.68,0.016121859
Jan 14 2016,PFBCOLOM,BANCOLOMBIA S.A.,22320,0.0649 ,13359665640,618331,continua,SI,1128.65,0.029151621
Jan 15 2016,PFBCOLOM,BANCOLOMBIA S.A.,21100,-0.0547,18678882880,872118,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFBCOLOM,BANCOLOMBIA S.A.,20700,-0.0190,4756635420,228646,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFBCOLOM,BANCOLOMBIA S.A.,21600,0.0435 ,9569642680,445840,continua,SI,1100.3,0.020033559
Jan 20 2016,PFBCOLOM,BANCOLOMBIA S.A.,22000,0.0185 ,25276490740,1178127,continua,SI,1109.33,0.008206853
Jan 21 2016,PFBCOLOM,BANCOLOMBIA S.A.,22400,0.0182 ,25430868400,1145504,continua,SI,1124.79,0.01393634
Jan 22 2016,PFBCOLOM,BANCOLOMBIA S.A.,23280,0.0393 ,29307813960,1259381,continua,SI,1151.62,0.023853342
Jan 25 2016,PFBCOLOM,BANCOLOMBIA S.A.,22780,-0.0215,13904821640,605958,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFBCOLOM,BANCOLOMBIA S.A.,22740,-0.0018,20529998960,901484,continua,SI,1146.36,0.006179124
Jan 27 2016,PFBCOLOM,BANCOLOMBIA S.A.,22900,0.0070 ,21883608000,955779,continua,SI,1153.46,0.006193517
Jan 28 2016,PFBCOLOM,BANCOLOMBIA S.A.,23240,0.0148 ,15553953920,665318,continua,SI,1165.38,0.010334125
Jan 29 2016,PFBCOLOM,BANCOLOMBIA S.A.,23980,0.0318 ,39333169240,1650797,continua,SI,1175.09,0.008332046
Feb 01 2016,PFBCOLOM,BANCOLOMBIA S.A.,24040,0.0025 ,16276711120,681910,continua,SI,1180.72,0.004791122
