fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFCEMARGOS,CEMENTOS ARGOS S.A.,9400,0.0108 ,1137626020,121185,continua,SI,1153.71,0.004755062
Jan 04 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9260,-0.0149,66673920,7223,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9100,-0.0173,848708450,92495,continua,SI,1142.4,0.011232971
Jan 06 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9290,0.0209 ,1200845630,132930,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,8900,-0.0420,212110530,23618,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,8920,0.0022 ,332726330,37283,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,8800,-0.0135,818232880,92440,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9000,0.0227 ,1256632220,141594,continua,SI,1096.68,0.016121859
Jan 14 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9260,0.0289 ,1479652430,160597,continua,SI,1128.65,0.029151621
Jan 15 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9180,-0.0086,273487650,29764,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9120,-0.0065,1670884100,186181,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9110,-0.0011,2709186280,296414,continua,SI,1100.3,0.020033559
Jan 20 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9180,0.0077 ,904729340,99292,continua,SI,1109.33,0.008206853
Jan 21 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9200,0.0022 ,6741411380,734624,continua,SI,1124.79,0.01393634
Jan 22 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9180,-0.0022,4452952050,482794,continua,SI,1151.62,0.023853342
Jan 25 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9260,0.0087 ,312210620,34021,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9180,-0.0086,4003118500,433107,continua,SI,1146.36,0.006179124
Jan 27 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9230,0.0054 ,68476550,7411,continua,SI,1153.46,0.006193517
Jan 28 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9200,-0.0033,497587060,53829,continua,SI,1165.38,0.010334125
Jan 29 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9110,-0.0098,7807268750,843006,continua,SI,1175.09,0.008332046
Feb 01 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9190,0.0088 ,797901480,86901,continua,SI,1180.72,0.004791122
Feb 02 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9140,-0.0054,1976489840,217016,continua,SI,1165.77,-0.012661766
Feb 03 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9170,0.0033 ,1339738480,146521,continua,SI,1180.66,0.012772674
Feb 04 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9290,0.0131 ,3406968460,370418,continua,SI,1188.73,0.00683516
Feb 05 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9380,0.0097 ,8158442930,870992,continua,SI,1195.11,0.005367072
Feb 08 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9330,-0.0053,896851960,96404,continua,SI,1192.98,-0.001782263
Feb 09 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9380,0.0054 ,5421820100,576894,continua,SI,1196.9,0.003285889
Feb 10 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9400,0.0021 ,3185499450,337822,continua,SI,1200.42,0.002940931
Feb 11 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9370,-0.0032,2336113850,249569,continua,SI,1198.51,-0.00159111
Feb 12 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9440,0.0075 ,3452324140,366391,continua,SI,1209.03,0.008777565
Feb 15 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9410,-0.0032,1460642010,155110,continua,SI,1209.88,0.000703043
Feb 16 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9380,-0.0032,14889543250,1553542,continua,SI,1199.98,-0.00818263
Feb 17 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9550,0.0181 ,6309323690,657308,continua,SI,1233.34,0.027800463
Feb 18 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9680,0.0136 ,7513655480,777257,continua,SI,1235.89,0.002067556
Feb 19 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9680,0.0000 ,5989035120,618705,continua,SI,1234.93,-0.000776768
Feb 22 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9780,0.0103 ,6630599120,679668,continua,SI,1236.37,0.001166058
Feb 23 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9560,-0.0225,3319801450,346834,continua,SI,1229.65,-0.005435266
Feb 24 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9600,0.0042 ,1828346420,190678,continua,SI,1228.18,-0.001195462
Feb 25 2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,9680,0.0083 ,1762445100,181896,continua,SI,1240.13,0.009729844
