fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 10 2016,67194,PFCORFICOL,2182612600,32980,3.06
Jun 11 2016,2417,PFCORFICOL,77282000,32160,-2.55
Jun 12 2016,15834,PFCORFICOL,522522000,33000,0.06
Jun 15 2016,8790,PFCORFICOL,290070000,33000,2.61
Jun 16 2016,9474,PFCORFICOL,312640700,33000,0
Jun 21 2016,60,PFCORFICOL,1920000,33000,0
Jun 23 2016,687,PFCORFICOL,22327500,32500,-1.52
Jun 30 2016,991,PFCORFICOL,32207500,32500,0
Jul 05 2016,719,PFCORFICOL,23367500,32500,0
Jul 06 2016,63,PFCORFICOL,2047500,32500,0
Jul 12 2016,842,PFCORFICOL,26535000,30840,-5.11
Jul 15 2016,42,PFCORFICOL,1357600,30840,0
Jul 21 2016,1688,PFCORFICOL,54792480,32460,5.25
Jul 24 2016,22,PFCORFICOL,682000,32460,0
Jul 25 2016,6726,PFCORFICOL,218295780,32400,0
Jul 28 2016,80,PFCORFICOL,2592000,32460,0
Jul 29 2016,579,PFCORFICOL,18759600,32400,-0.18
Jul 31 2016,1353,PFCORFICOL,43837200,32400,0
Aug 02 2016,60,PFCORFICOL,1944000,32400,0
Aug 03 2016,5991,PFCORFICOL,194577640,32480,0.25
Aug 09 2016,38,PFCORFICOL,1232720,32480,0
Aug 10 2016,1,PFCORFICOL,31100,32480,0
Aug 12 2016,202,PFCORFICOL,6286240,31120,-4.19
Aug 16 2016,7643,PFCORFICOL,238350800,31200,0.26
Aug 17 2016,6263,PFCORFICOL,197605600,32300,3.53
Aug 18 2016,475,PFCORFICOL,15428000,32480,0.56
Aug 28 2016,120288,PFCORFICOL,3955677900,33000,1.6
Aug 29 2016,7153,PFCORFICOL,230004500,32060,-4.92
Aug 30 2016,500,PFCORFICOL,16872000,33720,2.18
Aug 31 2016,421,PFCORFICOL,13893000,33000,2.93
Sep 01 2016,14363,PFCORFICOL,460758200,32100,-2.73
Sep 02 2016,633,PFCORFICOL,20886600,33000,0.92
Sep 04 2016,275,PFCORFICOL,9004500,32700,0.49
Sep 05 2016,3,PFCORFICOL,94800,32540,0
Sep 06 2016,179,PFCORFICOL,5907000,33000,0
Sep 10 2016,2172,PFCORFICOL,69745200,32100,0
Sep 11 2016,100,PFCORFICOL,3250000,33000,0
Sep 12 2016,1507,PFCORFICOL,48979600,32500,-1.52
Sep 13 2016,141,PFCORFICOL,4653000,32500,0
Sep 14 2016,1083,PFCORFICOL,35197500,32500,0
Sep 18 2016,5409,PFCORFICOL,173928900,32100,0
Sep 20 2016,116,PFCORFICOL,3721280,32100,0
Sep 21 2016,2009,PFCORFICOL,63483500,31700,-1.25
Sep 26 2016,5049,PFCORFICOL,164076500,32500,2.52
Sep 27 2016,775,PFCORFICOL,25219420,32540,0.12
Sep 30 2016,1,PFCORFICOL,32500,32100,0
Oct 06 2016,1000,PFCORFICOL,32700000,32700,0.62
Oct 10 2016,13,PFCORFICOL,413400,32700,0
Oct 14 2016,5292,PFCORFICOL,166194000,31400,-0.32
Oct 17 2016,51920,PFCORFICOL,1660472000,31500,-3.67
Oct 18 2016,1028,PFCORFICOL,32896000,32000,1.91
Oct 20 2016,16000,PFCORFICOL,516160000,32260,-1.35
Oct 22 2016,1300,PFCORFICOL,42510000,32700,2.19
Oct 26 2016,4505,PFCORFICOL,144160000,32000,-0.81
Oct 28 2016,1429,PFCORFICOL,46299600,32400,1.25
Nov 02 2016,101,PFCORFICOL,3333000,32500,0
Nov 08 2016,1000,PFCORFICOL,32700000,32700,0.62
Nov 10 2016,13,PFCORFICOL,413400,32700,0
Nov 11 2016,4896,PFCORFICOL,158826240,32440,0
Nov 15 2016,844,PFCORFICOL,27379360,32440,0
Nov 18 2016,1500,PFCORFICOL,48660000,32440,0
Nov 28 2016,151,PFCORFICOL,4681000,31700,0
