fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFDAVVNDA,BANCO DAVIVIENDA S.A,21800,0.0074 ,1736213680,79523,continua,SI,1153.71,0.004755062
Jan 04 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21180,-0.0284,1589688140,74466,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21700,0.0246 ,3977264060,185902,continua,SI,1142.4,0.011232971
Jan 06 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21420,-0.0129,2944366320,137351,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21100,-0.0149,2336795240,110088,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21420,0.0152 ,262381820,12373,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21780,0.0168 ,4330490480,202320,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21700,-0.0037,1348315880,62352,continua,SI,1096.68,0.016121859
Jan 14 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22640,0.0433 ,3488069780,158084,continua,SI,1128.65,0.029151621
Jan 15 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22400,-0.0106,2261065860,102661,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,21980,-0.0188,507213580,23028,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22380,0.0182 ,10218169440,460302,continua,SI,1100.3,0.020033559
Jan 20 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22900,0.0232 ,12261666600,546193,continua,SI,1109.33,0.008206853
Jan 21 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22940,0.0017 ,5596543940,243915,continua,SI,1124.79,0.01393634
Jan 22 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,23200,0.0113 ,15886486660,682768,continua,SI,1151.62,0.023853342
Jan 25 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22820,-0.0164,847796980,37224,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,23200,0.0167 ,4631157700,200726,continua,SI,1146.36,0.006179124
Jan 27 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,23360,0.0069 ,2611063280,112190,continua,SI,1153.46,0.006193517
Jan 28 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,23320,-0.0017,3269757760,140043,continua,SI,1165.38,0.010334125
Jan 29 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,23160,-0.0069,5770723080,247622,continua,SI,1175.09,0.008332046
Feb 01 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,23420,0.0112 ,1521387240,65891,continua,SI,1180.72,0.004791122
Feb 02 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22840,-0.0248,1291910320,56343,continua,SI,1165.77,-0.012661766
Feb 03 2016,PFDAVVNDA,BANCO DAVIVIENDA S.A,22800,-0.0018,6928584160,302641,continua,SI,1180.66,0.012772674
