fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFGRUPOARG,GRUPO ARGOS S.A.,15280,0.0053 ,83209300,5654,continua,SI,1153.71,0.004755062
Jan 04 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14700,-0.0380,31483700,2147,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15360,0.0449 ,34130400,2275,continua,SI,1142.4,0.011232971
Jan 06 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14820,-0.0352,119415400,7890,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14700,-0.0081,810933000,55148,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14660,-0.0027,114680040,7858,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14300,-0.0246,567616220,39474,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14460,0.0112 ,250387520,17331,continua,SI,1096.68,0.016121859
Jan 14 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15020,0.0387 ,1536562440,102594,continua,SI,1128.65,0.029151621
Jan 15 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14460,-0.0373,277994740,19043,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14260,-0.0138,918609680,64103,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14340,0.0056 ,967902340,67537,continua,SI,1100.3,0.020033559
Jan 20 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14520,0.0126 ,993652720,68810,continua,SI,1109.33,0.008206853
Jan 21 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14900,0.0262 ,692928860,46964,continua,SI,1124.79,0.01393634
Jan 22 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15000,0.0067 ,5708835520,379551,continua,SI,1151.62,0.023853342
Jan 25 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15000,0.0000 ,353712000,23461,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFGRUPOARG,GRUPO ARGOS S.A.,14980,-0.0013,3117921460,206428,continua,SI,1146.36,0.006179124
Jan 27 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15260,0.0187 ,2840900840,188131,continua,SI,1153.46,0.006193517
Jan 28 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15500,0.0157 ,1008555800,65459,continua,SI,1165.38,0.010334125
Jan 29 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16280,0.0503 ,10095991140,628009,continua,SI,1175.09,0.008332046
Feb 01 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15980,-0.0184,1102300780,68697,continua,SI,1180.72,0.004791122
Feb 02 2016,PFGRUPOARG,GRUPO ARGOS S.A.,15900,-0.0050,352693980,22178,continua,SI,1165.77,-0.012661766
Feb 03 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16180,0.0176 ,2185951380,135744,continua,SI,1180.66,0.012772674
Feb 04 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16120,-0.0037,1732149820,106408,continua,SI,1188.73,0.00683516
Feb 05 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16100,-0.0012,555914960,34383,continua,SI,1195.11,0.005367072
Feb 08 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16100,0.0000 ,1223069040,76144,continua,SI,1192.98,-0.001782263
Feb 09 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16400,0.0186 ,3443601020,210288,continua,SI,1196.9,0.003285889
Feb 10 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16620,0.0134 ,5779788580,346105,continua,SI,1200.42,0.002940931
Feb 11 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16860,0.0144 ,4253115380,257130,continua,SI,1198.51,-0.00159111
Feb 12 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16800,-0.0036,1256339840,74776,continua,SI,1209.03,0.008777565
Feb 15 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16540,-0.0155,64119280,3867,continua,SI,1209.88,0.000703043
Feb 16 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16100,-0.0266,1447227720,86274,continua,SI,1199.98,-0.00818263
Feb 17 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16800,0.0435 ,3816533400,231039,continua,SI,1233.34,0.027800463
Feb 18 2016,PFGRUPOARG,GRUPO ARGOS S.A.,16980,0.0107 ,3183510640,187564,continua,SI,1235.89,0.002067556
Feb 19 2016,PFGRUPOARG,GRUPO ARGOS S.A.,17200,0.0130 ,2058864640,121766,continua,SI,1234.93,-0.000776768
