fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34800,0.0029 ,1135830900,32704,continua,SI,1153.71,0.004755062
Jan 04 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33980,-0.0236,275916200,8137,continua,SI,1129.71,-0.020802455
Jan 05 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33700,-0.0082,1151793300,34163,continua,SI,1142.4,0.011232971
Jan 06 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33680,-0.0006,6931346300,205779,continua,SI,1129.32,-0.01144958
Jan 07 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33180,-0.0148,1252726600,37500,continua,SI,1105.73,-0.020888676
Jan 08 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,31880,-0.0392,716471440,22187,continua,SI,1098.32,-0.006701455
Jan 12 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,30400,-0.0464,2186615220,71981,continua,SI,1079.28,-0.017335567
Jan 13 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,30620,0.0072 ,1384834000,45094,continua,SI,1096.68,0.016121859
Jan 14 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,31460,0.0274 ,1284811460,41160,continua,SI,1128.65,0.029151621
Jan 15 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,31300,-0.0051,1189557700,38094,continua,SI,1103.26,-0.022495902
Jan 18 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,30520,-0.0249,1455362880,47252,continua,SI,1078.69,-0.022270362
Jan 19 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,31200,0.0223 ,3498151180,112456,continua,SI,1100.3,0.020033559
Jan 20 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,32020,0.0263 ,2531973200,79966,continua,SI,1109.33,0.008206853
Jan 21 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,32560,0.0169 ,2776936520,86009,continua,SI,1124.79,0.01393634
Jan 22 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33900,0.0412 ,3480542180,103036,continua,SI,1151.62,0.023853342
Jan 25 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33440,-0.0136,3773836400,111565,continua,SI,1139.32,-0.010680606
Jan 26 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,33920,0.0144 ,2718373420,80386,continua,SI,1146.36,0.006179124
Jan 27 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34040,0.0035 ,3249002780,95509,continua,SI,1153.46,0.006193517
Jan 28 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34800,0.0223 ,3532813760,102447,continua,SI,1165.38,0.010334125
Jan 29 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34500,-0.0086,3238735560,93455,continua,SI,1175.09,0.008332046
Feb 01 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34960,0.0133 ,1412134120,40706,continua,SI,1180.72,0.004791122
Feb 02 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34200,-0.0217,2661383000,77520,continua,SI,1165.77,-0.012661766
Feb 03 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34600,0.0117 ,4691450760,136481,continua,SI,1180.66,0.012772674
Feb 04 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34980,0.0110 ,2462620860,70431,continua,SI,1188.73,0.00683516
Feb 05 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34980,0.0000 ,3509282060,100504,continua,SI,1195.11,0.005367072
Feb 08 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,34800,-0.0051,1128208140,32447,continua,SI,1192.98,-0.001782263
Feb 09 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,35000,0.0057 ,7759437060,221549,continua,SI,1196.9,0.003285889
Feb 10 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,35200,0.0057 ,1953428380,55187,continua,SI,1200.42,0.002940931
Feb 11 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,35080,-0.0034,5848758160,167574,continua,SI,1198.51,-0.00159111
Feb 12 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,35780,0.0200 ,3557029200,100008,continua,SI,1209.03,0.008777565
Feb 15 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,35940,0.0045 ,698743320,19493,continua,SI,1209.88,0.000703043
Feb 16 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,35380,-0.0156,6889048480,191438,continua,SI,1199.98,-0.00818263
Feb 17 2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,36100,0.0204 ,14062973100,392194,continua,SI,1233.34,0.027800463
