fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,VALOREM,VALOREM S.A.,460,0.0455 ,162132310,360412,subasta,NO,1153.71,0.004755062
Jan 04 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1129.71,-0.020802455
Jan 05 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1142.4,0.011232971
Jan 06 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1129.32,-0.01144958
Jan 07 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1105.73,-0.020888676
Jan 08 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1098.32,-0.006701455
Jan 12 2016,VALOREM,VALOREM S.A.,460,0.0000 ,11737180,27826,subasta,NO,1079.28,-0.017335567
Jan 13 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1096.68,0.016121859
Jan 14 2016,VALOREM,VALOREM S.A.,460,0.0000 ,0,0,subasta,NO,1128.65,0.029151621
Jan 15 2016,VALOREM,VALOREM S.A.,460,0.0000 ,3140400,7851,subasta,NO,1103.26,-0.022495902
Jan 18 2016,VALOREM,VALOREM S.A.,460,0.0000 ,2151617,5339,subasta,NO,1078.69,-0.022270362
Jan 19 2016,VALOREM,VALOREM S.A.,460,0.0000 ,589906,1453,subasta,NO,1100.3,0.020033559
Jan 20 2016,VALOREM,VALOREM S.A.,437,-0.0500,48313880,114872,subasta,NO,1109.33,0.008206853
Jan 21 2016,VALOREM,VALOREM S.A.,437,0.0000 ,1741500,4300,subasta,NO,1124.79,0.01393634
Jan 22 2016,VALOREM,VALOREM S.A.,437,0.0000 ,0,0,subasta,NO,1151.62,0.023853342
Jan 25 2016,VALOREM,VALOREM S.A.,437,0.0000 ,0,0,subasta,NO,1139.32,-0.010680606
Jan 26 2016,VALOREM,VALOREM S.A.,437,0.0000 ,0,0,subasta,NO,1146.36,0.006179124
Jan 27 2016,VALOREM,VALOREM S.A.,454,0.0389 ,1089600000,2400000,subasta,NO,1153.46,0.006193517
Jan 28 2016,VALOREM,VALOREM S.A.,454,0.0000 ,0,0,subasta,NO,1165.38,0.010334125
Jan 29 2016,VALOREM,VALOREM S.A.,455,0.0022 ,1103367547,2425043,subasta,NO,1175.09,0.008332046
Feb 01 2016,VALOREM,VALOREM S.A.,455,0.0000 ,0,0,subasta,NO,1180.72,0.004791122
Feb 02 2016,VALOREM,VALOREM S.A.,455,0.0000 ,5852340,14274,subasta,NO,1165.77,-0.012661766
Feb 03 2016,VALOREM,VALOREM S.A.,455,0.0000 ,0,0,subasta,NO,1180.66,0.012772674
Feb 04 2016,VALOREM,VALOREM S.A.,455,0.0000 ,430000,1000,subasta,NO,1188.73,0.00683516
Feb 05 2016,VALOREM,VALOREM S.A.,455,0.0000 ,0,0,subasta,NO,1195.11,0.005367072
Feb 08 2016,VALOREM,VALOREM S.A.,455,0.0000 ,87924,204,subasta,NO,1192.98,-0.001782263
Feb 09 2016,VALOREM,VALOREM S.A.,449,-0.0132,15956930,36230,subasta,NO,1196.9,0.003285889
Feb 10 2016,VALOREM,VALOREM S.A.,449,0.0000 ,0,0,subasta,NO,1200.42,0.002940931
Feb 11 2016,VALOREM,VALOREM S.A.,450,0.0022 ,568027640,1262503,subasta,NO,1198.51,-0.00159111
Feb 12 2016,VALOREM,VALOREM S.A.,440,-0.0222,8800000,20000,subasta,NO,1209.03,0.008777565
Feb 15 2016,VALOREM,VALOREM S.A.,440,0.0000 ,0,0,subasta,NO,1209.88,0.000703043
Feb 16 2016,VALOREM,VALOREM S.A.,440,0.0000 ,0,0,subasta,NO,1199.98,-0.00818263
Feb 17 2016,VALOREM,VALOREM S.A.,440,0.0000 ,0,0,subasta,NO,1233.34,0.027800463
Feb 18 2016,VALOREM,VALOREM S.A.,440,0.0000 ,0,0,subasta,NO,1235.89,0.002067556
Feb 19 2016,VALOREM,VALOREM S.A.,440,0.0000 ,0,0,subasta,NO,1234.93,-0.000776768
