fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,307648,CNEC,2796748020,9150,2.35
Jun 02 2016,307648,CNEC,2796748020,9150,2.35
Jun 03 2016,307648,CNEC,2796748020,9150,2.35
Jun 04 2016,492180,CNEC,4535728030,9210,0.66
Jun 05 2016,344746,CNEC,3188043700,9300,0.98
Jun 09 2016,639170,CNEC,6348567080,10180,9.46
Jun 10 2016,368897,CNEC,3857981460,10540,3.54
Jun 11 2016,173090,CNEC,1780851240,10200,-3.77
Jun 12 2016,233501,CNEC,2468123160,10600,0.57
Jun 15 2016,139444,CNEC,1455009520,10360,1.57
Jun 16 2016,54060,CNEC,554265260,10220,-1.35
Jun 17 2016,120121,CNEC,1203548220,10180,-0.2
Jun 18 2016,61555,CNEC,635163820,10300,1.18
Jun 21 2016,101830,CNEC,1062067860,10480,1.75
Jun 22 2016,65174,CNEC,672690040,10480,0
Jun 23 2016,130284,CNEC,1334490840,10180,-2.86
Jun 24 2016,57086,CNEC,583316860,10300,1.18
Jun 25 2016,229446,CNEC,2277406910,9930,-3.59
Jun 28 2016,132336,CNEC,1306263190,9910,-0.2
Jun 29 2016,91139,CNEC,916092400,10220,3.13
Jun 30 2016,103761,CNEC,1021797040,9800,-4.48
Jul 01 2016,6457,CNEC,63189300,9900,1.02
Jul 01 2016,91139,CNEC,916092400,10220,3.13
Jul 05 2016,97282,CNEC,977611940,10160,2.63
Jul 06 2016,117332,CNEC,1190659620,10200,0.39
Jul 07 2016,48220,CNEC,483558280,10180,-0.2
Jul 09 2016,111085,CNEC,1094349260,9900,-2.75
Jul 11 2016,112835,CNEC,1141106980,10160,4.21
Jul 12 2016,58306,CNEC,585079730,10160,0
Jul 13 2016,25520,CNEC,251486400,9750,-1.52
Jul 15 2016,130354,CNEC,1288710930,9860,-2.95
Jul 17 2016,124104,CNEC,1214138200,9720,-1.42
Jul 18 2016,94348,CNEC,897255250,9450,-2.58
Jul 20 2016,59150,CNEC,570505490,9700,-0.21
Jul 21 2016,48569,CNEC,464782830,9490,0.42
Jul 24 2016,59358,CNEC,556217520,9490,0
Jul 25 2016,70623,CNEC,661228150,9320,-0.85
Jul 26 2016,37744,CNEC,354361960,9440,1.29
Jul 28 2016,77820,CNEC,705165830,9080,-4.32
Jul 29 2016,64128,CNEC,597964350,9400,3.52
Jul 31 2016,753340,CNEC,7042745480,9290,-1.59
Aug 01 2016,9677,CNEC,89227660,9220,-0.75
Aug 02 2016,95383,CNEC,907739160,9560,3.69
Aug 03 2016,127061,CNEC,1232125600,9850,3.03
Aug 04 2016,54918,CNEC,542396110,9740,-1.12
Aug 07 2016,37628,CNEC,358720020,9530,-2.16
Aug 08 2016,53434,CNEC,527613580,9880,3.67
Aug 09 2016,41260,CNEC,405313200,9830,-0.51
Aug 10 2016,32444,CNEC,320617380,9940,1.12
Aug 11 2016,5508,CNEC,54705960,9950,0.1
Aug 12 2016,84549,CNEC,826313720,9940,-0.1
Aug 16 2016,216993,CNEC,2060819390,9420,-5.23
Aug 17 2016,245169,CNEC,2267080470,9260,-1.7
Aug 18 2016,154569,CNEC,1470523430,9590,3.56
Aug 19 2016,105076,CNEC,986067980,9300,-3.02
Aug 21 2016,204654,CNEC,1852405430,9000,-3.23
Aug 23 2016,116460,CNEC,1057551060,9080,0.89
Aug 24 2016,244731,CNEC,2313693600,9590,5.62
Aug 25 2016,267931,CNEC,2593193360,9700,1.15
Aug 28 2016,176878,CNEC,1736329280,9820,1.24
Aug 29 2016,109405,CNEC,1077390760,9850,0
Aug 30 2016,91138,CNEC,898348250,9850,0.31
Aug 31 2016,165715,CNEC,1590156210,9850,0
Sep 01 2016,27105,CNEC,257498400,9550,-3.05
Sep 02 2016,82366,CNEC,773100150,9390,1.08
Sep 03 2016,6089,CNEC,55808210,9170,-0.33
Sep 04 2016,13900,CNEC,128672410,9290,1.31
Sep 05 2016,41072,CNEC,379800670,9200,1.1
Sep 06 2016,90058,CNEC,844355040,9320,-0.75
Sep 07 2016,199871,CNEC,1919473610,9430,0.75
Sep 10 2016,21200,CNEC,203532620,9570,0.21
Sep 11 2016,68988,CNEC,639746520,9220,-1.07
Sep 12 2016,72736,CNEC,653896840,8940,-3.04
Sep 13 2016,27197,CNEC,257778930,9500,0.74
Sep 14 2016,68034,CNEC,637435880,9360,4.7
Sep 17 2016,11610,CNEC,112457000,9690,1.25
Sep 18 2016,85152,CNEC,812979840,9500,-1.96
Sep 19 2016,74831,CNEC,711863120,9510,0.11
Sep 20 2016,93111,CNEC,898907830,9680,1.79
Sep 21 2016,87498,CNEC,824680730,9390,-0.74
Sep 24 2016,100111,CNEC,926623540,9210,-1.92
Sep 25 2016,60855,CNEC,564625240,9220,0.11
Sep 26 2016,80158,CNEC,740615050,9210,-0.11
Sep 27 2016,93412,CNEC,851718650,9100,-1.19
Sep 30 2016,81310,CNEC,774443120,9460,-2.27
Oct 03 2016,25612,CNEC,247609840,9600,0
Oct 04 2016,97793,CNEC,951133840,9690,0.94
Oct 05 2016,81175,CNEC,795616690,9700,0.1
Oct 06 2016,123193,CNEC,1191149500,9770,0.72
Oct 09 2016,13466,CNEC,132284430,9830,0.61
Oct 10 2016,168733,CNEC,1674238600,9870,0.41
Oct 11 2016,670,CNEC,6556450,9870,0
Oct 12 2016,85615,CNEC,848505940,9920,0.51
Oct 14 2016,379656,CNEC,3881377080,10080,-0.59
Oct 17 2016,221986,CNEC,2236313850,10140,2.22
Oct 18 2016,69951,CNEC,722877940,10180,0.99
Oct 20 2016,4257,CNEC,43003640,10100,-0.98
Oct 22 2016,29455,CNEC,299422060,10200,0.2
Oct 23 2016,99813,CNEC,995243040,9960,-1.39
Oct 24 2016,41229,CNEC,403904700,9730,-2.31
Oct 25 2016,54171,CNEC,519104520,9530,-2.46
Oct 26 2016,157877,CNEC,1524221670,9770,0.41
Oct 28 2016,113534,CNEC,1082187490,9530,0
Oct 29 2016,220051,CNEC,2053244320,9430,-1.05
Nov 01 2016,81175,CNEC,795616690,9700,0.1
Nov 02 2016,63842,CNEC,611240800,9600,1.05
Nov 03 2016,25612,CNEC,247609840,9600,0
Nov 04 2016,97793,CNEC,951133840,9690,0.94
Nov 07 2016,81175,CNEC,795616690,9700,0.1
Nov 08 2016,123193,CNEC,1191149500,9770,0.72
Nov 09 2016,13466,CNEC,132284430,9830,0.61
Nov 10 2016,168733,CNEC,1674238600,9870,0.41
Nov 11 2016,656776,CNEC,6661175280,10460,7.39
Nov 15 2016,188027,CNEC,1978776700,10480,0.19
Nov 16 2016,74902,CNEC,780659620,10380,-0.95
Nov 17 2016,27473,CNEC,286827600,10380,0
Nov 18 2016,34361,CNEC,357797020,10380,0
Nov 21 2016,52010,CNEC,544449840,10480,0.96
Nov 22 2016,50314,CNEC,554268380,11040,0
Nov 23 2016,50314,CNEC,554268380,11040,0
Nov 24 2016,50314,CNEC,554268380,11040,0
Nov 25 2016,64480,CNEC,709177340,10880,-1.45
Nov 28 2016,186018,CNEC,1991012600,10640,-2.21
Nov 29 2016,108666,CNEC,1123055880,10200,-4.14
Nov 30 2016,148636,CNEC,1563516720,10340,1.37
Dec 01 2016,29478,CNEC,313578720,10460,1.16
Dec 02 2016,53450,CNEC,558285000,10520,0.57
