fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,22681,CONCONCRET,25996975,1150,0.88
Jun 02 2016,22681,CONCONCRET,25996975,1150,0.88
Jun 03 2016,22681,CONCONCRET,25996975,1150,0.88
Jun 04 2016,379563,CONCONCRET,433460335,1145,-0.43
Jun 05 2016,362872,CONCONCRET,407422215,1150,0.44
Jun 09 2016,545116,CONCONCRET,611360560,1125,-2.17
Jun 10 2016,97501,CONCONCRET,109375390,1125,0
Jun 11 2016,104267,CONCONCRET,118627225,1145,2.69
Jun 12 2016,225567,CONCONCRET,252233260,1115,-0.89
Jun 15 2016,26399,CONCONCRET,29830870,1130,-1.31
Jun 16 2016,7760,CONCONCRET,8730000,1125,-0.44
Jun 17 2016,57941,CONCONCRET,63343355,1095,-2.67
Jun 18 2016,84960,CONCONCRET,93338460,1100,0.46
Jun 21 2016,177083,CONCONCRET,195869500,1110,0.91
Jun 22 2016,101850,CONCONCRET,112254400,1110,0
Jun 23 2016,92453,CONCONCRET,103104345,1115,0.45
Jun 24 2016,41312,CONCONCRET,46054250,1115,0
Jun 25 2016,84934,CONCONCRET,93106010,1110,-0.45
Jun 28 2016,73668,CONCONCRET,80449100,1075,-3.15
Jun 29 2016,30853,CONCONCRET,33853140,1100,2.33
Jun 30 2016,192600,CONCONCRET,213491150,1125,2.27
Jul 01 2016,25977,CONCONCRET,28964355,1115,-0.89
Jul 01 2016,30853,CONCONCRET,33853140,1100,2.33
Jul 05 2016,69013,CONCONCRET,75900810,1095,-1.79
Jul 06 2016,34570,CONCONCRET,37740940,1085,-0.91
Jul 07 2016,68479,CONCONCRET,75136800,1090,0.46
Jul 09 2016,62004,CONCONCRET,67664610,1090,0
Jul 11 2016,62400,CONCONCRET,68651890,1100,-0.45
Jul 12 2016,10090,CONCONCRET,11099000,1100,0
Jul 13 2016,17026,CONCONCRET,18524805,1105,1.38
Jul 15 2016,113151,CONCONCRET,124612760,1100,0
Jul 17 2016,144033,CONCONCRET,158630300,1100,0
Jul 18 2016,12987,CONCONCRET,14545440,1120,0.9
Jul 20 2016,75308,CONCONCRET,83418110,1110,0.91
Jul 21 2016,43800,CONCONCRET,48827140,1115,-0.45
Jul 24 2016,8296,CONCONCRET,9162810,1115,0
Jul 25 2016,107138,CONCONCRET,117695065,1095,-0.45
Jul 26 2016,64609,CONCONCRET,70976900,1100,0.46
Jul 28 2016,169129,CONCONCRET,188222465,1115,0
Jul 29 2016,924293,CONCONCRET,1016722300,1100,-1.35
Jul 31 2016,113166,CONCONCRET,123571425,1090,-0.91
Aug 01 2016,19000,CONCONCRET,20615000,1085,-0.46
Aug 02 2016,70278,CONCONCRET,76888345,1095,0.92
Aug 03 2016,9900,CONCONCRET,10840500,1095,0
Aug 04 2016,3631,CONCONCRET,3975945,1095,0
Aug 07 2016,26665,CONCONCRET,29198175,1095,0
Aug 08 2016,8131,CONCONCRET,8903445,1095,0
Aug 09 2016,23158,CONCONCRET,25358010,1095,0
Aug 11 2016,17969,CONCONCRET,19593555,1090,-0.46
Aug 12 2016,14039,CONCONCRET,15286790,1090,0
Aug 16 2016,243182,CONCONCRET,270159265,1120,2.75
Aug 17 2016,149269,CONCONCRET,166452995,1105,-1.34
Aug 18 2016,13495,CONCONCRET,15010560,1115,0.9
Aug 19 2016,10391,CONCONCRET,11607300,1120,0.45
Aug 21 2016,53252,CONCONCRET,58798200,1100,-1.79
Aug 23 2016,50115,CONCONCRET,55411425,1115,1.36
Aug 24 2016,280880,CONCONCRET,308968000,1100,-1.35
Aug 25 2016,301430,CONCONCRET,329370040,1085,-1.36
Aug 28 2016,18600,CONCONCRET,20224000,1090,0.46
Aug 29 2016,208661,CONCONCRET,229335780,1100,0
Aug 30 2016,154260,CONCONCRET,169593800,1100,0.92
Aug 31 2016,1024647,CONCONCRET,1142495855,1125,2.27
Sep 01 2016,62189,CONCONCRET,69432385,1110,-1.33
Sep 02 2016,25930,CONCONCRET,28386515,1095,0
Sep 03 2016,96262,CONCONCRET,103768240,1090,0.46
Sep 04 2016,63131,CONCONCRET,69083945,1095,0.46
Sep 05 2016,38163,CONCONCRET,41908560,1085,-0.91
Sep 06 2016,44578,CONCONCRET,48553500,1100,0.46
Sep 07 2016,583281,CONCONCRET,643037460,1095,0.46
Sep 10 2016,50670,CONCONCRET,56394175,1115,0.45
Sep 11 2016,20100,CONCONCRET,21871500,1095,-0.45
Sep 12 2016,58620,CONCONCRET,63380385,1090,-0.46
Sep 13 2016,10430,CONCONCRET,11316550,1085,-0.91
Sep 14 2016,282117,CONCONCRET,301552390,1090,0
Sep 17 2016,80847,CONCONCRET,90206010,1120,0.45
Sep 18 2016,23400,CONCONCRET,26091000,1115,-0.45
Sep 19 2016,136578,CONCONCRET,152008405,1120,0.45
Sep 20 2016,81288,CONCONCRET,89631345,1100,-1.79
