fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,310459,ETB,186078523,600,1.18
Jun 02 2016,310459,ETB,186078523,600,1.18
Jun 03 2016,310459,ETB,186078523,600,1.18
Jun 04 2016,534484,ETB,320256955,599,-0.17
Jun 05 2016,726171,ETB,430545348,594,-0.83
Jun 09 2016,632717,ETB,377715475,601,1.18
Jun 10 2016,357803,ETB,213297488,597,-0.67
Jun 11 2016,65381,ETB,39159931,601,0.5
Jun 12 2016,396411,ETB,237941949,598,0.17
Jun 15 2016,657395,ETB,393240961,601,0
Jun 16 2016,203024,ETB,121391280,601,0
Jun 17 2016,444195,ETB,264501358,599,0.34
Jun 18 2016,35575,ETB,21284441,600,0.17
Jun 21 2016,173344,ETB,103683371,600,0
Jun 22 2016,194904,ETB,116796405,600,0
Jun 23 2016,212331,ETB,126825087,598,-0.33
Jun 24 2016,267670,ETB,159538027,597,-0.17
Jun 25 2016,892059,ETB,524751185,587,-1.68
Jun 28 2016,195354,ETB,113642004,585,-0.34
Jun 29 2016,104012,ETB,60560007,587,0.34
Jun 30 2016,233782,ETB,137439528,587,-0.84
Jul 01 2016,222760,ETB,129851440,587,0
Jul 01 2016,104012,ETB,60560007,587,0.34
Jul 05 2016,40921,ETB,23861259,587,0
Jul 06 2016,357406,ETB,205970513,584,-0.51
Jul 07 2016,850433,ETB,497950301,596,2.05
Jul 09 2016,209031,ETB,122882353,589,-1.17
Jul 11 2016,103186,ETB,60630052,584,-0.85
Jul 12 2016,79877,ETB,46871153,590,1.03
Jul 13 2016,218426,ETB,127612911,589,0
Jul 15 2016,310360,ETB,183745288,595,0.85
Jul 17 2016,121770,ETB,72748667,599,0.67
Jul 18 2016,182664,ETB,109022969,596,-0.67
Jul 20 2016,182152,ETB,109247300,600,0.17
Jul 21 2016,186285,ETB,110844977,595,-0.17
Jul 24 2016,5200,ETB,3105764,595,0
Jul 25 2016,4307908,ETB,2583649840,602,1.01
Jul 26 2016,774466,ETB,464646220,600,-0.33
Jul 28 2016,103423,ETB,61536685,595,0
Jul 29 2016,150469,ETB,89415050,596,0.17
Jul 31 2016,770705,ETB,462232360,600,0
Aug 01 2016,118905,ETB,70979369,600,0
Aug 02 2016,175252,ETB,105120130,603,0.5
Aug 03 2016,130017,ETB,77658934,596,-1.16
Aug 04 2016,16628,ETB,9907113,596,0
Aug 07 2016,130669,ETB,78542059,600,0.67
Aug 08 2016,928608,ETB,557242261,602,0.33
Aug 09 2016,47333,ETB,28404524,602,0
Aug 10 2016,96393,ETB,57801423,600,-0.33
Aug 11 2016,1098523,ETB,664153175,607,1.17
Aug 12 2016,116202,ETB,69986093,601,-0.99
Aug 16 2016,502558,ETB,303727989,602,0.17
Aug 17 2016,61492,ETB,37420363,608,1
Aug 18 2016,537753,ETB,328093861,610,0.33
Aug 19 2016,106383,ETB,64481630,606,-0.66
Aug 21 2016,82187,ETB,49625895,604,-0.33
Aug 23 2016,502072,ETB,301911680,611,1.16
Aug 24 2016,154725,ETB,94497230,612,0.16
Aug 25 2016,97073,ETB,59077438,611,-0.16
Aug 28 2016,131139,ETB,80427188,612,0.16
Aug 29 2016,222833,ETB,136628849,614,-0.16
Aug 30 2016,73002,ETB,44619074,615,0.49
Aug 31 2016,885773,ETB,535102808,600,-2.28
Sep 01 2016,2530968,ETB,1517340099,610,1.67
Sep 02 2016,103777,ETB,62069173,599,0.17
Sep 03 2016,162439,ETB,96627412,596,0.34
Sep 04 2016,160905,ETB,96184775,598,0.34
Sep 05 2016,366373,ETB,217863394,594,-0.67
Sep 06 2016,281862,ETB,168388468,600,0.17
Sep 07 2016,31162,ETB,18429947,588,-1.01
Sep 10 2016,599694,ETB,363112350,606,-0.66
Sep 11 2016,203704,ETB,120134931,584,-2.67
Sep 12 2016,129416,ETB,75730920,590,1.03
Sep 13 2016,1353426,ETB,796029912,586,-0.34
Sep 14 2016,135148,ETB,79879280,594,0.68
Sep 17 2016,535401,ETB,321683125,606,0
Sep 18 2016,20516,ETB,12424504,606,0
Sep 19 2016,45054,ETB,27227338,605,-0.17
Sep 20 2016,494712,ETB,299180647,604,-0.17
Sep 21 2016,9702,ETB,5821200,600,0
Sep 24 2016,1996004,ETB,1197635908,600,0
Sep 25 2016,204225,ETB,122608932,604,0.67
Sep 26 2016,396193,ETB,237722467,600,-0.66
Sep 27 2016,298920,ETB,178775132,598,-0.33
Sep 30 2016,774450,ETB,464721207,600,-0.66
Oct 03 2016,226378,ETB,134034546,597,2.4
Oct 04 2016,487216,ETB,286778292,588,-1.51
Oct 05 2016,600204,ETB,353050387,594,1.02
Oct 06 2016,261284,ETB,155233132,596,0.34
Oct 09 2016,426352,ETB,250994658,598,0.34
Oct 10 2016,1486,ETB,872309,598,0
Oct 11 2016,560109,ETB,327850136,591,-1.17
Oct 12 2016,328731,ETB,194259060,591,0
Oct 14 2016,17605,ETB,10280296,590,0
Oct 17 2016,32405,ETB,19080582,590,-0.17
Oct 18 2016,1023017,ETB,598297785,591,0.17
Oct 20 2016,226154,ETB,132553231,582,-1.52
Oct 22 2016,75712,ETB,44741027,591,0
Oct 23 2016,967393,ETB,573041707,593,1.89
Oct 24 2016,195312,ETB,114988702,586,-1.18
Oct 25 2016,336043,ETB,196022760,583,-1.19
Oct 26 2016,54187,ETB,31900972,590,0.68
Oct 28 2016,943579,ETB,554859036,588,0.86
Oct 29 2016,279873,ETB,164739368,589,0.17
Nov 01 2016,600204,ETB,353050387,594,1.02
Nov 02 2016,186549,ETB,108276879,583,-0.51
Nov 03 2016,226378,ETB,134034546,597,2.4
Nov 04 2016,487216,ETB,286778292,588,-1.51
Nov 07 2016,600204,ETB,353050387,594,1.02
Nov 08 2016,261284,ETB,155233132,596,0.34
Nov 09 2016,426352,ETB,250994658,598,0.34
Nov 10 2016,1486,ETB,872309,598,0
Nov 11 2016,2320467,ETB,1307327838,583,0.69
Nov 15 2016,257352,ETB,146818324,577,-1.03
Nov 16 2016,511203,ETB,292214020,575,-0.35
Nov 17 2016,63165,ETB,36173731,579,0.7
Nov 18 2016,50000,ETB,28950000,579,0
Nov 21 2016,136580,ETB,78926400,580,0.17
Nov 22 2016,73605,ETB,42194125,578,0.17
Nov 23 2016,73605,ETB,42194125,578,0.17
Nov 24 2016,73605,ETB,42194125,578,0.17
Nov 25 2016,340778,ETB,196253003,577,-0.17
Nov 28 2016,308779,ETB,176237682,570,-1.21
Nov 29 2016,2688928,ETB,1527983691,565,-0.88
Nov 30 2016,2446691,ETB,1379878771,560,-0.88
Dec 01 2016,4744447,ETB,2805998706,599,6.96
Dec 02 2016,566581,ETB,341720838,598,-0.17
