fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 28 2016,40000,GRUBOLIVAR,2160000000,54000,-0.55
Jun 29 2016,2260,GRUBOLIVAR,122096000,54280,0.52
Jun 30 2016,50759,GRUBOLIVAR,2752633520,54300,0.04
Jul 01 2016,600,GRUBOLIVAR,32440000,54300,0
Jul 01 2016,2260,GRUBOLIVAR,122096000,54280,0.52
Jul 07 2016,1000,GRUBOLIVAR,54300000,54300,0
Jul 09 2016,426,GRUBOLIVAR,23004000,54000,-0.55
Jul 12 2016,1850,GRUBOLIVAR,99900000,54000,0
Jul 17 2016,713,GRUBOLIVAR,38502000,54000,0
Jul 20 2016,360,GRUBOLIVAR,19540800,54280,0.52
Jul 21 2016,200,GRUBOLIVAR,10856000,54280,0
Jul 24 2016,36,GRUBOLIVAR,1954080,54280,0
Jul 25 2016,3843,GRUBOLIVAR,204054000,53100,-0.75
Jul 26 2016,15102,GRUBOLIVAR,800961600,52800,-0.56
Jul 29 2016,405,GRUBOLIVAR,21667500,53500,-1.44
Jul 31 2016,9470,GRUBOLIVAR,499056000,52520,-0.53
Aug 02 2016,5000,GRUBOLIVAR,261040000,52200,-0.61
Aug 03 2016,3000,GRUBOLIVAR,156000000,52000,-0.38
Aug 04 2016,6000,GRUBOLIVAR,316800000,52800,1.54
Aug 07 2016,4064,GRUBOLIVAR,210326720,51000,-3.41
Aug 10 2016,3000,GRUBOLIVAR,153400000,51000,0
Aug 16 2016,26,GRUBOLIVAR,1378000,51000,0
Aug 17 2016,366,GRUBOLIVAR,19434600,53100,4.12
Aug 19 2016,1900,GRUBOLIVAR,100320000,52800,-0.56
Aug 21 2016,2090,GRUBOLIVAR,109765000,52520,-0.53
Aug 23 2016,3970,GRUBOLIVAR,208425000,52500,-0.04
Aug 25 2016,5000,GRUBOLIVAR,264000000,52800,0.57
Aug 28 2016,3230,GRUBOLIVAR,170544000,52800,0
Aug 29 2016,2965,GRUBOLIVAR,156671500,52900,0.19
Sep 04 2016,17,GRUBOLIVAR,902700,52900,0
Sep 05 2016,368,GRUBOLIVAR,19477800,52900,0
Sep 10 2016,1000,GRUBOLIVAR,53000000,53000,0.19
Sep 12 2016,2030,GRUBOLIVAR,107590000,53000,0.19
Sep 19 2016,4000,GRUBOLIVAR,212000000,53000,0
Sep 20 2016,6970,GRUBOLIVAR,369607000,53100,0.19
Sep 24 2016,1885,GRUBOLIVAR,93365000,49000,-7.72
Sep 25 2016,1885,GRUBOLIVAR,92952900,49300,0.61
Sep 26 2016,570,GRUBOLIVAR,30153000,52900,7.3
Sep 30 2016,1464,GRUBOLIVAR,77738400,53100,0
Oct 03 2016,7970,GRUBOLIVAR,422410000,53000,0.04
Oct 04 2016,160,GRUBOLIVAR,9120000,57000,7.55
Oct 14 2016,32047,GRUBOLIVAR,1607532700,53980,5.22
Oct 17 2016,14932,GRUBOLIVAR,774791020,51300,-10
Oct 18 2016,11604,GRUBOLIVAR,595408000,52000,-3.67
Oct 20 2016,6568,GRUBOLIVAR,336536000,52000,0
Oct 22 2016,7913,GRUBOLIVAR,410155260,52000,0
Oct 23 2016,1022,GRUBOLIVAR,51142680,50000,-3.85
Nov 02 2016,1930,GRUBOLIVAR,102251400,52980,-0.04
Nov 03 2016,7970,GRUBOLIVAR,422410000,53000,0.04
Nov 04 2016,160,GRUBOLIVAR,9120000,57000,7.55
Nov 29 2016,1200,GRUBOLIVAR,60550000,51000,0
Dec 01 2016,114,GRUBOLIVAR,5905200,51800,1.57
Dec 02 2016,3720,GRUBOLIVAR,189720000,51000,-1.54
