fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,76280,ISAGEN,314408860,4130,-7.3
Jun 02 2016,76280,ISAGEN,314408860,4130,-7.3
Jun 03 2016,76280,ISAGEN,314408860,4130,-7.3
Jun 04 2016,38505,ISAGEN,153388555,3980,-3.63
Jun 05 2016,230975,ISAGEN,918169670,3980,0
Jun 09 2016,4189,ISAGEN,16693165,3980,0
Jun 10 2016,8855,ISAGEN,35276425,3985,0.13
Jun 11 2016,4689,ISAGEN,18644345,3965,-0.63
Jun 12 2016,525345,ISAGEN,2089248595,3990,0.13
Jun 15 2016,6164,ISAGEN,24579155,3985,0.5
Jun 16 2016,8115,ISAGEN,32586245,4050,1.63
Jun 17 2016,292011,ISAGEN,1168202930,4050,0
Jun 18 2016,139810,ISAGEN,570969380,4095,1.11
Jun 21 2016,19968,ISAGEN,81432810,4095,0
Jul 18 2016,271862,ISAGEN,1072559285,4450,8.67
Jul 21 2016,6082,ISAGEN,24373365,4450,0
Jul 24 2016,2002,ISAGEN,8068010,4450,0
Jul 25 2016,68170,ISAGEN,273689020,4015,0
Jul 26 2016,7820,ISAGEN,31617470,4050,0.87
Jul 28 2016,12248,ISAGEN,50679540,4260,-4.27
Jul 29 2016,41320,ISAGEN,165684885,4015,-5.75
Jul 31 2016,8320,ISAGEN,33885220,4110,1.48
Aug 01 2016,3886,ISAGEN,15675580,4030,-1.95
Aug 02 2016,7439,ISAGEN,30098040,4050,0.5
Aug 03 2016,10685,ISAGEN,43226235,4045,-0.12
Aug 04 2016,13529,ISAGEN,54912650,4065,0.49
Aug 07 2016,5360,ISAGEN,21783400,4065,0
Aug 08 2016,3164,ISAGEN,12861660,4065,0
Aug 09 2016,8828,ISAGEN,35913320,4080,0.37
Aug 10 2016,13502,ISAGEN,54896450,4065,-0.37
Aug 11 2016,3009,ISAGEN,12241630,4065,0
Aug 12 2016,1232,ISAGEN,5001920,4065,0
Aug 16 2016,5816,ISAGEN,23642040,4065,0
Aug 17 2016,1000,ISAGEN,4060000,4065,0
Aug 18 2016,10747,ISAGEN,43735290,4070,0.12
Aug 19 2016,2328,ISAGEN,9474960,4070,0
Aug 21 2016,4090,ISAGEN,16646300,4070,0
Aug 23 2016,4066,ISAGEN,16548620,4070,0
Aug 24 2016,4000,ISAGEN,16280000,4070,0
Aug 25 2016,4894,ISAGEN,19918580,4070,0
Aug 28 2016,13620,ISAGEN,55433400,4070,0
Aug 29 2016,11364,ISAGEN,46251480,4070,0
Aug 30 2016,3315,ISAGEN,13510650,4070,0
Aug 31 2016,43697,ISAGEN,179115500,4095,0.61
Sep 01 2016,4266,ISAGEN,17429805,4095,0
Sep 02 2016,60737,ISAGEN,206222130,3360,-1.61
Sep 03 2016,13149,ISAGEN,46122175,3475,-0.71
Sep 04 2016,13651,ISAGEN,46626325,3415,-1.73
Sep 05 2016,43814,ISAGEN,155447615,3500,-12.06
Sep 06 2016,8007,ISAGEN,26648465,3315,-1.34
Sep 07 2016,25123,ISAGEN,80187370,3190,-1.24
Sep 10 2016,3400,ISAGEN,13923000,4095,0
Sep 11 2016,51609,ISAGEN,170983045,3310,-0.15
Sep 12 2016,18697,ISAGEN,60947390,3260,-1.51
Sep 13 2016,7750,ISAGEN,24287045,3190,0
Sep 14 2016,15000,ISAGEN,48450000,3230,-0.92
Sep 17 2016,9899,ISAGEN,39387860,4095,0
Sep 18 2016,19909,ISAGEN,76141540,4095,0
Sep 19 2016,26743,ISAGEN,103777600,4060,-0.85
Sep 20 2016,14306,ISAGEN,54113215,4060,0
Sep 21 2016,7886,ISAGEN,28709950,3980,0
Sep 24 2016,609,ISAGEN,2183265,3980,0
Sep 25 2016,8551,ISAGEN,30655335,3980,0
Sep 26 2016,7000,ISAGEN,25095000,3980,0
Sep 27 2016,3585,ISAGEN,12852225,3980,0
Sep 30 2016,437025004,ISAGEN,1.8049E+12,3980,-1.97
Oct 03 2016,6143,ISAGEN,18853050,3010,-3.06
Oct 04 2016,2322,ISAGEN,7000830,3010,0
Oct 05 2016,5525,ISAGEN,16631870,3010,0
Oct 06 2016,48706,ISAGEN,168237355,3650,21.26
Oct 09 2016,104985,ISAGEN,404484270,3800,4.11
Oct 10 2016,12523,ISAGEN,47862290,3820,0.53
Oct 11 2016,18704,ISAGEN,72180735,3855,0.92
Oct 12 2016,17735,ISAGEN,68202400,3855,0
Oct 14 2016,9269,ISAGEN,35503715,3830,-1.29
Oct 17 2016,9969,ISAGEN,38544755,3880,0.65
Oct 18 2016,26381,ISAGEN,100411380,3800,-0.78
Oct 20 2016,113578,ISAGEN,440825405,3880,0.78
Oct 22 2016,35221,ISAGEN,135957315,3850,1.32
Oct 23 2016,102205,ISAGEN,396545400,3880,0
Oct 24 2016,111713,ISAGEN,433266250,3870,-0.26
Oct 25 2016,11430,ISAGEN,43954000,3850,-0.77
Oct 26 2016,39706,ISAGEN,153726250,3880,0.26
Oct 28 2016,23826,ISAGEN,92053275,3880,0.78
Oct 29 2016,11627,ISAGEN,44851335,3880,0
Nov 01 2016,5525,ISAGEN,16631870,3010,0
Nov 02 2016,65462,ISAGEN,203228025,3105,-2.66
Nov 03 2016,6143,ISAGEN,18853050,3010,-3.06
Nov 04 2016,2322,ISAGEN,7000830,3010,0
Nov 07 2016,5525,ISAGEN,16631870,3010,0
Nov 08 2016,48706,ISAGEN,168237355,3650,21.26
Nov 09 2016,104985,ISAGEN,404484270,3800,4.11
Nov 10 2016,12523,ISAGEN,47862290,3820,0.53
Nov 11 2016,2000,ISAGEN,6362990,3470,0
Nov 16 2016,7708,ISAGEN,28201125,3795,9.37
Nov 17 2016,1143,ISAGEN,3914775,3795,0
Nov 18 2016,1394,ISAGEN,4802115,3795,0
Nov 21 2016,4199,ISAGEN,14453955,3425,-9.75
Nov 22 2016,3122,ISAGEN,10831510,3455,0
Nov 23 2016,3122,ISAGEN,10831510,3455,0
Nov 24 2016,3122,ISAGEN,10831510,3455,0
Nov 25 2016,1016,ISAGEN,3515360,3455,0
Nov 28 2016,6367,ISAGEN,22011405,3455,0
Nov 29 2016,5309,ISAGEN,18469610,3460,0.14
Nov 30 2016,7293,ISAGEN,26087085,3595,3.9
Dec 01 2016,32558,ISAGEN,113906600,3500,-2.64
