fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,255824,ISA,2255161210,8860,0.68
Jun 02 2016,255824,ISA,2255161210,8860,0.68
Jun 03 2016,255824,ISA,2255161210,8860,0.68
Jun 04 2016,90228,ISA,797582140,8810,-0.56
Jun 05 2016,133593,ISA,1175005980,8810,0
Jun 09 2016,255598,ISA,2268939660,8890,0.91
Jun 10 2016,263378,ISA,2334162490,8850,-0.45
Jun 11 2016,252673,ISA,2235824550,8830,-0.34
Jun 12 2016,357370,ISA,3159785720,8860,0.11
Jun 15 2016,128755,ISA,1135331240,8800,-0.34
Jun 16 2016,105297,ISA,922311770,8720,-0.91
Jun 17 2016,147239,ISA,1273014860,8640,-0.46
Jun 18 2016,840992,ISA,7287917910,8610,-0.35
Jun 21 2016,213443,ISA,1856721940,8720,1.28
Jun 22 2016,787075,ISA,6934405890,8860,1.61
Jun 23 2016,779217,ISA,6898219150,8870,0.11
Jun 24 2016,327774,ISA,2905405010,8900,0.34
Jun 25 2016,428003,ISA,3787447560,8900,0
Jun 28 2016,138552,ISA,1218585490,8800,-1.12
Jun 29 2016,224186,ISA,1982284090,8790,-0.11
Jun 30 2016,335190,ISA,2975613810,8940,1.48
Jul 01 2016,93607,ISA,833398410,8920,-0.22
Jul 01 2016,224186,ISA,1982284090,8790,-0.11
Jul 05 2016,115902,ISA,1035521220,8920,0
Jul 06 2016,267879,ISA,2398316610,9000,0.9
Jul 07 2016,768820,ISA,6908233260,8820,-2
Jul 09 2016,244872,ISA,2162806160,8800,-0.23
Jul 11 2016,380653,ISA,3416188730,9100,1.68
Jul 12 2016,459705,ISA,4195384470,9170,0.77
Jul 13 2016,149102,ISA,1326947970,8950,1.7
Jul 15 2016,658024,ISA,6033722590,9200,0.33
Jul 17 2016,451189,ISA,4143779840,9180,-0.22
Jul 18 2016,793373,ISA,7191323760,9190,0.66
Jul 20 2016,397693,ISA,3638892460,9130,-0.54
Jul 21 2016,167867,ISA,1529294630,9100,-0.98
Jul 24 2016,316637,ISA,2893725910,9190,0.99
Jul 25 2016,195308,ISA,1777747050,9130,0.33
Jul 26 2016,139466,ISA,1272880060,9150,0.22
Jul 28 2016,418979,ISA,3824079430,9120,-0.76
Jul 29 2016,293125,ISA,2675721040,9100,-0.22
Jul 31 2016,1501274,ISA,13657286740,9090,-0.66
Aug 01 2016,146301,ISA,1332774130,9130,0.44
Aug 02 2016,286908,ISA,2619156710,9160,0.33
Aug 03 2016,328242,ISA,2991190190,9100,-0.66
Aug 04 2016,151441,ISA,1385033610,9170,0.77
Aug 07 2016,432181,ISA,3977562960,9270,1.09
Aug 08 2016,341439,ISA,3170873760,9350,0.86
Aug 09 2016,386755,ISA,3618807020,9410,0.64
Aug 10 2016,125028,ISA,1174210400,9400,-0.11
Aug 11 2016,164503,ISA,1549808470,9480,0.85
