fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 05 2016,526,PAZRIO,4208,9,0
Jun 09 2016,1113670,PAZRIO,8909360,8,-11.11
Jun 12 2016,500000,PAZRIO,4000000,8,0
Jun 24 2016,46,PAZRIO,276,8,0
Jun 28 2016,19166,PAZRIO,115188,8,0
Jun 29 2016,533986,PAZRIO,3466462,8,0
Jul 01 2016,533986,PAZRIO,3466462,8,0
Jul 05 2016,140478,PAZRIO,1053585,8,0
Jul 06 2016,269522,PAZRIO,2021415,8,0
Jul 11 2016,460,PAZRIO,2806,8,0
Jul 15 2016,440,PAZRIO,2693,8,0
Jul 18 2016,61000,PAZRIO,445300,8,0
Jul 24 2016,1804,PAZRIO,12628,8,0
Jul 29 2016,498196,PAZRIO,3985568,8,0
Aug 01 2016,29740,PAZRIO,182901,8,0
Aug 02 2016,25903,PAZRIO,181321,8,0
Aug 03 2016,46,PAZRIO,322,8,0
Aug 04 2016,137825,PAZRIO,1098621,8,0
Aug 07 2016,397228,PAZRIO,3177824,8,0
Aug 16 2016,3801454,PAZRIO,23188869,6,-23.75
Aug 21 2016,2983335,PAZRIO,19391678,7,6.56
Aug 28 2016,27125,PAZRIO,189875,7,0
Aug 30 2016,2155000,PAZRIO,13998903,7,0
Sep 05 2016,53,PAZRIO,371,7,0
Sep 10 2016,495000,PAZRIO,3227400,7,0
Sep 12 2016,560000,PAZRIO,3976000,7,0
Sep 17 2016,7684,PAZRIO,50100,7,0
Sep 18 2016,458784,PAZRIO,3220377,7,0
Sep 26 2016,994161,PAZRIO,6959127,7,7.69
Sep 30 2016,723704,PAZRIO,5403238,7,0
Oct 03 2016,999845,PAZRIO,6998915,7,0
Oct 09 2016,740815,PAZRIO,5185705,7,0
Oct 22 2016,623000,PAZRIO,4361000,7,0
Nov 02 2016,155,PAZRIO,1085,7,0
Nov 03 2016,999845,PAZRIO,6998915,7,0
Nov 09 2016,740815,PAZRIO,5185705,7,0
Nov 11 2016,310600,PAZRIO,2174200,7,0
Nov 16 2016,54,PAZRIO,378,7,0
Nov 17 2016,1,PAZRIO,7,7,0
Nov 21 2016,100000,PAZRIO,750000,7,0
Nov 22 2016,43529,PAZRIO,348232,8,0
Nov 23 2016,43529,PAZRIO,348232,8,0
Nov 24 2016,43529,PAZRIO,348232,8,0
Nov 30 2016,2393906,PAZRIO,19151248,8,0
Dec 01 2016,702246,PAZRIO,5688193,8,1.12
