fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,50000,PFCARPAK,151250000,3025,0
Jun 02 2016,50000,PFCARPAK,151250000,3025,0
Jun 03 2016,50000,PFCARPAK,151250000,3025,0
Jun 04 2016,49716,PFCARPAK,149471275,3025,0
Jun 09 2016,4000,PFCARPAK,11840000,3025,0
Jun 10 2016,19724,PFCARPAK,58255280,3000,-0.83
Jun 11 2016,26557,PFCARPAK,79868755,3015,0.5
Jun 15 2016,1670,PFCARPAK,5010000,3015,0
Jun 16 2016,4640,PFCARPAK,13677025,3000,-0.5
Jun 17 2016,7130,PFCARPAK,21012950,3000,0
Jun 21 2016,943,PFCARPAK,2700330,3000,0
Jun 22 2016,2000,PFCARPAK,5538500,3000,0
Jun 28 2016,27528,PFCARPAK,77012390,2800,-6.67
Jul 01 2016,30357,PFCARPAK,86385430,2850,1.79
Jul 05 2016,943,PFCARPAK,2687550,2850,0
Jul 06 2016,12156,PFCARPAK,34166995,2785,-2.28
Jul 09 2016,943,PFCARPAK,2640400,2785,0
Jul 11 2016,2500,PFCARPAK,7000000,2865,0
Jul 12 2016,944,PFCARPAK,2643200,2865,0
Jul 13 2016,7547,PFCARPAK,21514685,2865,2.87
Jul 18 2016,4717,PFCARPAK,12878480,2730,0
Jul 20 2016,11886,PFCARPAK,32439350,2730,-4.71
Jul 21 2016,1886,PFCARPAK,4946320,2730,0
Jul 28 2016,4716,PFCARPAK,12324390,2605,-4.58
Jul 29 2016,15500,PFCARPAK,40570000,2620,0.58
Jul 31 2016,10800,PFCARPAK,29616000,2720,3.82
Aug 01 2016,23280,PFCARPAK,61509850,2605,-4.23
Aug 02 2016,943,PFCARPAK,2451800,2605,0
Aug 03 2016,943,PFCARPAK,2442370,2605,0
Aug 07 2016,25837,PFCARPAK,69590100,2700,3.65
Aug 08 2016,31486,PFCARPAK,84936760,2700,0
Aug 09 2016,1493,PFCARPAK,4046050,2700,0
Aug 10 2016,3522,PFCARPAK,9528260,2700,0
Aug 11 2016,20000,PFCARPAK,53150000,2650,-1.85
Aug 17 2016,1000,PFCARPAK,2650000,2650,0
Aug 18 2016,3320,PFCARPAK,8798000,2650,0
Aug 19 2016,3000,PFCARPAK,7980000,2660,0.38
Aug 21 2016,2829,PFCARPAK,7555390,2660,0
Aug 23 2016,7624,PFCARPAK,20468640,2720,2.26
Aug 24 2016,3312,PFCARPAK,9008640,2720,0
Aug 25 2016,1857,PFCARPAK,5001260,2720,0
Aug 29 2016,133477,PFCARPAK,382957820,3000,9.29
Aug 30 2016,5071,PFCARPAK,13908395,2745,0.92
Aug 31 2016,26010,PFCARPAK,78120850,3000,0
Sep 01 2016,21535,PFCARPAK,64436250,2925,-2.5
Sep 03 2016,14833,PFCARPAK,43837535,2995,3.28
Sep 04 2016,3773,PFCARPAK,10941700,2900,-3.17
Sep 05 2016,9249,PFCARPAK,26822100,2900,0
Sep 07 2016,385,PFCARPAK,1124200,2900,0
Sep 10 2016,2000,PFCARPAK,5860000,2930,0.17
Sep 11 2016,10443,PFCARPAK,30314415,2900,0
Sep 12 2016,943,PFCARPAK,2734700,2900,0
Sep 13 2016,22349,PFCARPAK,66893865,3000,3.45
Sep 14 2016,25974,PFCARPAK,75324600,2900,0
Sep 17 2016,3018,PFCARPAK,8859665,2935,0.17
Sep 18 2016,4707,PFCARPAK,13799545,2935,0
Sep 19 2016,9438,PFCARPAK,27679175,2995,2.04
Sep 20 2016,11610,PFCARPAK,34747275,2995,0
Sep 21 2016,1320,PFCARPAK,3828000,2970,0
Sep 24 2016,1886,PFCARPAK,5469400,2970,0
Sep 25 2016,4012,PFCARPAK,11634800,2900,-2.36
Sep 26 2016,2000,PFCARPAK,5900000,2950,1.72
Sep 27 2016,9433,PFCARPAK,27355700,2900,-1.69
Sep 30 2016,7282,PFCARPAK,21627540,2970,-0.83
Oct 03 2016,22692,PFCARPAK,70288215,3100,2.31
Oct 04 2016,944,PFCARPAK,2835210,3100,0
Oct 06 2016,10873,PFCARPAK,32942500,3090,-0.32
Oct 10 2016,17738,PFCARPAK,55068680,3180,2.91
Oct 12 2016,907,PFCARPAK,2811700,3180,0
Oct 17 2016,4886,PFCARPAK,14853440,3040,-4.4
Oct 18 2016,3396,PFCARPAK,10342700,3050,0.33
Oct 22 2016,1886,PFCARPAK,5704700,3050,0
Oct 24 2016,4443,PFCARPAK,13423360,3020,-0.98
Oct 25 2016,1000,PFCARPAK,3015000,3020,0
Oct 28 2016,9745,PFCARPAK,29506850,3020,0
Oct 29 2016,7040,PFCARPAK,21612800,3070,1.66
Nov 02 2016,9116,PFCARPAK,27924025,3030,1
Nov 03 2016,22692,PFCARPAK,70288215,3100,2.31
Nov 04 2016,944,PFCARPAK,2835210,3100,0
Nov 08 2016,10873,PFCARPAK,32942500,3090,-0.32
Nov 10 2016,17738,PFCARPAK,55068680,3180,2.91
Nov 11 2016,19820,PFCARPAK,61147060,3090,-0.32
Nov 15 2016,3880,PFCARPAK,12028000,3100,0.32
Nov 16 2016,931,PFCARPAK,2886260,3100,0
Nov 17 2016,26490,PFCARPAK,83113000,3150,1.61
Nov 18 2016,2140,PFCARPAK,6741000,3150,0
Nov 21 2016,750,PFCARPAK,2385000,3150,0
Nov 22 2016,15000,PFCARPAK,47700000,3180,2.58
Nov 23 2016,15000,PFCARPAK,47700000,3180,2.58
Nov 24 2016,15000,PFCARPAK,47700000,3180,2.58
Nov 25 2016,74007,PFCARPAK,245348545,3300,3.77
Nov 28 2016,15201,PFCARPAK,48648200,3200,-3.03
Nov 29 2016,573848,PFCARPAK,2631813850,4525,41.41
Nov 30 2016,364450,PFCARPAK,1712462590,4750,4.97
Dec 01 2016,102467,PFCARPAK,493262445,4835,1.79
Dec 02 2016,59853,PFCARPAK,288893870,4810,-0.52
