fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,272343,PFCEMARGOS,2917160140,10820,0.93
Jun 02 2016,272343,PFCEMARGOS,2917160140,10820,0.93
Jun 03 2016,272343,PFCEMARGOS,2917160140,10820,0.93
Jun 04 2016,125333,PFCEMARGOS,1355844460,10800,-0.18
Jun 05 2016,71678,PFCEMARGOS,767701300,10800,0
Jun 09 2016,729076,PFCEMARGOS,8048461620,11080,2.59
Jun 10 2016,386882,PFCEMARGOS,4265620380,11040,-0.36
Jun 11 2016,20483,PFCEMARGOS,223288120,11040,0.36
Jun 12 2016,204292,PFCEMARGOS,2247997380,11000,-0.36
Jun 15 2016,95831,PFCEMARGOS,1035040580,10720,-2.9
Jun 16 2016,400980,PFCEMARGOS,4317205280,10800,0.75
Jun 17 2016,144425,PFCEMARGOS,1554806180,10900,1.68
Jun 18 2016,408574,PFCEMARGOS,4413789060,10860,-0.37
Jun 21 2016,178410,PFCEMARGOS,1927620200,10900,0.37
Jun 22 2016,664903,PFCEMARGOS,7279520420,11100,1.83
Jun 23 2016,285979,PFCEMARGOS,3160911360,11100,0
Jun 24 2016,152547,PFCEMARGOS,1694955520,11180,0.72
Jun 25 2016,118475,PFCEMARGOS,1303203320,11000,-1.61
Jun 28 2016,50189,PFCEMARGOS,545115360,10900,-0.91
Jun 29 2016,90081,PFCEMARGOS,981184020,10880,-0.18
Jun 30 2016,481706,PFCEMARGOS,5283163160,11000,0.73
Jul 01 2016,64125,PFCEMARGOS,708999740,10940,-0.55
Jul 01 2016,90081,PFCEMARGOS,981184020,10880,-0.18
Jul 05 2016,223958,PFCEMARGOS,2415972400,11000,0.55
Jul 06 2016,36690,PFCEMARGOS,400926600,10940,-0.55
Jul 07 2016,291408,PFCEMARGOS,3169158120,10780,-1.46
Jul 09 2016,32447,PFCEMARGOS,354744240,10940,1.48
Jul 11 2016,203245,PFCEMARGOS,2227566240,10980,0.18
Jul 12 2016,423521,PFCEMARGOS,4657947400,11020,0.36
Jul 13 2016,79044,PFCEMARGOS,865371540,10960,0.18
Jul 15 2016,102161,PFCEMARGOS,1120694060,11020,0
Jul 17 2016,122908,PFCEMARGOS,1352923160,11060,0.36
Jul 18 2016,324216,PFCEMARGOS,3563206200,11020,-0.36
Jul 20 2016,259600,PFCEMARGOS,2861769980,11060,0
Jul 21 2016,412936,PFCEMARGOS,4538866440,10900,-1.09
Jul 24 2016,132520,PFCEMARGOS,1442186260,10980,0.73
Jul 25 2016,42766,PFCEMARGOS,460059900,10760,-0.92
Jul 26 2016,297938,PFCEMARGOS,3194690300,10740,-0.19
Jul 28 2016,100768,PFCEMARGOS,1097108460,10980,0
Jul 29 2016,162321,PFCEMARGOS,1763449000,10860,-1.09
Jul 31 2016,487477,PFCEMARGOS,5189898080,10560,-1.68
Aug 01 2016,59283,PFCEMARGOS,635874680,10740,1.7
Aug 02 2016,356234,PFCEMARGOS,3825967860,10780,0.37
Aug 03 2016,89263,PFCEMARGOS,960911980,10600,-1.67
Aug 04 2016,277250,PFCEMARGOS,2946919100,10640,0.38
Aug 07 2016,369277,PFCEMARGOS,3925463940,10700,0.56
Aug 08 2016,13840,PFCEMARGOS,147895060,10700,0
Aug 09 2016,128777,PFCEMARGOS,1390848140,10820,1.12
Aug 10 2016,464253,PFCEMARGOS,5015645620,10780,-0.37
Aug 11 2016,274738,PFCEMARGOS,2980124820,10920,1.3
Aug 12 2016,82746,PFCEMARGOS,897079000,10900,-0.18
Aug 16 2016,992655,PFCEMARGOS,10882955980,11000,0.92
Aug 17 2016,670639,PFCEMARGOS,7328965640,10980,-0.18
Aug 18 2016,87007,PFCEMARGOS,951561920,10920,-0.55
Aug 19 2016,235761,PFCEMARGOS,2570806200,10920,0
Aug 21 2016,215878,PFCEMARGOS,2336976860,10820,-0.92
Aug 23 2016,157455,PFCEMARGOS,1711607780,10880,0.55
Aug 24 2016,477545,PFCEMARGOS,5236771640,11040,1.47
Aug 25 2016,836306,PFCEMARGOS,9256422220,11060,0.18
Aug 28 2016,213442,PFCEMARGOS,2359945320,11040,-0.18
Aug 29 2016,402685,PFCEMARGOS,4471151760,11120,0.91
Aug 30 2016,83105,PFCEMARGOS,921316580,11020,-0.18
Aug 31 2016,886097,PFCEMARGOS,9920346720,11220,0.9
Sep 01 2016,35419,PFCEMARGOS,394151220,11180,-0.36
Sep 02 2016,40268,PFCEMARGOS,438350240,10900,1.3
Sep 03 2016,445387,PFCEMARGOS,4735322160,10660,-0.37
Sep 04 2016,78798,PFCEMARGOS,847351320,10760,0.94
Sep 05 2016,47028,PFCEMARGOS,504478780,10700,-0.37
Sep 06 2016,105822,PFCEMARGOS,1139982240,10880,-0.18
Sep 07 2016,149313,PFCEMARGOS,1605953040,10820,-0.37
Sep 10 2016,618150,PFCEMARGOS,6946334220,11300,1.07
Sep 11 2016,246462,PFCEMARGOS,2659461760,10720,-1.47
Sep 12 2016,35681,PFCEMARGOS,383767040,10840,1.12
Sep 13 2016,46282,PFCEMARGOS,500271240,10800,-0.18
Sep 14 2016,48261,PFCEMARGOS,521809700,10860,0.18
Sep 17 2016,101495,PFCEMARGOS,1132218580,11220,-0.71
Sep 18 2016,110455,PFCEMARGOS,1228862040,11100,-1.07
Sep 19 2016,268249,PFCEMARGOS,3000365440,11220,1.08
Sep 20 2016,569080,PFCEMARGOS,6382558240,11180,-0.36
Sep 21 2016,26414,PFCEMARGOS,290223500,11080,0
Sep 24 2016,152946,PFCEMARGOS,1654668920,10800,-2.53
Sep 25 2016,51122,PFCEMARGOS,552952620,10900,0.93
Sep 26 2016,163383,PFCEMARGOS,1773392700,10880,-0.18
Sep 27 2016,271876,PFCEMARGOS,2916856940,10740,-1.29
Sep 30 2016,64694,PFCEMARGOS,713027540,11080,-0.89
Oct 03 2016,41065,PFCEMARGOS,439316440,10720,0.37
Oct 04 2016,141637,PFCEMARGOS,1514552780,10700,-0.19
Oct 05 2016,639243,PFCEMARGOS,6897213300,10800,0.93
Oct 06 2016,99330,PFCEMARGOS,1074964000,10880,0.74
Oct 09 2016,7054,PFCEMARGOS,76183580,10800,-0.74
Oct 10 2016,706528,PFCEMARGOS,7648367280,10900,0.93
Oct 11 2016,254726,PFCEMARGOS,2775157100,10880,-0.18
Oct 12 2016,300499,PFCEMARGOS,3274588060,11000,1.1
Oct 14 2016,30207,PFCEMARGOS,330945200,11000,2.23
Oct 17 2016,100213,PFCEMARGOS,1085581460,10760,-2.18
Oct 18 2016,127003,PFCEMARGOS,1397033000,11000,0
Oct 20 2016,34401,PFCEMARGOS,373949500,10900,0
Oct 22 2016,31930,PFCEMARGOS,347192740,10900,-0.91
Oct 23 2016,190014,PFCEMARGOS,2054918260,10960,0.55
Oct 24 2016,449682,PFCEMARGOS,4913848440,10960,0
Oct 25 2016,53199,PFCEMARGOS,578669180,10920,-0.55
Oct 26 2016,1189880,PFCEMARGOS,12969936360,10980,0.18
Oct 28 2016,208470,PFCEMARGOS,2277710820,10960,0.37
Oct 29 2016,141953,PFCEMARGOS,1555596920,10960,0
Nov 01 2016,639243,PFCEMARGOS,6897213300,10800,0.93
Nov 02 2016,100964,PFCEMARGOS,1073263720,10680,-1.11
Nov 03 2016,41065,PFCEMARGOS,439316440,10720,0.37
Nov 04 2016,141637,PFCEMARGOS,1514552780,10700,-0.19
Nov 07 2016,639243,PFCEMARGOS,6897213300,10800,0.93
Nov 08 2016,99330,PFCEMARGOS,1074964000,10880,0.74
Nov 09 2016,7054,PFCEMARGOS,76183580,10800,-0.74
Nov 10 2016,706528,PFCEMARGOS,7648367280,10900,0.93
Nov 11 2016,169680,PFCEMARGOS,1758300680,10500,-1.32
Nov 15 2016,167068,PFCEMARGOS,1735122080,10480,-0.19
Nov 16 2016,730545,PFCEMARGOS,7694385060,10480,0
Nov 17 2016,80181,PFCEMARGOS,847288900,10540,0.57
Nov 18 2016,78899,PFCEMARGOS,828643000,10500,-0.38
Nov 21 2016,73410,PFCEMARGOS,767515180,10660,1.52
Nov 22 2016,34690,PFCEMARGOS,365847820,10580,-0.38
Nov 23 2016,34690,PFCEMARGOS,365847820,10580,-0.38
Nov 24 2016,34690,PFCEMARGOS,365847820,10580,-0.38
Nov 25 2016,26606,PFCEMARGOS,276649120,10420,-1.51
Nov 28 2016,291180,PFCEMARGOS,3020695120,10380,-0.38
Nov 29 2016,118317,PFCEMARGOS,1225448380,10360,-0.19
Nov 30 2016,240833,PFCEMARGOS,2494905880,10400,0.39
Dec 01 2016,31308,PFCEMARGOS,325370820,10400,0
Dec 02 2016,195166,PFCEMARGOS,2030005720,10440,0.38
