fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,259640,PFDAVVNDA,6783891900,26300,0.38
Jun 02 2016,259640,PFDAVVNDA,6783891900,26300,0.38
Jun 03 2016,259640,PFDAVVNDA,6783891900,26300,0.38
Jun 04 2016,856188,PFDAVVNDA,22515667060,26420,0.46
Jun 05 2016,368728,PFDAVVNDA,9805646640,26860,1.67
Jun 09 2016,79301,PFDAVVNDA,2123475660,26800,-0.22
Jun 10 2016,121849,PFDAVVNDA,3283100000,26900,0.37
Jun 11 2016,74209,PFDAVVNDA,2005599320,27000,-0.15
Jun 12 2016,382940,PFDAVVNDA,10320150540,27040,0.52
Jun 15 2016,86423,PFDAVVNDA,2335644240,27060,0.22
Jun 16 2016,309457,PFDAVVNDA,8447671720,27340,1.03
Jun 17 2016,188540,PFDAVVNDA,5183647880,27580,0.66
Jun 18 2016,173407,PFDAVVNDA,4818287720,27800,0.8
Jun 21 2016,889982,PFDAVVNDA,24902904940,27880,0.29
Jun 22 2016,142251,PFDAVVNDA,3947637300,27940,0.22
Jun 23 2016,188026,PFDAVVNDA,5225615380,27700,-0.86
Jun 24 2016,77583,PFDAVVNDA,2136436300,27640,-0.22
Jun 25 2016,29490,PFDAVVNDA,804926280,27100,-1.95
Jun 28 2016,19650,PFDAVVNDA,528598820,27000,-0.37
Jun 29 2016,301095,PFDAVVNDA,8148010580,27180,0.67
Jun 30 2016,203278,PFDAVVNDA,5453849740,26880,-0.37
Jul 01 2016,274480,PFDAVVNDA,7359844940,26840,-0.15
Jul 01 2016,301095,PFDAVVNDA,8148010580,27180,0.67
Jul 05 2016,11398,PFDAVVNDA,304498640,26720,-0.45
Jul 06 2016,280026,PFDAVVNDA,7508429260,27000,1.05
Jul 07 2016,342123,PFDAVVNDA,9105588400,26600,-1.48
Jul 09 2016,1088155,PFDAVVNDA,28929358120,26400,-0.75
Jul 11 2016,182065,PFDAVVNDA,4801120620,26360,0.23
Jul 12 2016,4929613,PFDAVVNDA,1.31101E+11,26620,0.99
Jul 13 2016,24197,PFDAVVNDA,636597880,26300,-0.38
Jul 15 2016,3660078,PFDAVVNDA,98098269540,26860,0.9
Jul 17 2016,2375621,PFDAVVNDA,63807843880,26860,0
Jul 18 2016,346426,PFDAVVNDA,9381800180,27100,0.37
Jul 20 2016,249886,PFDAVVNDA,6734465680,27000,0.52
Jul 21 2016,90413,PFDAVVNDA,2451814560,27020,-0.3
Jul 24 2016,169861,PFDAVVNDA,4586146260,27000,-0.07
Jul 25 2016,50544,PFDAVVNDA,1354416140,26800,0.75
Jul 26 2016,92374,PFDAVVNDA,2482229780,26980,0.67
Jul 28 2016,57447,PFDAVVNDA,1546627860,27060,0.22
Jul 29 2016,243740,PFDAVVNDA,6496308120,26600,-1.7
Jul 31 2016,279411,PFDAVVNDA,7568375480,27000,0.07
Aug 01 2016,151509,PFDAVVNDA,4075331400,26940,-0.22
Aug 02 2016,323711,PFDAVVNDA,8759015260,27060,0.45
Aug 03 2016,283653,PFDAVVNDA,7669864720,27000,-0.22
Aug 04 2016,77909,PFDAVVNDA,2112608600,27200,0.74
Aug 07 2016,67690,PFDAVVNDA,1836087040,27160,-0.15
Aug 08 2016,61721,PFDAVVNDA,1679612940,27300,0.52
Aug 09 2016,457721,PFDAVVNDA,12546766640,27600,1.1
Aug 10 2016,46256,PFDAVVNDA,1271634980,27480,-0.43
Aug 11 2016,803964,PFDAVVNDA,22215135520,27600,0.44
Aug 12 2016,66065,PFDAVVNDA,1811584140,27600,0
Aug 16 2016,153802,PFDAVVNDA,4244136600,27800,0.72
Aug 17 2016,266060,PFDAVVNDA,7326917960,27640,-0.58
Aug 18 2016,135753,PFDAVVNDA,3761881000,27780,0.51
Aug 19 2016,605223,PFDAVVNDA,17043203560,28100,1.15
Aug 21 2016,134076,PFDAVVNDA,3761698580,27820,-1
Aug 23 2016,1506658,PFDAVVNDA,42226088840,28160,1.22
Aug 24 2016,367414,PFDAVVNDA,10475674900,28700,1.92
Aug 25 2016,1659485,PFDAVVNDA,48454183020,29000,1.05
Aug 28 2016,84844,PFDAVVNDA,2450546580,28740,-0.9
Aug 29 2016,210898,PFDAVVNDA,6145424700,29060,0.41
Aug 30 2016,243024,PFDAVVNDA,7037351240,28940,0.7
Aug 31 2016,270369,PFDAVVNDA,7879348780,29180,0.41
Sep 01 2016,95295,PFDAVVNDA,2762588800,29000,-0.62
Sep 02 2016,519389,PFDAVVNDA,15180196740,29320,1.1
Sep 03 2016,207817,PFDAVVNDA,6003093960,28960,-0.21
Sep 04 2016,274800,PFDAVVNDA,7963545320,29000,0.14
Sep 05 2016,160750,PFDAVVNDA,4663013580,29020,-0.21
Sep 06 2016,243298,PFDAVVNDA,7145171320,29500,0.61
Sep 07 2016,304335,PFDAVVNDA,8808735640,29180,0.27
Sep 10 2016,61443,PFDAVVNDA,1800302400,29300,1.03
Sep 11 2016,263396,PFDAVVNDA,7693004960,29160,-1.15
Sep 12 2016,208719,PFDAVVNDA,6015901660,28700,-1.58
Sep 13 2016,280554,PFDAVVNDA,8225937100,29500,1.1
Sep 14 2016,56005,PFDAVVNDA,1621921240,29100,1.39
Sep 17 2016,55742,PFDAVVNDA,1629297040,29200,-0.34
Sep 18 2016,308826,PFDAVVNDA,9159967820,29760,1.92
Sep 19 2016,189151,PFDAVVNDA,5685612020,30160,1.34
Sep 20 2016,178812,PFDAVVNDA,5357951880,30040,-0.4
Sep 21 2016,202346,PFDAVVNDA,6058052900,29900,0.34
Sep 24 2016,75820,PFDAVVNDA,2242991540,29620,-0.94
Sep 25 2016,84337,PFDAVVNDA,2479726140,29300,-1.08
Sep 26 2016,408102,PFDAVVNDA,11865976620,29100,-0.68
Sep 27 2016,172733,PFDAVVNDA,5023252840,29080,-0.07
Sep 30 2016,65850,PFDAVVNDA,1962416760,29800,-0.8
Oct 03 2016,117080,PFDAVVNDA,3429608320,29280,-0.68
Oct 04 2016,109196,PFDAVVNDA,3181123580,28940,-1.16
Oct 05 2016,88224,PFDAVVNDA,2563771080,28980,0.14
Oct 06 2016,417371,PFDAVVNDA,12158577220,29460,1.66
Oct 09 2016,187293,PFDAVVNDA,5517415960,29460,0
Oct 10 2016,139572,PFDAVVNDA,4115957540,29880,1.43
Oct 11 2016,827408,PFDAVVNDA,24755907460,29940,0.2
Oct 12 2016,126317,PFDAVVNDA,3744863900,29520,-1.4
Oct 14 2016,420007,PFDAVVNDA,12432404120,29640,0.07
Oct 17 2016,14061,PFDAVVNDA,415013920,29620,0.34
Oct 18 2016,188925,PFDAVVNDA,5644868240,29800,0.54
Oct 20 2016,121129,PFDAVVNDA,3648681840,30160,0.53
Oct 22 2016,121374,PFDAVVNDA,3626722780,30000,0.67
Oct 23 2016,488755,PFDAVVNDA,14703846560,30080,-0.27
Oct 24 2016,348704,PFDAVVNDA,10508694940,30060,-0.07
Oct 25 2016,176282,PFDAVVNDA,5380639740,30740,1.12
Oct 26 2016,304037,PFDAVVNDA,9170797320,30400,1.13
Oct 28 2016,443460,PFDAVVNDA,13658871380,30800,0.2
Oct 29 2016,279030,PFDAVVNDA,8539202440,30600,-0.65
Nov 01 2016,88224,PFDAVVNDA,2563771080,28980,0.14
Nov 02 2016,219959,PFDAVVNDA,6435237980,29480,-0.07
