fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,7000,TERPEL,74908840,10740,0
Jun 02 2016,7000,TERPEL,74908840,10740,0
Jun 03 2016,7000,TERPEL,74908840,10740,0
Jun 09 2016,648,TERPEL,6266160,9670,-9.96
Jun 16 2016,412,TERPEL,3984040,9670,0
Jun 17 2016,430,TERPEL,4158100,9670,0
Jun 18 2016,500,TERPEL,4813100,9670,0
Jun 21 2016,185,TERPEL,1779700,9670,0
Jun 25 2016,397,TERPEL,3854870,9670,0
Jun 30 2016,15000,TERPEL,149642250,10000,3.41
Jul 09 2016,8570,TERPEL,71988000,8400,-16
Jul 12 2016,7127,TERPEL,68715550,9650,7.82
Jul 13 2016,6512,TERPEL,58282400,8950,6.55
Jul 20 2016,7000,TERPEL,70000000,10000,3.63
Jul 24 2016,15000,TERPEL,146250000,9750,-2.5
Jul 25 2016,14132,TERPEL,137777680,9740,0.93
Jul 28 2016,765,TERPEL,7382250,9650,-1.03
Jul 29 2016,3308,TERPEL,31922200,9650,0
Aug 02 2016,16000,TERPEL,156480000,9780,0.41
Aug 10 2016,268,TERPEL,2398600,9780,0
Aug 16 2016,3400,TERPEL,33320000,9800,0.2
Aug 17 2016,24950,TERPEL,232035000,9300,-5.1
Aug 24 2016,23351,TERPEL,210159000,9000,-3.23
Aug 25 2016,11374,TERPEL,102366000,9000,0
Aug 31 2016,42475,TERPEL,402291700,9500,5.56
Sep 01 2016,5900,TERPEL,56050000,9500,0
Sep 07 2016,592182,TERPEL,5536264900,9030,-3.73
Sep 11 2016,829,TERPEL,7402970,8930,-5
Sep 13 2016,4000,TERPEL,37200000,9300,2.99
Sep 14 2016,850360,TERPEL,7738797600,9380,5.04
Sep 20 2016,6000,TERPEL,57000000,9500,0
Sep 21 2016,266,TERPEL,2487100,9500,0
Sep 25 2016,942,TERPEL,8807700,9350,-1.58
Sep 27 2016,3724,TERPEL,35005600,9400,0.53
Oct 06 2016,500,TERPEL,4550000,9200,0
Oct 09 2016,240,TERPEL,2145600,9200,0
Oct 12 2016,4947,TERPEL,45265050,9150,-0.54
Oct 14 2016,4060,TERPEL,36948230,9100,-0.55
Oct 18 2016,1100,TERPEL,10340000,9400,3.3
Oct 23 2016,43657,TERPEL,413822680,9500,1.06
Oct 24 2016,20213,TERPEL,192023500,9500,0
Oct 25 2016,8000,TERPEL,76890000,9690,0.94
Oct 26 2016,3413,TERPEL,32764800,9600,1.05
Oct 28 2016,226,TERPEL,2151520,9690,0
Nov 02 2016,14186,TERPEL,130511200,9200,-1.08
Nov 08 2016,500,TERPEL,4550000,9200,0
Nov 09 2016,240,TERPEL,2145600,9200,0
Nov 11 2016,1963,TERPEL,18059600,9200,0.22
Nov 15 2016,47000,TERPEL,423000000,9000,-2.17
Nov 21 2016,415,TERPEL,3901000,9000,0
Nov 22 2016,13128,TERPEL,124716000,9500,-1.96
Nov 23 2016,13128,TERPEL,124716000,9500,-1.96
Nov 24 2016,13128,TERPEL,124716000,9500,-1.96
Nov 25 2016,2045,TERPEL,19797600,9690,2
Nov 28 2016,100155,TERPEL,971226920,9800,1.14
Nov 29 2016,9343,TERPEL,92495700,9900,1.02
Nov 30 2016,1208,TERPEL,12080000,10000,1.01
