fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 16 2016,1000,TITAN,34500000,34500,0
Jul 01 2016,600,TITAN,20700000,34500,0
Jul 05 2016,621,TITAN,21424500,34500,0
Jul 20 2016,3242,TITAN,113470000,35000,1.45
Aug 25 2016,550,TITAN,19415000,35300,0.86
Aug 28 2016,450,TITAN,15885000,35300,0
Sep 18 2016,1792,TITAN,63257600,35300,0
Sep 21 2016,741,TITAN,26157300,35300,0
Sep 24 2016,84,TITAN,2965200,35300,0
Oct 10 2016,1000,TITAN,34500000,34500,-2.27
Nov 10 2016,1000,TITAN,34500000,34500,-2.27
